action,calibration_scenes,effective_raw_risk_maximum,effective_raw_utility_threshold,model,quantile,risk_correction,risk_residual_max,risk_residual_mean,risk_residual_median,risk_structurally_unselectable,utility_correction,utility_residual_max,utility_residual_mean,utility_residual_median
weaken,150,0.06516352300643921,0.17229370296001434,oof_fold_0,0.95,0.034836476993560794,0.07070053596496582,0.006502727822303773,0.0,False,0.12229370296001435,0.33706909902095794,0.013476992382429541,0.0
strengthen,150,-0.027470885181427013,0.7930357133865357,oof_fold_0,0.95,0.12747088518142702,0.3259208230018616,0.021293913136429254,0.0,True,0.7430357133865356,2.2689933600425722,0.11545708527318782,0.0
weaken,150,0.0652843547821045,0.12173976383209227,oof_fold_1,0.95,0.03471564521789551,0.06464443368911743,0.006212886580122842,0.0,False,0.07173976383209227,0.1259809518814087,0.0055726637782255815,0.0
strengthen,150,-0.0018561925888061492,0.6873911393851042,oof_fold_1,0.95,0.10185619258880615,0.3512999298095703,0.018037876563231154,0.0,True,0.6373911393851042,2.398812591075897,0.08782175709424747,0.0
weaken,150,0.03543806285858153,0.16085084066390995,oof_fold_2,0.95,0.06456193714141847,0.07935579977035523,0.01061339394651519,0.0,False,0.11085084066390995,0.23130846593379975,0.011636997036303083,0.0
strengthen,150,-0.012435346174240108,0.5813719963669777,oof_fold_2,0.95,0.11243534617424011,0.225853471660614,0.015105165516111584,0.0,True,0.5313719963669776,1.459625845718384,0.062265053101978364,0.0
weaken,150,0.056461639881134035,0.22633528995513913,oof_fold_3,0.95,0.04353836011886597,0.07728230161666871,0.010345589099003209,0.0,False,0.17633528995513914,0.25608973045349126,0.023209972216725352,0.0
strengthen,150,0.03931896696090699,0.29328948716322584,oof_fold_3,0.95,0.060681033039093016,0.29716514854431153,0.011131600326935451,0.0,False,0.24328948716322585,2.0522369237422944,0.03682956920393308,0.0
weaken,150,0.0717392053604126,0.06729783306121827,oof_fold_4,0.95,0.028260794639587406,0.08381470413208009,0.006189274058633381,0.0,False,0.017297833061218265,0.08058135932932294,0.0021777559857931402,0.0
strengthen,150,0.026042557859420792,0.26920224151611327,oof_fold_4,0.95,0.07395744214057921,0.27245511798858646,0.011136853365103406,0.0,False,0.21920224151611328,1.6919127751350402,0.033260573959555895,0.0
weaken,150,0.06938413739204408,0.12104129638671877,frozen_test_development_candidate,0.95,0.030615862607955936,0.04902129211425782,0.005572238501018948,0.0,False,0.07104129638671877,0.21411781582832337,0.008035030766618748,0.0
strengthen,150,-0.005211587333679213,0.7199561465770007,frozen_test_development_candidate,0.95,0.10521158733367922,0.3271247628211975,0.016185196189986335,0.0,True,0.6699561465770006,2.17058677444458,0.08915939764051832,0.0
