action,beneficial_area_prevalence,beneficial_auc,constant_risk_brier,constant_utility_mae,final_epoch_risk_loss,final_epoch_total_loss,final_epoch_utility_loss,first_epoch_risk_loss,first_epoch_total_loss,first_epoch_utility_loss,fold,harm_area_prevalence,model,observed_minus_permuted_top_lift,permuted_beneficial_auc,permuted_risk_auc,permuted_risk_brier,permuted_risk_brier_improvement,permuted_top_fraction_utility_lift,permuted_utility_mae,permuted_utility_mae_improvement,risk_auc,risk_brier,risk_brier_improvement,scene_count,split,top_fraction_utility_lift,utility_mae,utility_mae_improvement,utility_rank_correlation
weaken,0.09364749999999997,0.8143072427995598,0.08774611794374998,1.0019701017259601,0.3804539975166942,0.9107145464164205,0.7204875463619829,0.5290590580708037,1.2553080961729088,0.9907785672694445,0,0.9028074999999999,oof_fold_0,1.524158031216287,0.49392827155231905,0.4986575239489696,0.09250589074034417,-0.004759772796594186,-0.013570074185795271,0.7929388829591244,0.2090312187668358,0.8636203293525386,0.07450215564984726,0.01324396229390271,480,train_fit,1.5105879570304916,0.5753874041732492,0.426582697552711,0.40297704739127715
strengthen,0.19449194444444437,0.8045613605458131,0.16002166536265428,1.7255653208610544,0.3804539975166942,0.9107145464164205,0.7204875463619829,0.5290590580708037,1.2553080961729088,0.9907785672694445,0,0.7999638888888886,oof_fold_0,1.7572087337693982,0.5041756181920496,0.49659277727616624,0.16179514511964582,-0.0017734797569915414,-0.021683118372497236,1.386699978752656,0.3388653421083986,0.8218133459670572,0.1169859884397904,0.043035676922863884,480,train_fit,1.735525615396901,0.9943871959425156,0.731178124918539,0.46526622521579075
weaken,0.09479249999999997,0.798244544630093,0.08856725127399691,1.0163518996888117,0.3788699006816993,0.89673539903791,0.707300449036605,0.5188640285438547,1.2437054871736715,0.9842734718074401,1,0.9017869444444443,oof_fold_1,1.5735898188704625,0.49599189418508355,0.5004898561516636,0.09445831951492481,-0.005891068240927903,0.001907561778572059,0.7693108785379031,0.24704102115090854,0.8605705244265984,0.07489005369034721,0.013677197583649688,480,train_fit,1.5754973806490347,0.5764778125222297,0.439874087166582,0.3846364423191776
strengthen,0.1910444444444444,0.7965145204394604,0.15797742927283942,1.70125851679942,0.3788699006816993,0.89673539903791,0.707300449036605,0.5188640285438547,1.2437054871736715,0.9842734718074401,1,0.8033522222222219,oof_fold_1,1.7323278777967,0.49952977109380897,0.4942029710252088,0.16163195230751673,-0.0036545230346772825,-0.002517747307069775,1.3427020860862109,0.35855643071320914,0.8297598306838944,0.11644993533262368,0.041527493940215786,480,train_fit,1.72981013048963,0.9600372625282979,0.7412212542711222,0.4453952287755784
weaken,0.09553194444444442,0.8321781915395944,0.08911901283325616,1.018540371093613,0.374411559298945,0.8955574803364773,0.708351701653252,0.5375106335617602,1.2321961641622086,0.9634408486851801,2,0.901099722222222,oof_fold_2,1.638640722896649,0.5040768872442417,0.502822537563107,0.09626668055550838,-0.007147667722252241,0.0290499780310061,0.8156002864994664,0.20294008459414642,0.8692668808879449,0.07112374561627306,0.017995267216983073,480,train_fit,1.6676907009276551,0.5804092872566116,0.4381310838370013,0.4308392892590713
strengthen,0.18686749999999996,0.8206893266726611,0.15520049792214502,1.677075154791824,0.374411559298945,0.8955574803364773,0.708351701653252,0.5375106335617602,1.2321961641622086,0.9634408486851801,2,0.8078952777777777,oof_fold_2,1.90777601171638,0.49572459084042575,0.5001299995050489,0.15861688885778988,-0.0034163909356448464,-0.020741368646386767,1.3262000042544508,0.35087515053737295,0.8427023022000661,0.11514399704928487,0.04005650087286016,480,train_fit,1.887034643069993,0.929641077691844,0.74743407709998,0.4755155323003541
weaken,0.09587805555555554,0.8234678971889327,0.08953900174930553,1.0243319882855022,0.3794493471737951,0.9080970377661288,0.7183723640666965,0.5429182566857587,1.2922900572729608,1.0208309314058472,3,0.9005758333333332,oof_fold_3,1.6146038459099805,0.4983078005154846,0.5049336265578699,0.10124693178767022,-0.011707930038364685,0.00487066891354166,0.8324478388183494,0.19188414946715296,0.8630554791993186,0.07202187025404065,0.017517131495264873,480,train_fit,1.6194745148235221,0.5897052039498754,0.4346267843356271,0.4186114322359751
strengthen,0.1866155555555555,0.796934924900103,0.1552324821222222,1.674476184939753,0.3794493471737951,0.9080970377661288,0.7183723640666965,0.5429182566857587,1.2922900572729608,1.0208309314058472,3,0.8078433333333331,oof_fold_3,1.7147446554194028,0.49775863951547067,0.4973263735207493,0.16025414919461883,-0.0050216670723966465,-0.014548579113715626,1.3054527727116727,0.3690234122280801,0.821023340508922,0.12105296712027454,0.03417951500194764,480,train_fit,1.7001960763056871,0.9647945570507586,0.7096816278889941,0.43842920312705164
weaken,0.0963822222222222,0.7970349674484286,0.08991109876543209,1.0259135921374118,0.38073862253610663,0.9103920520399698,0.7200227392730691,0.5526581301353872,1.2528817485397061,0.976552682587256,4,0.900111111111111,oof_fold_4,1.700045401638776,0.5001197360880036,0.5042278716975233,0.09753754761575746,-0.007626448850325396,-0.0018654673605556726,0.7658656231002539,0.26004796903715793,0.8696482988885265,0.07415220533720346,0.01575889342822862,480,train_fit,1.6981799342782204,0.5806078080136174,0.44530578412379446,0.36634811663629724
strengthen,0.19465499999999997,0.8009994711193308,0.1600928093943672,1.7282411494257985,0.38073862253610663,0.9103920520399698,0.7200227392730691,0.5526581301353872,1.2528817485397061,0.976552682587256,4,0.7998452777777776,oof_fold_4,1.8729630235495824,0.49681427605030987,0.49703339970215504,0.1625487471961972,-0.002455937801829966,-0.010141574639872815,1.3089978486465923,0.4192433007792063,0.8320985883816562,0.12322389268619807,0.03686891670816915,480,train_fit,1.8628214489097095,0.9680072589775031,0.7602338904482956,0.4439019771389303
weaken,0.09524644444444441,0.8162032025387601,0.08897739347906171,1.0174384738201918,0.3801045893318951,0.905609727744013,0.7155574368243106,0.5040390348434448,1.178479343280196,0.9264598248836895,final,0.9012762222222221,frozen_test_development_candidate,1.5824873769686372,0.4983353636523373,0.5086534458051589,0.0936984827134773,-0.004721089234415583,0.0148793541187966,0.7769142806583372,0.24052419316185444,0.8666945507239892,0.07558651405202682,0.0133908794270349,600,train_fit,1.597366731087434,0.5705907099556181,0.44684776386457337,0.4084821715471116
strengthen,0.19073488888888884,0.8140915493817429,0.15771771159999995,1.7015116020944798,0.3801045893318951,0.905609727744013,0.7155574368243106,0.5040390348434448,1.178479343280196,0.9264598248836895,final,0.8037799999999998,frozen_test_development_candidate,1.8126174224022917,0.4968834374021222,0.4973217235451786,0.16212242328164764,-0.004404711681647655,-0.01829030987562611,1.370326945593221,0.3311846565012585,0.8308314226023329,0.116783181517528,0.040934530082471964,600,train_fit,1.7943271125266658,0.9658259022042942,0.7356856998901852,0.4696528365480166
