step,weighted_delta_l1,pred_target_corr,mean_output_gain
0,0.010871721146557422,,0.0
50,0.010635534352299131,0.03952580232782146,0.00727999210357666
100,0.01060738400050463,0.011994147529968848,0.00903552770614624
150,0.010612192555849137,0.008156805370862667,0.012346446514129639
200,0.010584536409597844,0.054402182201066844,0.01137399673461914
250,0.010613584797625572,0.05220877493803318,0.014383673667907715
300,0.010604149683915478,0.05199680652899238,0.014320135116577148
350,0.01069064893376091,0.045671193833606176,0.016817212104797363
400,0.010574028623155818,0.07568293301245341,0.012559711933135986
450,0.010582585966191238,0.1101734684019063,0.016650795936584473
500,0.010575674745162765,0.10846809749133311,0.015570998191833496
550,0.01059047718445708,0.08547431223381025,0.01050710678100586
600,0.010574024145028126,0.0762770098920625,0.01411902904510498
650,0.01058232560066755,0.06712705530942632,0.01218336820602417
700,0.01058697809234488,0.11270512794502653,0.011755406856536865
750,0.010566986425408396,0.10881288492013343,0.016698122024536133
800,0.010624546085552546,0.010709845187823074,0.015547037124633789
