step,weighted_delta_l1,pred_target_corr,mean_output_gain
0,0.011254005832220432,,0.0
50,0.011044708916035938,0.30561056403586495,0.010452091693878174
100,0.010894569282490867,0.30968275752205116,0.01954132318496704
150,0.01078567833033555,0.3117845029785083,0.02714592218399048
200,0.01070677782382517,0.3136929018566242,0.03345298767089844
250,0.010648018368721559,0.3152364263167748,0.038706183433532715
300,0.010603613204742046,0.31648360507992596,0.043141186237335205
350,0.010568504885401798,0.31752422795845914,0.04701453447341919
400,0.010540078097658135,0.31834874846614325,0.05041015148162842
450,0.010517628161346009,0.31899778516246724,0.053268373012542725
500,0.01050031201193544,0.3195729275735525,0.05568277835845947
550,0.010487552620793643,0.3201129473745823,0.057690560817718506
600,0.010477603148655567,0.32055268866511494,0.059396445751190186
650,0.010468820185545957,0.3209249394444319,0.060951948165893555
700,0.010460928191665256,0.3212428121612622,0.062384963035583496
750,0.010453646554273461,0.32138423822247064,0.06365382671356201
800,0.010446646037963837,0.32142755217277086,0.06485092639923096
