step,weighted_delta_l1,pred_target_corr,mean_output_gain
0,0.011254005832220432,,0.0
50,0.010983090625785976,0.17569954478396818,0.00897216796875
100,0.010928294135507952,0.23439588688107996,0.01186293363571167
150,0.010904664135249542,0.2545053859312947,0.013322710990905762
200,0.010884000225095171,0.26285490560202074,0.01474064588546753
250,0.010847225942681338,0.26785889629704446,0.017570912837982178
300,0.010818379169971925,0.27132624172820496,0.0205460786819458
350,0.010801565461771816,0.27327332008056915,0.022620201110839844
400,0.010787607195403044,0.27358098421245813,0.024305105209350586
450,0.010773505073440187,0.27272679878828615,0.02651190757751465
500,0.010768510341705603,0.2713824239774392,0.02708381414413452
550,0.010770726278603069,0.2689717674198059,0.027447879314422607
600,0.010777750346353122,0.2695263005936375,0.027118265628814697
650,0.01077585181935609,0.2697312973009852,0.026832282543182373
700,0.010768215883192215,0.26381179760210216,0.02677983045578003
750,0.010770239326106936,0.2582494302724416,0.02731788158416748
800,0.010762134449529875,0.2582150919076342,0.0279768705368042
