split,score_key,bin,order,count,coverage_start_frac,coverage_end_frac,score_min,score_max,bad_rate,mean_gain,hard_bottom25_frac,easy_top25_frac
confirm,pred_abs_mean,1,descending_confidence,256,0.0,0.1,0.01342259906232357,0.023403702303767204,0.08984375,0.41299527138471603,0.453125,0.125
confirm,pred_abs_mean,2,descending_confidence,256,0.1,0.2,0.011785188689827919,0.013399035669863224,0.078125,0.3465401902794838,0.421875,0.203125
confirm,pred_abs_mean,3,descending_confidence,256,0.2,0.3,0.009260705672204494,0.011662817560136318,0.02734375,0.19035013020038605,0.234375,0.28125
confirm,pred_abs_mean,4,descending_confidence,256,0.3,0.4,0.00750230997800827,0.009215175174176693,0.08203125,0.14247076213359833,0.171875,0.25
confirm,pred_abs_mean,5,descending_confidence,256,0.4,0.5,0.006645857356488705,0.007429794874042273,0.0234375,0.06909871846437454,0.171875,0.359375
confirm,pred_abs_mean,6,descending_confidence,256,0.5,0.6,0.0064404369331896305,0.006645857356488705,0.01171875,0.023538924753665924,0.15625,0.21875
confirm,pred_abs_mean,7,descending_confidence,256,0.6,0.7,0.006135018076747656,0.006385773420333862,0.03515625,0.0722777396440506,0.328125,0.21875
confirm,pred_abs_mean,8,descending_confidence,256,0.7,0.8,0.006135018076747656,0.006135018076747656,0.0625,0.10163762420415878,0.140625,0.28125
confirm,pred_abs_mean,9,descending_confidence,256,0.8,0.9,0.004453444387763739,0.006135018076747656,0.0390625,0.08765742927789688,0.171875,0.234375
confirm,pred_abs_mean,10,descending_confidence,256,0.9,1.0,0.0024242557119578123,0.004442650359123945,0.1171875,0.016697324812412262,0.25,0.328125
