split,scope,feature,count,bad_count,auc_high_is_bad,best_auc,best_direction_for_bad
confirm,overall,pred_abs_mean,1024,81,0.6108099969888587,0.6108099969888587,high
confirm,overall,pred_abs_max,1024,81,0.6156278229448962,0.6156278229448962,high
confirm,overall,pred_coeff_norm,1024,81,0.654484636633806,0.654484636633806,high
confirm,overall,pred_low_energy,1024,81,0.6093960698061087,0.6093960698061087,high
confirm,overall,weighted_residual_norm,1024,81,0.7519081471007947,0.7519081471007947,high
confirm,overall,nn_distance,1024,81,0.4592317662307058,0.5407682337692943,low
confirm,overall,confidence_proxy,1024,81,0.5407682337692942,0.5407682337692942,high
confirm,overall,proxy_score,1024,81,0.6546417396541115,0.6546417396541115,high
confirm,overall,M_safe_mean,1024,81,0.6226974588586466,0.6226974588586466,high
confirm,overall,M_safe_nonzero_frac,1024,81,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.25,pred_abs_mean,128,3,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.25,pred_abs_max,128,3,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.25,pred_coeff_norm,128,3,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.25,pred_low_energy,128,3,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.25,weighted_residual_norm,128,3,0.8373333333333334,0.8373333333333334,high
confirm,global_mean_coeff|K16|scale0.25,nn_distance,128,3,0.544,0.544,high
confirm,global_mean_coeff|K16|scale0.25,confidence_proxy,128,3,0.456,0.544,low
confirm,global_mean_coeff|K16|scale0.25,proxy_score,128,3,0.8346666666666667,0.8346666666666667,high
confirm,global_mean_coeff|K16|scale0.25,M_safe_mean,128,3,0.7973333333333333,0.7973333333333333,high
confirm,global_mean_coeff|K16|scale0.25,M_safe_nonzero_frac,128,3,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.5,pred_abs_mean,128,6,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.5,pred_abs_max,128,6,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.5,pred_coeff_norm,128,6,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.5,pred_low_energy,128,6,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.5,weighted_residual_norm,128,6,0.7800546448087432,0.7800546448087432,high
confirm,global_mean_coeff|K16|scale0.5,nn_distance,128,6,0.48770491803278687,0.5122950819672132,low
confirm,global_mean_coeff|K16|scale0.5,confidence_proxy,128,6,0.5122950819672131,0.5122950819672131,high
confirm,global_mean_coeff|K16|scale0.5,proxy_score,128,6,0.7773224043715847,0.7773224043715847,high
confirm,global_mean_coeff|K16|scale0.5,M_safe_mean,128,6,0.73224043715847,0.73224043715847,high
confirm,global_mean_coeff|K16|scale0.5,M_safe_nonzero_frac,128,6,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.75,pred_abs_mean,128,7,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.75,pred_abs_max,128,7,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.75,pred_coeff_norm,128,7,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.75,pred_low_energy,128,7,0.5,0.5,high
confirm,global_mean_coeff|K16|scale0.75,weighted_residual_norm,128,7,0.8146399055489965,0.8146399055489965,high
confirm,global_mean_coeff|K16|scale0.75,nn_distance,128,7,0.4604486422668241,0.5395513577331759,low
confirm,global_mean_coeff|K16|scale0.75,confidence_proxy,128,7,0.5395513577331759,0.5395513577331759,high
confirm,global_mean_coeff|K16|scale0.75,proxy_score,128,7,0.7249114521841794,0.7249114521841794,high
confirm,global_mean_coeff|K16|scale0.75,M_safe_mean,128,7,0.6859504132231405,0.6859504132231405,high
confirm,global_mean_coeff|K16|scale0.75,M_safe_nonzero_frac,128,7,0.5,0.5,high
confirm,global_mean_coeff|K16|scale1,pred_abs_mean,128,9,0.5,0.5,high
