checkpoint,variant,active_adapters,scale_multiplier,common_count,mean_delta,median_delta,hard_bottom25_delta,easy_top25_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_ref_regressions,worst_0p20_count,p5_delta,p95_delta,bright_low_gradient_delta,low_saturation_bright_delta,sky_bright_proxy_delta,hard_bright_low_gradient_delta,easy_bright_low_gradient_delta
best,all_adapters,all,1.0,1000,0.031198993682861328,0.038323402404785156,0.014572021484375,0.020871002197265624,8.788031339645385e-05,0.59,39.07855987548828,105,163,-0.44954833984375,0.4914270401000976,-0.026364992141723633,-0.02111160945892334,-0.050814908027648924,-0.016232109069824217,-0.08728662109375
best,no_shallow,"bottleneck,skip",1.0,1000,0.00640794563293457,0.01113128662109375,0.0017065277099609375,0.005501144409179688,1.748490333557129e-05,0.532,39.07855987548828,102,123,-0.34940204620361326,0.36856193542480464,-0.032851588249206545,-0.03168553352355957,-0.05036396598815918,-0.021478199005126954,-0.06809527587890625
best,no_bottleneck,"shallow,skip",1.0,1000,0.02350735282897949,0.01904582977294922,0.008226814270019532,0.0115390625,5.629557371139526e-05,0.573,39.07855987548828,107,118,-0.35035114288330077,0.3946609497070312,-0.02835716724395752,-0.0250257511138916,-0.05885634136199951,-0.006323482513427734,-0.11938169860839844
best,no_skip,"shallow,bottleneck",1.0,1000,0.03711177825927734,0.041291236877441406,0.018908096313476563,0.0386795654296875,8.839845657348632e-05,0.641,39.07855987548828,66,54,-0.20352249145507811,0.2549844741821289,0.012223854064941406,0.017192700386047362,0.010844754219055177,-0.0054999618530273435,0.017800994873046875
best,shallow_only,shallow,1.0,1000,0.028329511642456055,0.024794578552246094,0.012627182006835937,0.026502182006835937,5.468457937240601e-05,0.65,39.07855987548828,56,13,-0.12302055358886718,0.1611760139465332,0.011396763801574707,0.014839146614074707,0.005042994499206543,0.004827320098876953,-0.008551956176757813
best,bottleneck_only,bottleneck,1.0,1000,0.008785972595214844,0.0124359130859375,0.006198165893554687,0.011293060302734375,2.9756247997283934e-05,0.588,39.07855987548828,53,8,-0.11148233413696289,0.11434612274169921,0.0017235050201416017,0.0029788999557495118,0.006655276298522949,-0.010370849609375,0.024582183837890625
best,skip_only,skip,1.0,1000,-0.001226419448852539,-0.005745887756347656,-0.004580703735351563,-0.0028944244384765624,-1.0068774223327636e-05,0.474,39.07855987548828,105,93,-0.27043638229370115,0.28367500305175747,-0.03558347892761231,-0.036123771667480466,-0.05910361194610596,-0.011555824279785156,-0.09835086059570312
final,all_adapters,all,1.0,1000,0.019325271606445312,0.02479267120361328,0.003725311279296875,0.009635513305664062,4.822778701782227e-05,0.56,39.07855987548828,108,161,-0.4605730056762695,0.48242378234863265,-0.0384491548538208,-0.03224999904632568,-0.062109087944030764,-0.024151729583740233,-0.1004776611328125
final,no_shallow,"bottleneck,skip",1.0,1000,-0.001224217414855957,0.0026569366455078125,-0.004789241790771484,-0.004308822631835937,-1.6627967357635498e-05,0.507,39.07855987548828,103,133,-0.3763898849487305,0.3585996627807617,-0.04329872608184814,-0.04136521911621094,-0.061946806907653806,-0.026944469451904297,-0.08765776062011718
final,no_bottleneck,"shallow,skip",1.0,1000,0.021701074600219725,0.01679229736328125,0.005053153991699219,0.011260025024414063,3.8257777690887453e-05,0.561,39.07855987548828,106,119,-0.374176025390625,0.41322631835937484,-0.02672385787963867,-0.02451216983795166,-0.05532942295074463,-0.004461273193359375,-0.11588706970214843
final,no_skip,"shallow,bottleneck",1.0,1000,0.022158636093139648,0.029359817504882812,0.006891914367675781,0.025213043212890626,5.8427512645721434e-05,0.619,39.07855987548828,73,64,-0.22143917083740233,0.226093292236328,-0.004959083557128906,0.002055887222290039,-0.005849143981933594,-0.01799097442626953,0.005989044189453125
final,shallow_only,shallow,1.0,1000,0.02390732192993164,0.020490646362304688,0.00839917755126953,0.02469158935546875,4.62077260017395e-05,0.643,39.07855987548828,56,15,-0.12369213104248046,0.15507926940917965,0.008010919570922852,0.012037511825561523,0.0032762794494628905,0.0024196624755859373,-0.005076080322265625
final,bottleneck_only,bottleneck,1.0,1000,-0.0016997890472412109,0.0037097930908203125,-0.0014952011108398439,-3.70941162109375e-05,8.55165719985962e-06,0.524,39.07855987548828,66,18,-0.13630914688110352,0.11224994659423825,-0.012791136741638183,-0.01003459930419922,-0.008998326301574707,-0.020487506866455077,0.009921905517578124
final,skip_only,skip,1.0,1000,0.001142822265625,-0.0042247772216796875,-0.0034699249267578125,-0.0019757537841796876,-2.2943556308746336e-05,0.483,39.07855987548828,102,86,-0.28425960540771483,0.30348834991455065,-0.031734025001525876,-0.03357392120361328,-0.05526688003540039,-0.00716152572631836,-0.10168936157226563
