checkpoint,variant,active_adapters,scale_multiplier,common_count,mean_delta,median_delta,hard_bottom25_delta,easy_top25_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_ref_regressions,worst_0p20_count,p5_delta,p95_delta,bright_low_gradient_delta,low_saturation_bright_delta,sky_bright_proxy_delta,hard_bright_low_gradient_delta,easy_bright_low_gradient_delta
best,scale_0,all,0.0,1000,-1.33514404296875e-08,0.0,1.52587890625e-08,-3.0517578125e-08,2.9802322387695313e-10,0.012,39.07855987548828,0,0,0.0,0.0,-7.62939453125e-09,2.288818359375e-08,3.62396240234375e-08,0.0,7.62939453125e-08
best,scale_0.25,all,0.25,1000,0.012707742691040039,0.011523246765136719,0.003818504333496094,0.017691650390625,2.5996983051300048e-05,0.607,39.07855987548828,68,5,-0.10352630615234375,0.12430505752563471,0.0006892461776733398,0.001418243408203125,-0.004533007621765137,-0.0039598426818847655,-0.0038455810546875
best,scale_0.5,all,0.5,1000,0.02227134132385254,0.021849632263183594,0.0075806198120117185,0.027250152587890625,4.984360933303833e-05,0.606,39.07855987548828,88,56,-0.21567039489746093,0.25006875991821287,-0.0029719152450561523,-0.0012152900695800782,-0.013999225616455079,-0.007961864471435548,-0.019282272338867187
best,scale_0.75,all,0.75,1000,0.02853651523590088,0.03031158447265625,0.011350910186767578,0.028219253540039062,7.062238454818725e-05,0.599,39.07855987548828,100,114,-0.3305485725402832,0.37299194335937486,-0.011842767715454101,-0.008514776229858398,-0.029258265495300292,-0.011861198425292969,-0.04711665344238281
best,scale_1,all,1.0,1000,0.031198978424072266,0.038323402404785156,0.014572021484375,0.0208709716796875,8.788090944290161e-05,0.59,39.07855987548828,105,163,-0.44954833984375,0.4914270401000976,-0.02636497116088867,-0.021111598014831544,-0.05081491947174072,-0.016232109069824217,-0.0872864990234375
final,scale_0,all,0.0,1000,2.47955322265625e-08,0.0,1.52587890625e-08,1.52587890625e-08,5.960464477539063e-10,0.013,39.07855987548828,0,0,0.0,0.0,-2.47955322265625e-08,2.09808349609375e-08,8.58306884765625e-08,-2.288818359375e-08,1.52587890625e-08
final,scale_0.25,all,0.25,1000,0.009679722785949706,0.008146286010742188,0.0007748069763183593,0.015591812133789063,1.555103063583374e-05,0.575,39.07855987548828,70,6,-0.10735092163085937,0.1284879684448242,-0.0022948102951049804,-0.0013058137893676757,-0.007308962821960449,-0.006278797149658203,-0.005799163818359375
final,scale_0.5,all,0.5,1000,0.01615112018585205,0.014608383178710938,0.001954509735107422,0.022420303344726562,2.9169559478759766e-05,0.568,39.07855987548828,88,62,-0.21687049865722657,0.25094966888427706,-0.009406485557556153,-0.007024688720703125,-0.020028846740722656,-0.012122211456298828,-0.02421331787109375
final,scale_0.75,all,0.75,1000,0.018937162399291992,0.02067279815673828,0.002780906677246094,0.020346725463867187,3.969013690948486e-05,0.566,39.07855987548828,101,122,-0.33667564392089844,0.3650072097778319,-0.02217532444000244,-0.018133913040161133,-0.0390230073928833,-0.0181977653503418,-0.05588752746582031
final,scale_1,all,1.0,1000,0.01932526206970215,0.02479267120361328,0.003725311279296875,0.009635498046875,4.8229873180389405e-05,0.56,39.07855987548828,108,161,-0.4605730056762695,0.48242378234863265,-0.03844912815093994,-0.032249939918518065,-0.062109065055847165,-0.024151729583740233,-0.10047756958007813
