run_id,candidate,airlight_mode,depth_mode,alpha,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,invert,0.1,600,0.00378143423323498,0.0044939057655426495,-0.03429142715448137,0.041449043370318586,0.0009920514293247132,0.006902810306505577,-0.04004092700948642,0.04408111844709121,-0.068022296460677,0.06237878292312828,-1.527865727742513e-06,0.62,0.7966666666666666,42.755946791850995,150,3,0,0.004486836518828052,0.003945636941404652,0.00406907913024756
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,invert,0.2,600,0.007283128237853091,0.008864782407545846,-0.06921837027711604,0.08278090593102724,0.0019119121079075778,0.013260062370109864,-0.08040780654149653,0.08774550113326912,-0.1361224351463001,0.12406413876625848,-3.2503406206766764e-06,0.62,0.7233333333333334,42.755946791850995,150,14,1,0.008801988775535717,0.0077383930420527845,0.00797955933122137
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,invert,0.35,600,0.012008360845286396,0.015188702170942037,-0.12276206080090582,0.14269008785506782,0.003157000652788066,0.021763818310561334,-0.14154306841617245,0.15242001341222344,-0.23837439646218145,0.2151966454047404,-6.1569611231486e-06,0.6183333333333333,0.6766666666666666,42.755946791850995,150,22,8,0.01495041886187216,0.01313857012614316,0.013545596249083663
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,invert,0.5,600,0.016097110191676443,0.02094787716580271,-0.1759882831761484,0.2006328273518897,0.0042411896541487215,0.029017139524401568,-0.2033656509547762,0.21605239397650125,-0.340723521082343,0.3045266606017428,-9.476840496063233e-06,0.61,0.6516666666666666,42.755946791850995,150,31,23,0.020706299125714398,0.018188807420028343,0.018748654057845815
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,invert,0.75,600,0.021487213205182557,0.028274313527404615,-0.26639285140878216,0.29906744897168436,0.005692280379050014,0.03829463909596105,-0.30788417587341854,0.31971432431518954,-0.5113420655361132,0.45382772804440064,-1.586983601252238e-05,0.61,0.6333333333333333,42.755946791850995,150,36,55,0.0294178222540743,0.025819038756963987,0.02660463017176821
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,invert,1.0,600,0.025083941979044268,0.03541274219513468,-0.3573841955496409,0.3972010171347507,0.006700740408877053,0.044017498618823224,-0.41414295426981507,0.42073756409329877,-0.6821749334856747,0.6006631852547827,-2.342085043589274e-05,0.6033333333333334,0.6233333333333333,42.755946791850995,150,41,76,0.03701455213900902,0.03245347039538298,0.0334282911835429
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,zero,0.1,600,-0.0007054022855930716,0.0006011587852761124,-0.022253914045460732,0.016567305704327833,-0.0015156727913747167,0.0012976833266988307,-0.02616477684793234,0.019328316906837333,-0.04782454154554259,0.03300432052019318,-2.1203358968098957e-06,0.5333333333333333,0.8383333333333334,42.755946791850995,150,0,0,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,zero,0.2,600,-0.0015188605376826262,0.0011439963094552752,-0.04464961698457764,0.03311960093035072,-0.0030762558086873306,0.0024194041264689286,-0.05241690292702496,0.03844050111171799,-0.09559563440523319,0.06541494145873443,-4.335840543111166e-06,0.5316666666666666,0.7366666666666667,42.755946791850995,150,2,0,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,zero,0.35,600,-0.002942058016585764,0.0018845846548991574,-0.07850413360736717,0.057920047313913106,-0.005501293297156735,0.0037696524677910286,-0.09195306960193914,0.06670667149414414,-0.16714188079416986,0.11287550318079624,-7.783472537994385e-06,0.5316666666666666,0.65,42.755946791850995,150,13,2,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,fallback,zero,0.5,600,-0.004609188934037955,0.0024453546089269196,-0.11258030667251583,0.0826852403663323,-0.008026866139222382,0.0047182354422648605,-0.1316813094906686,0.09447799746294532,-0.23854304058138567,0.1588976320275556,-1.139909029006958e-05,0.5266666666666666,0.6116666666666667,42.755946791850995,150,21,5,,,
