run_id,candidate,airlight_mode,depth_mode,alpha,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,0.1,600,0.002224421143173855,0.0029071168266483483,-0.03570413163172503,0.04017763695737528,-0.0012157282995280856,0.004683764979329652,-0.043524617356715346,0.04529369010781584,-0.07650428900396804,0.06974956674735963,-1.2305378913879394e-06,0.5666666666666667,0.71,42.755946791850995,150,3,0,0.003755607208239778,0.0033180126429920164,0.003412776320875898
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,0.2,600,0.003980989839929071,0.00509384740985297,-0.07249952649600644,0.07938247858185182,-0.002564166020318292,0.008607751663418478,-0.08760031475998022,0.09001468728626297,-0.15356494108956936,0.1387321640149665,-2.7037660280863443e-06,0.56,0.6533333333333333,42.755946791850995,150,14,1,0.0073896363411835074,0.0065307383185902405,0.006717861503594976
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,0.35,600,0.005736136535047607,0.00827845809278216,-0.1283480255879322,0.1363001795957042,-0.004833651601174178,0.013065504449956033,-0.15474579237726094,0.15596834259319822,-0.2701549695353009,0.2406436116609889,-5.319416522979737e-06,0.55,0.6083333333333333,42.755946791850995,150,33,11,0.012608688354944667,0.011148717724343744,0.011469699221361377
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,0.5,600,0.0064330711613353846,0.010169584740207682,-0.1859096637843557,0.1908817072783461,-0.007396767052572528,0.01580613185042959,-0.22322150218410416,0.22058391548168627,-0.3883227561097904,0.34051015722108885,-8.443295955657959e-06,0.5383333333333333,0.5833333333333334,42.755946791850995,150,39,28,0.017544226468698472,0.015520499701269591,0.0159697116215625
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,0.75,600,0.005237920770919183,0.010076753585138931,-0.28473542741795654,0.28235257508541045,-0.012314471997624352,0.01655477394362767,-0.3399098575676998,0.32553801208516775,-0.5877109367378708,0.5035494574195191,-1.4762282371520995e-05,0.5316666666666666,0.5583333333333333,42.755946791850995,150,42,62,0.02512536452297967,0.022245935512879303,0.022896030796870637
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,invert,1.0,600,0.0010944846749211539,0.007940806353214924,-0.3996985150989463,0.37405868238680234,-0.018031493260112677,0.012536671544789803,-0.4596558558111146,0.4267164243616355,-0.7894286604560016,0.663695809459319,-2.248456080754598e-05,0.5183333333333333,0.5433333333333333,42.755946791850995,150,47,105,0.03188097522486427,0.02825157667900268,0.029086017389992454
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,0.1,600,-0.001531186065065923,-6.358053649790918e-06,-0.03334389407729503,0.027446460864411965,-0.003192262655390081,-0.00013980949898912816,-0.038201433529060934,0.031201671324229827,-0.06472181424511447,0.04881622175331657,-1.5414754549662273e-06,0.5,0.7116666666666667,42.755946791850995,150,3,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,0.2,600,-0.003408646501254437,-0.0002606005401020184,-0.06728802936989595,0.0547585755423131,-0.006498516537403205,-0.0008368273122096545,-0.0767876307856877,0.06194767780057611,-0.12989034965385216,0.09736390600197567,-3.253618876139323e-06,0.49666666666666665,0.61,42.755946791850995,150,12,1,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,0.35,600,-0.006872551819897061,-0.0012573156034996202,-0.11955735889064698,0.09544713977507889,-0.011670051647185436,-0.002923877535510873,-0.13537783706674855,0.10723652495744365,-0.22840317822099224,0.16964416744644026,-6.1226884524027505e-06,0.49166666666666664,0.55,42.755946791850995,150,28,8,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,fallback,zero,0.5,600,-0.011111155307363087,-0.003397789408236207,-0.17173167184275223,0.1357497615362016,-0.01709419921525163,-0.006255110428058733,-0.19477943833222966,0.1515847817028061,-0.3280294545998281,0.24122298428399205,-9.344915548960368e-06,0.48833333333333334,0.5266666666666666,42.755946791850995,150,38,21,,,
