train_depth,eval_label,eval_depth,common_count,mean_dpsnr_vs_a0,hard_bottom25_dpsnr,easy_top25_dpsnr,mean_dssim_vs_a0,positive_ratio,strong_regressions_le_m005,worst_regressions_le_m020
invert,true,invert,600,0.013905242284138997,-0.005601641337076823,0.03687299092610677,-2.676437298456828e-05,0.5883333333333334,38,75
invert,normal,normal,600,-0.015392430623372396,-0.02337702433268229,0.005493748982747396,-2.4585227171579998e-05,0.49666666666666665,31,40
invert,zero,zero,600,-0.01838062604268392,-0.022814369201660155,-0.0012640380859375,-2.5971432526906333e-05,0.465,31,35
invert,shuffle,shuffle,600,-0.014548648198445637,-0.022929344177246094,0.0059806315104166665,-2.563794453938802e-05,0.49,31,43
normal,invert,invert,600,-0.0010052490234375,-0.027323201497395835,0.030695978800455728,-4.3558677037556964e-05,0.5166666666666667,44,91
normal,true,normal,600,0.00853814442952474,-0.008318990071614584,0.03076197306315104,-3.2838582992553714e-05,0.5766666666666667,37,72
normal,zero,zero,600,0.0182178529103597,-0.001427294413248698,0.04041496276855469,-2.122799555460612e-05,0.5933333333333334,43,70
normal,shuffle,shuffle,600,0.007269134521484375,-0.011368331909179687,0.028843816121419272,-3.2696823279062904e-05,0.5783333333333334,41,72
shuffle,invert,invert,600,-0.002643880844116211,-0.022752825419108072,0.02443036397298177,-3.933161497116089e-05,0.53,42,78
shuffle,normal,normal,600,-0.0037912432352701824,-0.01922294616699219,0.02008079528808594,-3.6185383796691896e-05,0.5366666666666666,37,72
shuffle,zero,zero,600,-0.0022324975331624347,-0.01931227366129557,0.021957244873046875,-3.4609635670979816e-05,0.545,38,71
shuffle,true,shuffle,600,-0.00468711535135905,-0.020713539123535157,0.018558858235677083,-3.603458404541015e-05,0.535,39,69
zero,invert,invert,600,-0.02073054313659668,-0.027200635274251303,-0.0008479563395182291,-3.111372391382853e-05,0.46166666666666667,35,43
zero,normal,normal,600,-0.00853531837463379,-0.020601666768391928,0.01331939697265625,-3.169864416122437e-05,0.5083333333333333,39,60
zero,true,zero,600,-0.004806941350301107,-0.020598640441894533,0.018559850056966146,-3.585745890935262e-05,0.5366666666666666,39,71
zero,shuffle,shuffle,600,-0.010313695271809895,-0.021887308756510418,0.011021982828776042,-3.1887988249460857e-05,0.5016666666666667,41,53
