source,run_id,section,alpha,mean_psnr_delta,mean_ssim_delta,worst,true_vs_zero_surplus,positive_ratio,accept_all_gate_pass,granularity,actual_coverage,oracle_gate_pass,coverage,global_mean_delta,selected_mean_delta,selected_conditional_positive_ratio,global_non_degradation_ratio_delta_ge_-0.01,true_vs_zero_all_images,true_vs_zero_selected_images,coverage_mean,global_mean_delta_mean,global_mean_delta_min,global_hard_bottom25_delta_mean,global_mean_ssim_delta_mean,selected_conditional_positive_ratio_mean,true_vs_zero_all_images_mean,true_vs_zero_all_images_min,worst_mean,worst_max,pearson_log_t_error_vs_delta_psnr,pearson_jphys_abs_vs_delta_psnr,mean_log_t_abs_error_worst_le_-0.20,mean_log_t_abs_error_non_worst
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,alpha,0.1,0.0036837075978044887,-1.57088041305542e-06,0,0.004421591946599476,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,alpha,0.2,0.007094135395343428,-3.3302108446757e-06,1,0.008677342088972455,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,alpha,0.35,0.011694683707212808,-6.279349327087402e-06,7,0.014747653891091263,0.6183333333333333,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,alpha,0.5,0.015673639302077755,-9.606977303822836e-06,23,0.020438926377371214,0.6116666666666667,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,alpha,0.75,0.020914174313993665,-1.6035636266072593e-05,54,0.029072913185947825,0.61,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,alpha,1.0,0.024403719919233773,-2.3511151472727457e-05,76,0.036630494355306215,0.605,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,oracle60,,0.0925682675771196,9.625554084777833e-06,0,0.0564711879745928,,,image,0.6,True,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,oracle60,,0.1500521814765041,4.571626583735148e-05,0,0.07265930625134853,,,patch,0.49749793429548544,True,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,oracle60,,0.1771319436900624,0.0001078912615776062,0,0.08368764438955291,,,pixel,0.49729875069111584,True,,,,,,,,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,selector_correction,,,,9,,,,,,,0.25,0.021609630584716797,0.08643852233886719,0.72,0.9366666666666666,0.01959991772969564,0.07839967091878255,,,,,,,,,,,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,nested_selector,,,,,,,,,,,,,,,,,,0.31,0.016297308603922527,-0.0012201468149820964,-0.000785573323567708,-3.46998373667399e-07,0.695180797481761,0.019638023376464843,0.0024539788564046225,4.8,12,,,,
wg18_base_s008_b14,v32_ctdg_diag_wg18_base_s008_b14_seed3407_f0,t_error_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06666327913238958,-0.018513875521101987,0.3611116748499243,0.34797676803387756
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,alpha,0.1,0.00378143423323498,-1.527865727742513e-06,0,0.004486836518828052,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,alpha,0.2,0.007283128237853091,-3.2503406206766764e-06,1,0.008801988775535717,0.62,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,alpha,0.35,0.012008360845286396,-6.1569611231486e-06,8,0.01495041886187216,0.6183333333333333,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,alpha,0.5,0.016097110191676443,-9.476840496063233e-06,23,0.020706299125714398,0.61,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,alpha,0.75,0.021487213205182557,-1.586983601252238e-05,55,0.0294178222540743,0.61,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,alpha,1.0,0.025083941979044268,-2.342085043589274e-05,76,0.03701455213900902,0.6033333333333334,False,,,,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,oracle60,,0.09389763912329877,9.521543979644776e-06,0,0.05747870247801058,,,image,0.6,True,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,oracle60,,0.151961471378347,4.648993412653605e-05,0,0.07415468201446251,,,patch,0.49757834754263364,True,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,oracle60,,0.17946191238720302,0.00010960747798283895,0,0.08552436733812947,,,pixel,0.4974262574718644,True,,,,,,,,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,selector_correction,,,,9,,,,,,,0.25,0.02197604179382324,0.08790416717529297,0.72,0.9366666666666666,0.019838151931762697,0.07935260772705079,,,,,,,,,,,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,nested_selector,,,,,,,,,,,,,,,,,,0.31,0.016653162638346354,-0.0012070496877034506,-0.0006777699788411452,-3.693501154581705e-07,0.688284245757623,0.01985815684000651,0.0024208863576253253,4.8,12,,,,
wg18_light_hinge,v32_ctdg_diag_wg18_light_hinge_seed3407_f0,t_error_corr,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06601392974613392,-0.018308613682240953,0.3610952692596536,0.34797214210488414
