run_id,split,common_count,mean_true_a0,hard_true_a0,dssim,positive_ratio,worst,strong,true_vs_zero,true_vs_shuffle,true_vs_normal,relaxed_gate_pass,matrix_path
v34_fdf_tsr_e1_feature_only_seed3407_f0_quick5full,train,600,0.046359901428222654,-0.013892669677734375,4.358092943827311e-06,0.5466666666666666,123,56,0.2673429425557454,0.22031433741251627,0.25238464991251625,False,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e1_feature_only_seed3407_f0_quick5full_fallback_train.json
v34_fdf_tsr_e1_feature_only_seed3407_f1_quick5full,train,600,0.11425116539001465,0.11419572194417317,3.449449936548869e-05,0.6366666666666667,100,64,0.25062442143758135,0.2179063828786214,0.25930468241373694,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e1_feature_only_seed3407_f1_quick5full_fallback_train.json
v34_fdf_tsr_e1_feature_only_seed3411_f0_quick5full,train,600,0.09876360893249511,0.06550985972086588,-1.2908478577931722e-05,0.5666666666666667,138,65,0.20440268198649086,0.17864837010701495,0.20713813463846842,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e1_feature_only_seed3411_f0_quick5full_fallback_train.json
v34_fdf_tsr_e1_feature_only_seed3411_f1_quick5full,train,600,0.05729982376098633,0.04759165445963542,1.048038403193156e-05,0.5683333333333334,104,61,0.27720202128092447,0.22903664906819662,0.2720422204335531,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e1_feature_only_seed3411_f1_quick5full_fallback_train.json
v34_fdf_tsr_e2_tiny_residual_seed3407_f0_quick5full,train,600,0.047710755666097004,-0.012458012898763022,5.8272480964660645e-06,0.5466666666666666,120,56,0.27212914466857907,0.22371271769205728,0.25481695810953775,False,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e2_tiny_residual_seed3407_f0_quick5full_fallback_train.json
v34_fdf_tsr_e2_tiny_residual_seed3407_f1_quick5full,train,600,0.11650895754496257,0.11758007049560547,3.6883354187011716e-05,0.64,99,64,0.25193985303243005,0.21673055013020834,0.2560002644856771,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e2_tiny_residual_seed3407_f1_quick5full_fallback_train.json
v34_fdf_tsr_e2_tiny_residual_seed3407_quick5full,test,1000,-0.014802112579345703,0.03938142395019531,4.6873986721038816e-05,0.489,257,122,0.093062668800354,0.10603481769561768,0.13889102745056153,False,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e2_tiny_residual_seed3407_quick5full_fallback_test.json
v34_fdf_tsr_e2_tiny_residual_seed3411_f0_quick5full,train,600,0.09920660972595215,0.06558391571044922,-1.3826290766398112e-05,0.5666666666666667,137,65,0.21301961898803712,0.18086533864339194,0.2079476769765218,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e2_tiny_residual_seed3411_f0_quick5full_fallback_train.json
v34_fdf_tsr_e2_tiny_residual_seed3411_f1_quick5full,train,600,0.05783729235331218,0.04741616566975911,1.2770295143127441e-05,0.5616666666666666,107,60,0.2862505054473877,0.2326286760965983,0.27382103602091473,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e2_tiny_residual_seed3411_f1_quick5full_fallback_train.json
v34_fdf_tsr_e3_tsr_full_seed3407_f0_quick5full,train,600,0.05078051567077637,0.007993914286295574,9.446342786153157e-07,0.5516666666666666,139,58,0.2584251276652018,0.21290561993916832,0.24184036254882812,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e3_tsr_full_seed3407_f0_quick5full_fallback_train.json
v34_fdf_tsr_e3_tsr_full_seed3407_f1_quick5full,train,600,0.11709819157918294,0.1246740976969401,1.7832318941752116e-05,0.625,124,62,0.23720704714457194,0.20320144653320313,0.2405129273732503,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e3_tsr_full_seed3407_f1_quick5full_fallback_train.json
v34_fdf_tsr_e3_tsr_full_seed3411_f0_quick5full,train,600,0.08708190600077312,0.04344608306884765,-1.5512208143870036e-05,0.5733333333333334,132,61,0.20913363138834634,0.17869373003641764,0.20412054379781086,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e3_tsr_full_seed3411_f0_quick5full_fallback_train.json
v34_fdf_tsr_e3_tsr_full_seed3411_f1_quick5full,train,600,0.04899213473002116,0.029965909322102864,1.3488928476969401e-05,0.5716666666666667,116,61,0.27341945966084796,0.22453162193298343,0.2626784133911133,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e3_tsr_full_seed3411_f1_quick5full_fallback_train.json
v34_fdf_tsr_e4_plus_film_seed3407_f0_quick5full,train,600,0.05486403465270996,0.015104153951009114,1.1598070462544758e-06,0.565,137,56,0.20870560328165688,0.18015144030253094,0.19919294039408364,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e4_plus_film_seed3407_f0_quick5full_fallback_train.json
v34_fdf_tsr_e4_plus_film_seed3407_f1_quick5full,train,600,0.11761882464090984,0.11876115163167318,1.955866813659668e-05,0.6183333333333333,119,60,0.191578369140625,0.170044314066569,0.19595101674397786,True,/home/caozhiyang/ConvIR-B/repos/ConvIR-B-dta-v3-4-fdf-tsr-finetune/experience_docx/experiment_logs/haze4k_dta_v3_dapc_20260611/train_eval_depth_matrix_v34_fdf_tsr_e4_plus_film_seed3407_f1_quick5full_fallback_train.json
