fold,min_coverage,count,selected_count,coverage,global_mean_delta,global_hard_bottom25_delta,global_easy_top25_delta,global_mean_ssim_delta,global_positive_ratio_delta_gt_0,global_positive_or_zero_ratio_delta_ge_0,global_non_degradation_ratio_delta_ge_-0.01,selected_mean_delta,selected_hard_bottom25_delta,selected_easy_top25_delta,selected_mean_ssim_delta,selected_conditional_positive_ratio,selected_conditional_non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_all_images,true_vs_shuffle_all_images,true_vs_normal_all_images,true_vs_zero_selected_images,true_vs_shuffle_selected_images,true_vs_normal_selected_images
0,0.15,120,33,0.275,0.025524171193440755,0.005062993367513021,0.049292500813802084,1.1866291364034018e-06,0.20833333333333334,0.9333333333333333,0.9416666666666667,0.0928151679761482,0.07594490051269531,0.11375192495492789,4.315015041466915e-06,0.7575757575757576,0.7878787878787878,42.74354362487793,3,2,0.02014334996541341,0.018662071228027342,0.017672348022460937,0.07324854532877605,0.0678620771928267,0.06426308371803978
0,0.25,120,33,0.275,0.025524171193440755,0.005062993367513021,0.049292500813802084,1.1866291364034018e-06,0.20833333333333334,0.9333333333333333,0.9416666666666667,0.0928151679761482,0.07594490051269531,0.11375192495492789,4.315015041466915e-06,0.7575757575757576,0.7878787878787878,42.74354362487793,3,2,0.02014334996541341,0.018662071228027342,0.017672348022460937,0.07324854532877605,0.0678620771928267,0.06426308371803978
0,0.4,120,45,0.375,0.02285799980163574,-0.001805559794108073,0.031074142456054686,2.312660217285156e-06,0.24166666666666667,0.8666666666666667,0.8666666666666667,0.06095466613769531,-0.0060185326470269095,0.06658744812011719,6.167093912760417e-06,0.6444444444444445,0.6444444444444445,42.74354362487793,4,3,0.022541077931722005,0.019856675465901693,0.020696083704630535,0.06010954115125868,0.05295113457573785,0.055189556545681424
0,0.55,120,61,0.5083333333333333,0.028731902440388996,-0.01022802988688151,0.045581944783528644,1.1185805002848307e-06,0.31666666666666665,0.8083333333333333,0.8083333333333333,0.05652177529256852,-0.025570074717203777,0.08546614646911621,2.2004862300685196e-06,0.6229508196721312,0.6229508196721312,42.74354362487793,5,6,0.030658435821533204,0.027480443318684895,0.027762778600056968,0.06031167702596696,0.05405988849577357,0.05461530216404649
0,0.7,120,90,0.75,0.011962413787841797,-0.019783528645833333,0.009401321411132812,-1.4677643775939941e-05,0.4,0.65,0.6583333333333333,0.01594988505045573,-0.021196637834821428,0.02014568873814174,-1.9570191701253254e-05,0.5333333333333333,0.5444444444444444,42.74354362487793,5,10,0.02651384671529134,0.023523473739624025,0.023203341166178386,0.035351795620388454,0.03136463165283203,0.03093778822157118
1,0.15,120,26,0.21666666666666667,0.01663812001546224,0.0050504048665364586,0.043731307983398436,4.1584173838297525e-06,0.15,0.9333333333333333,0.9333333333333333,0.07679132314828727,0.03787803649902344,0.2186565399169922,1.919269561767578e-05,0.6923076923076923,0.6923076923076923,42.629146575927734,0,3,0.014763402938842773,0.013503328959147135,0.01431738535563151,0.06813878279465896,0.06232305673452524,0.06608024010291466
1,0.25,120,26,0.21666666666666667,0.01663812001546224,0.0050504048665364586,0.043731307983398436,4.1584173838297525e-06,0.15,0.9333333333333333,0.9333333333333333,0.07679132314828727,0.03787803649902344,0.2186565399169922,1.919269561767578e-05,0.6923076923076923,0.6923076923076923,42.629146575927734,0,3,0.014763402938842773,0.013503328959147135,0.01431738535563151,0.06813878279465896,0.06232305673452524,0.06608024010291466
1,0.4,120,62,0.5166666666666667,0.03778889973958333,0.0030927022298177084,0.03877385457356771,4.240373770395915e-06,0.39166666666666666,0.875,0.875,0.07313980594758064,0.023195266723632812,0.04846731821695963,8.207175039475964e-06,0.7580645161290323,0.7580645161290323,42.629146575927734,5,6,0.034563541412353516,0.029354461034139,0.03043370246887207,0.06689717692713584,0.056815085872527094,0.05890394026233304
1,0.55,120,74,0.6166666666666667,0.044276889165242514,0.0048184076944986975,0.058831405639648435,3.5613775253295896e-07,0.45,0.8333333333333334,0.8333333333333334,0.07180036080850137,0.020650318690708706,0.06536822848849827,5.775206797831767e-07,0.7297297297297297,0.7297297297297297,42.629146575927734,6,7,0.04084758758544922,0.035094531377156575,0.0364408810933431,0.06623933121964738,0.05691005088187553,0.05909332069190773
1,0.7,120,83,0.6916666666666667,0.042583338419596356,0.002504730224609375,0.08340937296549479,-2.4338563283284505e-08,0.49166666666666664,0.8,0.8,0.061566272413874246,0.008349100748697916,0.08628555824016702,-3.518828426498965e-08,0.7108433734939759,0.7108433734939759,42.629146575927734,6,9,0.043000443776448564,0.038339694341023765,0.03922441800435384,0.06216931630329913,0.05543088338461267,0.056710001934005556
2,0.15,120,64,0.5333333333333333,0.012702608108520507,-0.048502540588378905,0.04383074442545573,-8.523960908253987e-06,0.3416666666666667,0.8083333333333333,0.8083333333333333,0.023817390203475952,-0.06613982807506215,0.1314922332763672,-1.5982426702976227e-05,0.640625,0.640625,42.82459259033203,3,12,0.03141104380289714,0.028451983133951822,0.029910802841186523,0.05889570713043213,0.05334746837615967,0.05608275532722473
2,0.25,120,64,0.5333333333333333,0.012702608108520507,-0.048502540588378905,0.04383074442545573,-8.523960908253987e-06,0.3416666666666667,0.8083333333333333,0.8083333333333333,0.023817390203475952,-0.06613982807506215,0.1314922332763672,-1.5982426702976227e-05,0.640625,0.640625,42.82459259033203,3,12,0.03141104380289714,0.028451983133951822,0.029910802841186523,0.05889570713043213,0.05334746837615967,0.05608275532722473
2,0.4,120,64,0.5333333333333333,0.012702608108520507,-0.048502540588378905,0.04383074442545573,-8.523960908253987e-06,0.3416666666666667,0.8083333333333333,0.8083333333333333,0.023817390203475952,-0.06613982807506215,0.1314922332763672,-1.5982426702976227e-05,0.640625,0.640625,42.82459259033203,3,12,0.03141104380289714,0.028451983133951822,0.029910802841186523,0.05889570713043213,0.05334746837615967,0.05608275532722473
2,0.55,120,75,0.625,0.012920300165812174,-0.04729798634847005,0.04127375284830729,-2.291897932688395e-05,0.39166666666666666,0.7666666666666667,0.7833333333333333,0.02067248026529948,-0.06449725411155006,0.07283603443818934,-3.6670366923014324e-05,0.6266666666666667,0.6533333333333333,42.82459259033203,4,13,0.03369466463724772,0.030089569091796876,0.03188033103942871,0.05391146341959636,0.048143310546875,0.05100852966308594
