fold,min_coverage,count,selected_count,coverage,global_mean_delta,global_hard_bottom25_delta,global_easy_top25_delta,global_mean_ssim_delta,global_positive_ratio_delta_gt_0,global_positive_or_zero_ratio_delta_ge_0,global_non_degradation_ratio_delta_ge_-0.01,selected_mean_delta,selected_hard_bottom25_delta,selected_easy_top25_delta,selected_mean_ssim_delta,selected_conditional_positive_ratio,selected_conditional_non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_all_images,true_vs_shuffle_all_images,true_vs_normal_all_images,true_vs_zero_selected_images,true_vs_shuffle_selected_images,true_vs_normal_selected_images
0,0.15,120,33,0.275,0.02554607391357422,0.005104192097981771,0.04957784016927083,1.0808308919270833e-06,0.20833333333333334,0.9333333333333333,0.9416666666666667,0.09289481423117897,0.07656288146972656,0.114410400390625,3.930294152462121e-06,0.7575757575757576,0.7878787878787878,42.74354362487793,3,2,0.020319430033365886,0.018841361999511717,0.01788304646809896,0.07388883648496686,0.06851404363458807,0.06502925988399622
0,0.25,120,33,0.275,0.02554607391357422,0.005104192097981771,0.04957784016927083,1.0808308919270833e-06,0.20833333333333334,0.9333333333333333,0.9416666666666667,0.09289481423117897,0.07656288146972656,0.114410400390625,3.930294152462121e-06,0.7575757575757576,0.7878787878787878,42.74354362487793,3,2,0.020319430033365886,0.018841361999511717,0.01788304646809896,0.07388883648496686,0.06851404363458807,0.06502925988399622
0,0.4,120,45,0.375,0.022057263056437175,-0.002299054463704427,0.03135553995768229,2.0613272984822593e-06,0.23333333333333334,0.8583333333333333,0.8583333333333333,0.05881936815049913,-0.0076635148790147566,0.06719044276646205,5.496872795952691e-06,0.6222222222222222,0.6222222222222222,42.74354362487793,4,3,0.02230410575866699,0.019674968719482423,0.020492045084635417,0.059477615356445315,0.05246658325195312,0.05464545355902778
0,0.55,120,82,0.6833333333333333,0.02435646057128906,-0.01852251688639323,0.016773223876953125,-6.206333637237549e-06,0.4166666666666667,0.7333333333333333,0.75,0.035643600836032775,-0.025257977572354404,0.025159835815429688,-9.08243946912812e-06,0.6097560975609756,0.6341463414634146,42.74354362487793,5,4,0.026179726918538412,0.023393615086873373,0.023165766398111978,0.03831179549054402,0.03423455866371713,0.03390112155821265
0,0.7,120,100,0.8333333333333334,0.028550402323404948,-0.015242385864257812,0.04345499674479167,-1.4024972915649415e-05,0.48333333333333334,0.65,0.6666666666666666,0.03426048278808594,-0.0163311277117048,0.056680430536684784,-1.6829967498779298e-05,0.58,0.6,42.74354362487793,6,6,0.03412691752115885,0.031149657567342122,0.030366007486979166,0.040952301025390624,0.037379589080810544,0.036439208984375
1,0.15,120,26,0.21666666666666667,0.016027800242106118,0.004683685302734375,0.0394354502360026,4.245340824127197e-06,0.15,0.9333333333333333,0.9416666666666667,0.0739744626558744,0.03512763977050781,0.19717725118001303,1.959388072674091e-05,0.6923076923076923,0.7307692307692307,42.629146575927734,0,3,0.014496707916259765,0.013352537155151367,0.014086516698201497,0.06690788269042969,0.06162709456223708,0.06501469245323768
1,0.25,120,26,0.21666666666666667,0.016027800242106118,0.004683685302734375,0.0394354502360026,4.245340824127197e-06,0.15,0.9333333333333333,0.9416666666666667,0.0739744626558744,0.03512763977050781,0.19717725118001303,1.959388072674091e-05,0.6923076923076923,0.7307692307692307,42.629146575927734,0,3,0.014496707916259765,0.013352537155151367,0.014086516698201497,0.06690788269042969,0.06162709456223708,0.06501469245323768
1,0.4,120,62,0.5166666666666667,0.03663175900777181,0.003405316670735677,0.0376312255859375,4.285573959350586e-06,0.39166666666666666,0.875,0.8833333333333333,0.07090017872471963,0.025539875030517578,0.047039031982421875,8.294659276162424e-06,0.7580645161290323,0.7741935483870968,42.629146575927734,5,6,0.03429036140441895,0.029279724756876627,0.03039660453796387,0.06636844142790764,0.0566704350133096,0.05883213781541394
1,0.55,120,74,0.6166666666666667,0.042464590072631835,0.005082384745279948,0.05563913981119792,4.1971604029337567e-07,0.45,0.8333333333333334,0.8416666666666667,0.06886149741507866,0.021781648908342634,0.06182126645688658,6.806206058811497e-07,0.7297297297297297,0.7432432432432432,42.629146575927734,6,7,0.0402654488881429,0.03477015495300293,0.03611202239990234,0.06529532252131282,0.05638403505892367,0.05856003632416596
1,0.7,120,90,0.75,0.04238204956054688,0.01954332987467448,0.06821645100911458,-2.370278040568034e-06,0.5,0.75,0.775,0.0565093994140625,0.022549996009239785,0.08527056376139323,-3.1603707207573787e-06,0.6666666666666666,0.7,42.629146575927734,5,5,0.03662411371866862,0.03265525499979655,0.033739932378133136,0.04883215162489149,0.043540339999728735,0.04498657650417752
