feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,>=,0.9725490808486938,-0.07438499962488809,600,541,0.9016666666666666,0.021907876332600912,0.014272689819335938,0.005325342814127604,0.043110249837239586,-2.201696236928304e-05,0.5466666666666666,42.755948066711426,38,66,0.032615588506062825,0.028602676391601564,0.029476458231608074
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,<=,0.9803921580314636,-0.03105811198552449,600,95,0.15833333333333333,-0.0017146587371826172,0.0,-0.004665056864420573,-0.0006635538736979166,-3.017385800679525e-06,0.085,42.755948066711426,2,20,0.004182984034220377,0.0037142181396484374,0.0038466580708821614
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,>=,0.9803921580314636,-0.05945342925389609,600,511,0.8516666666666667,0.02456461270650228,0.008758544921875,0.007993303934733072,0.043110249837239586,-2.063294251759847e-05,0.52,42.755948066711426,38,58,0.03227591514587402,0.028324527740478514,0.029163748423258463
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,<=,0.98562091588974,-0.037812929805119834,600,123,0.205,-0.0011488914489746094,0.0,-0.0026756032307942708,-6.383260091145833e-06,-3.5569071769714354e-06,0.11,42.755948066711426,3,25,0.004102001190185547,0.0036257775624593098,0.00362484614054362
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,>=,0.98562091588974,-0.04503030126889547,600,483,0.805,0.02649830182393392,0.0010967254638671875,0.01157660166422526,0.044659423828125,-1.9760032494862873e-05,0.5016666666666667,42.755948066711426,36,51,0.032894894282023114,0.02885494867960612,0.029788716634114584
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,<=,0.9895424842834473,-0.05226885450681051,600,154,0.25666666666666665,-0.00540316899617513,0.0,-0.0049432118733723955,-0.0009280141194661459,-7.562537988026937e-06,0.13,42.755948066711426,4,31,0.0034760697682698566,0.0029974905649820965,0.0030254109700520834
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,>=,0.9895424842834473,-0.03367401661872864,600,452,0.7533333333333333,0.02968083699544271,0.0,0.012903213500976562,0.04576815287272135,-1.5987853209177654e-05,0.4816666666666667,42.755948066711426,35,46,0.032944866816202796,0.02892793337504069,0.02984090805053711
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,<=,0.9921568632125854,-0.07054174869855245,600,183,0.305,-0.007802985509236654,0.0,-0.007863807678222656,-0.004794845581054688,-1.2395083904266358e-05,0.15,42.755948066711426,7,40,0.0029001808166503906,0.0026241556803385416,0.00258909543355306
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,>=,0.9921568632125854,-0.025973432079950978,600,428,0.7133333333333334,0.030131508509318033,0.0,0.012881253560384115,0.04445164998372396,-1.2014607588450113e-05,0.46166666666666667,42.755948066711426,35,41,0.032696743011474606,0.02866308848063151,0.029549840291341146
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_airlight_fallback_mean,<=,0.9947712421417236,-0.08121318731307985,600,223,0.37166666666666665,-0.008007802963256837,0.0,-0.008755836486816406,0.002647120157877604,-1.2829899787902832e-05,0.185,42.755948066711426,8,47,0.003763678868611654,0.0032529830932617188,0.0032615025838216146
