feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.04076471924781799,-0.08606837892532347,600,540,0.9,0.018475011189778647,0.012699127197265625,-0.006081466674804688,0.03778546651204427,-2.6595791180928547e-05,0.5316666666666666,42.755948066711426,37,70,0.033017784754435224,0.029456907908121745,0.030251620610555013
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.06294443905353544,0.007739303588867187,600,90,0.15,0.006005976994832357,0.0,0.011946627298990885,0.00266143798828125,3.8603941599527994e-07,0.10833333333333334,42.755948066711426,2,2,0.0039933395385742185,0.003544603983561198,0.003840516408284505
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.06294443905353544,-0.09076738754908244,600,510,0.85,0.015291900634765624,0.0,-0.010368118286132813,0.03805015563964844,-2.5234023729960125e-05,0.49,42.755948066711426,36,70,0.03157484372456869,0.028034610748291014,0.028810081481933595
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.09152942895889282,0.008545701742172243,600,120,0.2,0.007185948689778646,0.0,0.020161819458007813,0.0026492818196614584,-1.1784831682840984e-06,0.14,42.755948066711426,2,4,0.004685735702514649,0.004211734135945638,0.004403298695882162
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.09152942895889282,-0.09156606491406759,600,480,0.8,0.014111928939819336,0.0,-0.01858331044514974,0.03806231180826823,-2.3669501145680746e-05,0.4583333333333333,42.755948066711426,36,68,0.030882447560628256,0.027367480595906577,0.028247299194335936
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.1162581592798233,0.005997323910395306,600,150,0.25,0.007209590276082357,0.0,0.020570844014485678,0.0025667826334635417,-2.6465455691019692e-06,0.16833333333333333,42.755948066711426,3,6,0.005895907084147135,0.005375086466471354,0.00554690678914388
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.1162581592798233,-0.08901768708229064,600,450,0.75,0.014088287353515624,0.0,-0.018992335001627603,0.03814481099446614,-2.2201438744862876e-05,0.43,42.755948066711426,35,66,0.029672276178995767,0.02620412826538086,0.027103691101074218
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.13999998569488525,0.0033004813989003534,600,185,0.30833333333333335,0.007623437245686849,0.0,0.01883318583170573,0.0033790334065755207,-3.2576918601989747e-06,0.20166666666666666,42.755948066711426,5,8,0.007984469731648763,0.0072685782114664714,0.007457831700642904
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.13999998569488525,-0.08610868504842123,600,421,0.7016666666666667,0.013896023432413737,0.0,-0.0160226567586263,0.036442464192708336,-2.1742979685465496e-05,0.4033333333333333,42.755948066711426,34,64,0.02785496393839518,0.024596948623657227,0.025452604293823244
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.17000001668930054,0.0013438505808512384,600,216,0.36,0.008763739267985026,0.0,0.020193684895833335,0.0058660125732421875,-7.105668385823568e-06,0.23833333333333334,42.755948066711426,5,11,0.009747606913248698,0.008866964975992838,0.009048363367716472
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.17000001668930054,-0.08350656305948893,600,391,0.6516666666666666,0.012991406122843425,0.0,-0.017940254211425782,0.03556391398111979,-1.762827237447103e-05,0.37166666666666665,42.755948066711426,33,61,0.02616265296936035,0.02304390589396159,0.02392154375712077
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.1899999976158142,0.00022986017862955833,600,244,0.4066666666666667,0.009720449447631835,0.0,0.018989295959472657,0.005753631591796875,-9.171962738037109e-06,0.2633333333333333,42.755948066711426,5,13,0.011824385325113932,0.010726645787556966,0.01103114128112793
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.1899999976158142,-0.08023098616600037,600,364,0.6066666666666667,0.0136128298441569,0.0,-0.016622645060221354,0.035040359497070316,-1.526763041814168e-05,0.3466666666666667,42.755948066711426,33,59,0.025167729059855145,0.022126194636027018,0.02290578524271647
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.2094117432832718,-0.004005006154378253,600,270,0.45,0.009426457087198893,0.0,0.017417564392089843,0.005232620239257813,-1.0178883870442709e-05,0.2833333333333333,42.755948066711426,7,15,0.01233544667561849,0.011241362889607748,0.011461915969848633
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.2094117432832718,-0.0790153570175171,600,330,0.55,0.011871420542399088,0.0,-0.015839055379231772,0.035478973388671876,-1.4669100443522135e-05,0.315,42.755948066711426,31,57,0.023232736587524415,0.020337851842244466,0.021188681920369466
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.22366014122962952,-0.005990588506062823,600,300,0.5,0.009945608774820964,0.0,0.01706194559733073,0.00741668701171875,-1.0343790054321289e-05,0.31,42.755948066711426,10,16,0.01301038424173991,0.01170623779296875,0.011944284439086914
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.22366014122962952,-0.07702977466583252,600,300,0.5,0.011352268854777019,0.0,-0.015483436584472656,0.033294906616210936,-1.4504194259643555e-05,0.28833333333333333,42.755948066711426,28,56,0.022557799021402994,0.019872976938883465,0.020706313451131185
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.25,-0.0026583801587422725,600,334,0.5566666666666666,0.01475316047668457,0.0,0.020919532775878907,0.017321650187174478,-1.10397736231486e-05,0.3516666666666667,42.755948066711426,10,19,0.016592076619466146,0.014743280410766602,0.015278666814168295
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.25,-0.0783200629234314,600,274,0.45666666666666667,0.007993122736612956,0.0,-0.019306246439615884,0.02718205769856771,-1.3898015022277831e-05,0.25833333333333336,42.755948066711426,28,53,0.020016005833943685,0.01775633176167806,0.018368050257364908
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.27704573869705196,-0.005964686314264935,600,360,0.6,0.016135231653849284,0.0,0.021418774922688802,0.012290980021158854,-1.107563575108846e-05,0.375,42.755948066711426,13,22,0.018533802032470702,0.01631272315979004,0.01714151700337728
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,>=,0.27704573869705196,-0.0770556768576304,600,240,0.4,0.0051626459757486975,0.0,-0.01984026590983073,0.028420613606770832,-1.3772348562876384e-05,0.22333333333333333,42.755948066711426,25,50,0.0170343812306722,0.015266491572062174,0.015509080886840821
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_airlight_abs_gap_mean,<=,0.30000001192092896,-0.0006838833332061759,600,392,0.6533333333333333,0.02141254742940267,0.0,0.018279380798339843,0.026898345947265624,-1.3053317864735921e-05,0.41333333333333333,42.755948066711426,14,23,0.02365624745686849,0.02065052350362142,0.021885779698689777
