rank,name,bucket,categories,original_psnr,candidate_psnr,delta_psnr,panel_included,sample_dir
28,102_0.67_1.36.png,hard_bottom_25pct,hard_regression,24.90088653564453,22.93707847595215,-1.9638080596923828,0,samples/28_102_0.67_1.36
32,103_0.94_0.98.png,hard_bottom_25pct,hard_regression,26.8599796295166,25.119905471801758,-1.7400741577148438,0,samples/32_103_0.94_0.98
20,109_0.74_1.74.png,medium_middle_50pct,best_gain_top10,30.75299072265625,34.20174789428711,3.4487571716308594,1,samples/20_109_0.74_1.74
13,111_0.98_0.89.png,medium_middle_50pct,best_gain_top10,30.243694305419922,34.713096618652344,4.469402313232422,1,samples/13_111_0.98_0.89
7,115_0.52_0.82.png,medium_middle_50pct,worst_regression_top10,35.861305236816406,31.284276962280273,-4.577028274536133,1,samples/07_115_0.52_0.82
22,121_0.86_1.21.png,hard_bottom_25pct,hard_gain,27.988075256347656,31.374380111694336,3.3863048553466797,0,samples/22_121_0.86_1.21
12,122_0.94_1.72.png,hard_bottom_25pct,best_gain_top10|hard_gain,27.078401565551758,31.7515869140625,4.673185348510742,1,samples/12_122_0.94_1.72
27,13_0.52_1.9.png,hard_bottom_25pct,hard_regression,27.705127716064453,25.509479522705078,-2.195648193359375,0,samples/27_13_0.52_1.9
17,167_0.53_1.34.png,hard_bottom_25pct,best_gain_top10|hard_gain,28.321744918823242,31.89830780029297,3.5765628814697266,1,samples/17_167_0.53_1.34
31,184_0.83_0.77.png,hard_bottom_25pct,hard_regression,29.028221130371094,27.16373634338379,-1.8644847869873047,0,samples/31_184_0.83_0.77
54,211_0.94_0.77.png,medium_middle_50pct,medium_ordinary_regression,32.88129425048828,32.69180679321289,-0.18948745727539062,0,samples/54_211_0.94_0.77
26,235_0.9_0.72.png,hard_bottom_25pct,hard_regression,27.16800308227539,24.717830657958984,-2.4501724243164062,0,samples/26_235_0.9_0.72
