source_key,source_name,family,priority_role,split_name,count,coverage,mean_delta,median_delta,hard_bottom25_delta,easy_top25_delta,best10pct_delta,worst10pct_delta,mean_ssim_delta,positive_ratio,strong_regression_count,strong_regression_ratio,worst_regression_count,worst_regression_ratio,utility_score,mechanism_gate_pass,utility_gate_pass,promotion_gate_pass,classification,known_status,source_path,notes
fam2_confidence,FAM2 confidence-gated gamma stop20,FAM2,hard_expert_candidate,stop20_test_like,1000,1.0,0.45234449005126953,0.46138954162597656,0.9379619064331055,-0.06999343872070313,3.4038584518432615,-2.4648619174957274,0.004302533745765686,0.601,121,0.484,350,0.35,0.6204028228759766,True,False,False,mechanism_positive_expert_candidate,,experience_docx/experiment_logs/haze4k_fam2_conf_gate_stop20_20260601/scout_eval_per_image_seed3407_stop20_best.csv,"Strong hard movement, but preservation/selectivity failed prior gate."
udpnet_phase0_val_hard,official UDPNet ConvIR Phase0 val_hard,FullUDP,hard_expert,val_hard,300,1.0,0.42602890650431313,0.48072338104248047,0.6211632537841797,0.2674918619791667,3.988550821940104,-2.729880714416504,-0.00027603129545847576,0.61,33,0.44,104,0.3466666666666667,0.41166527589162183,True,False,False,mechanism_positive_expert_candidate,PHASE0_REPRODUCTION_GATE_FAIL_GLOBAL_REPLACEMENT,experience_docx/experiment_logs/haze4k_fulludp_v15_phase0_repro_20260605/phase0_official_eval/udpnet_convir_bucket_compare.csv,
fam2_only,FAM2-only stop20,FAM2,hard_expert_candidate,stop20_test_like,1000,1.0,0.17386810874938965,0.1408224105834961,0.8159238891601562,-0.285964599609375,3.799626340866089,-3.4191222763061524,0.00042383241653442383,0.527,138,0.552,444,0.444,0.006204624557495153,True,False,False,mechanism_positive_expert_candidate,,experience_docx/experiment_logs/haze4k_fam2_modres_stop20_20260531/scout_eval_per_image_seed3407_stop20.csv,Legacy single-split stop20 evidence; compare cautiously with internal split evidence.
dpga_v1_3b_best_hard,DPGA-v1.3B HSDF Best val_hard,DPGA,small_gain_reference,val_hard,300,1.0,0.024686304728190105,0.016826629638671875,0.02364232381184896,0.034118092854817705,0.16737569173177083,-0.10995222727457682,5.0606330235799155e-06,0.63,8,0.10666666666666667,0,0.0,-0.01109630839029948,False,False,False,diagnostic_or_stopped,,experience_docx/experiment_logs/haze4k_dpga_v13_hsdf_20260604/v13b_eval_regular_hard/scout_eval_per_image_v13b_best_val_hard_vs_a0.csv,
dpga_v1_2_best,DPGA tail-control v1.2 Best,DPGA,small_gain_reference,val_inner,300,1.0,0.042655715942382814,0.026620864868164062,0.02622472127278646,0.06800872802734376,0.3262266794840495,-0.22280680338541667,3.786484400431315e-06,0.62,14,0.18666666666666668,16,0.05333333333333334,-0.061618611653645836,False,False,False,diagnostic_or_stopped,,experience_docx/experiment_logs/haze4k_dpga_tail_control_20260604/v1_2_val_inner_eval/scout_eval_per_image_v1_2_val_inner_best_vs_a0.csv,
dpga_v1_3b_best_regular,DPGA-v1.3B HSDF Best val_regular,DPGA,small_gain_reference,val_regular,300,1.0,0.025839455922444663,0.014712333679199219,0.02027208964029948,0.02220494588216146,0.21677602132161458,-0.1460272471110026,1.456936200459798e-06,0.5866666666666667,15,0.2,3,0.01,-0.0650548235575358,False,False,False,diagnostic_or_stopped,,experience_docx/experiment_logs/haze4k_dpga_v13_hsdf_20260604/v13b_eval_regular_hard/scout_eval_per_image_v13b_best_val_regular_vs_a0.csv,
udp_lite_v1_4b_best_hard,UDP-Lite v1.4B BiDPFM1 Best val_hard,DPGA,small_gain_reference,val_hard,300,1.0,0.023429476420084635,0.017103195190429688,0.020760294596354166,0.03629664103190104,0.23253542582194012,-0.1659432093302409,-1.2042522430419921e-05,0.57,16,0.21333333333333335,8,0.02666666666666667,-0.08576887893676759,False,False,False,diagnostic_or_stopped,,experience_docx/experiment_logs/haze4k_udp_lite_v14b_bidpfm1_20260604/v14b_eval_regular_hard/scout_eval_per_image_v14b_best_val_hard_vs_a0.csv,
udp_lite_v1_4b_best_regular,UDP-Lite v1.4B BiDPFM1 Best val_regular,DPGA,small_gain_reference,val_regular,300,1.0,0.02862353006998698,0.0123138427734375,0.011189219156901041,0.025532633463541666,0.3115178426106771,-0.21830787658691406,-7.777810096740723e-06,0.5366666666666666,21,0.28,17,0.056666666666666664,-0.13775573190053306,False,False,False,diagnostic_or_stopped,,experience_docx/experiment_logs/haze4k_udp_lite_v14b_bidpfm1_20260604/v14b_eval_regular_hard/scout_eval_per_image_v14b_best_val_regular_vs_a0.csv,
b1r_decoder_rhfd,B1r decoder RHFD preservation,PFD_RHFD,low_risk_reference,stop20_test_like,1000,1.0,0.0027779293060302733,0.0040130615234375,0.04610902404785156,-0.024788650512695312,0.28831329345703127,-0.23754583358764647,5.022120475769043e-05,0.517,103,0.412,57,0.057,-0.22134836921691894,False,False,False,diagnostic_or_stopped,,experience_docx/experiment_logs/haze4k_b1r_decoder_rhfd_preserve_20260602/scout_eval_per_image_seed3407_B1r_stop20_vs_A0_best.csv,
dpga_lite_v1_0_best,DPGA-Lite v1.0 Best,DPGA,small_gain_reference,full_test_diagnostic,1000,1.0,0.031198993682861328,0.038323402404785156,0.014572013854980468,0.020870925903320313,0.5634444999694824,-0.47905115127563475,8.788025379180908e-05,0.59,105,0.42,163,0.163,-0.26019311752319335,False,False,False,diagnostic_or_stopped,,experience_docx/experiment_logs/haze4k_dpga_lite_20260604/eval_a0_compare/scout_eval_per_image_seed3407_dpga_lite_best_vs_A0.csv,
