mode,split,fold,index,name,mapper,K,candidate_scale,family,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,pred_abs_mean,scaled_pred_abs_mean,target_abs_mean
v04d,train,0,0,1000_0.74_1.6.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,36.873966217041016,38.099700927734375,38.7684211730957,1.2257347106933594,1.8944549560546875,0.6284576058387756,1.0,0.9999957084655762,0.21336445212364197,1.0,0.01052951067686081,0.01052951067686081,0.011343074962496758
v04d,train,0,0,1000_0.74_1.6.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,36.873966217041016,38.36320877075195,38.7684211730957,1.4892425537109375,1.8944549560546875,0.6808665990829468,1.0,0.9999957084655762,0.21336445212364197,1.0,0.012621710076928139,0.012621710076928139,0.011343074962496758
v04d,train,0,0,1000_0.74_1.6.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,36.873966217041016,37.65509033203125,38.7684211730957,0.7811241149902344,1.8944549560546875,0.5148099064826965,1.0,0.9999957084655762,0.21336445212364197,1.0,0.007954795844852924,0.007954795844852924,0.011343074962496758
v04d,train,0,0,1000_0.74_1.6.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,36.873966217041016,38.24283981323242,38.7684211730957,1.3688735961914062,1.8944549560546875,0.8035763502120972,1.0,0.9999957084655762,0.21336445212364197,1.0,0.009921771474182606,0.009921771474182606,0.011343074962496758
v04d,train,0,0,1000_0.74_1.6.png,global_mean_coeff,16,1.0,global_mean,36.873966217041016,37.53990173339844,38.7684211730957,0.6659355163574219,1.8944549560546875,0.5136370658874512,1.0,0.9999957084655762,0.21336445212364197,1.0,0.006135018542408943,0.006135018542408943,0.011343074962496758
v04d,train,0,1,1001_0.89_1.66.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,35.02719497680664,35.55896759033203,36.46269226074219,0.5317726135253906,1.4354972839355469,0.4284100830554962,1.0,0.9999926090240479,0.15691329538822174,1.0,0.008116955868899822,0.008116955868899822,0.013408035039901733
v04d,train,0,1,1001_0.89_1.66.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,35.02719497680664,35.56409454345703,36.46269226074219,0.5368995666503906,1.4354972839355469,0.4227971136569977,1.0,0.9999926090240479,0.15691329538822174,1.0,0.008218585513532162,0.008218585513532162,0.013408035039901733
v04d,train,0,1,1001_0.89_1.66.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,35.02719497680664,35.64506912231445,36.46269226074219,0.6178741455078125,1.4354972839355469,0.3465510904788971,1.0,0.9999926090240479,0.15691329538822174,1.0,0.010074619203805923,0.010074619203805923,0.013408035039901733
v04d,train,0,1,1001_0.89_1.66.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,35.02719497680664,35.90579605102539,36.46269226074219,0.87860107421875,1.4354972839355469,0.6801334023475647,1.0,0.9999926090240479,0.15691329538822174,1.0,0.011217614635825157,0.011217614635825157,0.013408035039901733
v04d,train,0,1,1001_0.89_1.66.png,global_mean_coeff,16,1.0,global_mean,35.02719497680664,35.28265380859375,36.46269226074219,0.2554588317871094,1.4354972839355469,-0.2421564757823944,1.0,0.9999926090240479,0.15691329538822174,1.0,0.006135018542408943,0.006135018542408943,0.013408035039901733
