seed,state,train_started,train_rc,eval_done_count_from_status,eval_rc0_count_from_status,eval_rc_nonzero_count_from_status,eval_engineering_failure_pending_repair,compare_json_present_count,compare_json_expected_count,selection_present,selection_rc,selection_valid_for_decision,selected_checkpoint_label,selection_decision,raw_selected_checkpoint_label,raw_selection_decision,selection_has_missing_compare_json,latest_train_epoch,latest_train_iter,latest_val_psnr,latest_dpga_dpfm1_scale,latest_dpga_dpfm1_eff,compare_missing
3407,SEED_EVIDENCE_COMPLETE,True,0,24,12,12,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.18,0.0001792,0.00101792,
2026,SEED_EVIDENCE_COMPLETE,True,0,24,12,12,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.15,0.00011227,0.00101123,
929,SEED_EVIDENCE_COMPLETE,True,0,12,12,0,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.16,0.00015711,0.00101571,
123,SEED_EVIDENCE_COMPLETE,True,0,12,12,0,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.14,3.35e-05,0.00100335,
777,SEED_EVIDENCE_COMPLETE,True,0,12,12,0,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.19,0.00022982,0.00102298,
1701,SEED_EVIDENCE_COMPLETE,True,0,12,12,0,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.18,0.00027747,0.00102775,
2222,SEED_EVIDENCE_COMPLETE,True,0,12,12,0,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.16,0.00032624,0.00103262,
3141,SEED_EVIDENCE_COMPLETE,True,0,12,12,0,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.13,0.00014589,0.00101459,
4242,SEED_EVIDENCE_COMPLETE,True,0,12,12,0,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.11,6.513e-05,0.00100651,
5151,SEED_EVIDENCE_COMPLETE,True,0,12,12,0,False,12,12,True,0,True,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,Best,NO_CHECKPOINT_PASSES_ALL_MULTIMETRIC_CHECKS,False,20,300,32.17,0.00012505,0.0010125,
