label,split,name,fold,bucket,selected_alpha,delta_psnr,delta_ssim,a0_psnr
heldout,val_regular,1012_0.85_1.28.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,38.42698669433594
heldout,val_regular,1016_0.8_1.72.png,1,mid_by_a0_fulltrain,0.0,0.0,0.0,39.64661407470703
heldout,val_regular,1023_0.5_1.87.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.447303771972656
heldout,val_regular,1031_0.76_0.7.png,0,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,42.88265609741211
heldout,val_regular,1035_0.76_1.14.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,33.76014709472656
heldout,val_regular,1037_0.89_0.54.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.92600631713867
heldout,val_regular,1039_0.79_1.79.png,1,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.156375885009766
heldout,val_regular,1063_0.51_1.61.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,34.049652099609375
heldout,val_regular,1076_0.71_1.18.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.264984130859375
heldout,val_regular,1080_0.59_1.22.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,40.88210678100586
heldout,val_regular,1085_0.71_1.3.png,0,mid_by_a0_fulltrain,1.0,-1.5453872680664062,-0.0005067586898803711,40.47211456298828
heldout,val_regular,1087_0.68_1.22.png,4,mid_by_a0_fulltrain,1.0,-1.8573570251464844,-0.0006270408630371094,41.450706481933594
heldout,val_regular,1100_0.58_1.95.png,0,hard_bottom25_by_a0_fulltrain,1.0,1.1354904174804688,0.00012165307998657227,31.10500717163086
heldout,val_regular,1102_0.65_0.94.png,0,hard_bottom25_by_a0_fulltrain,1.0,1.827972412109375,0.0005307197570800781,29.688369750976562
heldout,val_regular,1110_0.92_0.77.png,3,mid_by_a0_fulltrain,1.0,-1.5102043151855469,-0.00042700767517089844,39.895408630371094
heldout,val_regular,1122_0.94_0.53.png,4,mid_by_a0_fulltrain,1.0,1.3516082763671875,-4.506111145019531e-05,40.95265197753906
heldout,val_regular,1128_0.8_1.45.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.508033752441406
heldout,val_regular,1133_0.68_1.41.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.886505126953125
heldout,val_regular,1134_0.69_1.2.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.375640869140625
heldout,val_regular,114_0.75_1.45.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,33.996910095214844
heldout,val_regular,1157_0.56_1.98.png,4,mid_by_a0_fulltrain,0.0,0.0,0.0,39.68464279174805
heldout,val_regular,1177_0.71_1.64.png,2,hard_bottom25_by_a0_fulltrain,1.0,3.1712265014648438,0.0009837746620178223,34.71192932128906
heldout,val_regular,1183_0.84_1.24.png,2,hard_bottom25_by_a0_fulltrain,1.0,2.782196044921875,0.0005608797073364258,34.02747344970703
heldout,val_regular,1200_0.97_0.52.png,4,hard_bottom25_by_a0_fulltrain,1.0,2.3072967529296875,0.0005204677581787109,31.913738250732422
heldout,val_regular,1212_0.8_1.74.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,30.234447479248047
heldout,val_regular,1233_0.54_0.63.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,37.283382415771484
heldout,val_regular,1246_0.62_2.0.png,0,hard_bottom25_by_a0_fulltrain,1.0,-1.0044479370117188,-9.85264778137207e-05,33.34962463378906
heldout,val_regular,1266_0.96_1.34.png,1,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.360557556152344
heldout,val_regular,126_0.75_1.47.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,28.241600036621094
heldout,val_regular,1282_0.62_0.6.png,3,hard_bottom25_by_a0_fulltrain,1.0,4.428592681884766,0.0005554556846618652,32.45446014404297
heldout,val_regular,1290_0.95_1.76.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,32.715370178222656
heldout,val_regular,1291_0.62_0.59.png,2,mid_by_a0_fulltrain,1.0,2.5833740234375,-3.0517578125e-05,40.49239730834961
heldout,val_regular,1299_0.83_1.21.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,41.31084442138672
heldout,val_regular,1300_0.92_1.03.png,0,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,43.74760055541992
heldout,val_regular,1313_0.75_1.8.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,36.106903076171875
heldout,val_regular,1317_0.53_1.87.png,4,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,29.30721092224121
heldout,val_regular,1333_0.79_1.62.png,3,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,33.545631408691406
heldout,val_regular,1334_0.64_1.51.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,36.26000213623047
heldout,val_regular,1376_0.65_1.6.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,40.26970672607422
heldout,val_regular,1390_0.57_1.23.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,37.24122619628906
heldout,val_regular,1397_0.94_0.79.png,0,hard_bottom25_by_a0_fulltrain,1.0,1.5450248718261719,0.00015991926193237305,36.11112594604492
heldout,val_regular,1413_0.65_1.47.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,40.04090118408203
heldout,val_regular,1416_0.95_1.15.png,2,mid_by_a0_fulltrain,1.0,-0.6575927734375,-4.1961669921875e-05,39.3605842590332
heldout,val_regular,1419_0.62_1.04.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.92040252685547
heldout,val_regular,1432_0.91_1.29.png,2,hard_bottom25_by_a0_fulltrain,1.0,0.9127578735351562,0.00041282176971435547,32.578590393066406
heldout,val_regular,1435_0.87_0.57.png,3,easy_top25_by_a0_fulltrain,1.0,-0.9833450317382812,-0.00023227930068969727,43.462547302246094
heldout,val_regular,1456_0.66_1.83.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,33.696537017822266
heldout,val_regular,1461_0.59_0.54.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,37.48857116699219
