feature,bucket,count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600
split,val_hard,300,1.0,0.42602890650431313,0.6211632537841797,0.2674918619791667,-0.00027603129545847576,0.61,0.61,104,208.0,110,219.99999999999997
split,val_regular,300,1.0,-0.30201897939046224,0.5355801900227865,-0.7968525695800781,-0.00034475664297739663,0.45,0.45,148,296.0,158,315.99999999999994
bucket,easy_top25_by_a0,150,1.0,-0.26468035380045574,0.00658210548194679,-0.8209778038231103,-0.000381928284962972,0.4533333333333333,0.4533333333333333,72,288.0,79,315.99999999999994
bucket,hard_bottom25_by_a0,150,1.0,0.5783717219034831,0.6790923556765994,0.1675314001134924,-0.00013837615648905436,0.6266666666666667,0.6266666666666667,48,192.0,51,204.00000000000003
bucket,mid_by_a0,300,1.0,-0.03283575693766276,0.6156751251220703,-0.5761392720540365,-0.0003606357177098592,0.52,0.52,132,264.0,138,276.0
A0_PSNR,q1_low,150,1.0,0.6855227915445964,0.6790923556765994,0.5702810545225401,-0.00020247538884480794,0.66,0.66,46,184.0,48,192.0
A0_PSNR,q2,150,1.0,0.35182914733886717,0.49998371021167654,0.13339058128563133,-6.5230131149292e-05,0.6,0.6,51,204.00000000000003,55,219.99999999999997
A0_PSNR,q3,150,1.0,-0.10283616383870443,-0.1887738511369035,-0.7165498475770693,-0.0005795975526173909,0.4866666666666667,0.4866666666666667,72,288.0,75,300.0
A0_PSNR,q4_high,150,1.0,-0.6864959208170572,0.018143009495090793,-0.8209778038231103,-0.0003942728042602539,0.37333333333333335,0.37333333333333335,83,332.0,90,360.0
name_param_1,q1_low,158,1.0,-0.1863327509240259,0.49267910688351363,-0.8855099800305489,-0.0006899339488790005,0.4240506329113924,0.4240506329113924,84,318.98734177215186,89,337.9746835443038
name_param_1,q2,147,1.0,0.2260929029815051,1.0809788703918457,-0.8147461149427626,-0.00012552778737074665,0.6054421768707483,0.6054421768707483,53,216.3265306122449,54,220.40816326530614
name_param_1,q3,155,1.0,0.24509263807727444,0.6900448548166376,-0.41007674367804275,-0.0001292263307879048,0.5806451612903226,0.5806451612903226,54,209.03225806451613,62,240.0
name_param_1,q4_high,140,1.0,-0.032724734715053015,0.424333735874721,-0.6393050057547432,-0.000276743939944676,0.5142857142857142,0.5142857142857142,61,261.42857142857144,63,270.0
name_param_2,q1_low,150,1.0,0.18404075622558594,0.9445551279428843,-0.7834713910077069,-2.9637813568115235e-05,0.5533333333333333,0.5533333333333333,63,252.0,66,264.0
name_param_2,q2,152,1.0,0.26073650309914037,1.296645867197137,-1.1101436614990234,-0.00012725121096560828,0.5723684210526315,0.5723684210526315,58,228.94736842105263,61,240.78947368421055
name_param_2,q3,156,1.0,0.17467283591245994,0.7799119215745193,-0.35149363982371795,-0.0001493539565648788,0.5641025641025641,0.5641025641025641,58,223.0769230769231,63,242.30769230769232
name_param_2,q4_high,142,1.0,-0.4034087758668711,-0.013514164515904018,-0.9283239092145648,-0.0009799247056665554,0.4225352112676056,0.4225352112676056,73,308.4507042253521,78,329.5774647887324
