policy_id,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
A0_PSNR_le_34.4278,600,180,0.3,0.2034080378214518,0.6855227915445964,0.0,-4.1805307070414225e-05,0.2,0.9,54,54.0,56,56.0,0.6666666666666666,0.6666666666666666,54,False,False,0.30012206904093425
A0_PSNR_le_34.8134,600,198,0.33,0.21562142690022787,0.6855227915445964,0.0,-4.695942004521688e-05,0.21833333333333332,0.8883333333333333,61,61.0,63,63.0,0.6616161616161617,0.6616161616161617,61,False,False,0.29808293286718507
A0_PSNR_le_35.819,600,270,0.45,0.2540915044148763,0.6855227915445964,0.0,-6.301184495290121e-05,0.29,0.84,84,84.00000000000001,89,89.0,0.6444444444444445,0.6444444444444445,84,False,False,0.2896944245232476
A0_PSNR_le_35.0147,600,210,0.35,0.21468271255493165,0.6855227915445964,0.0,-5.238890647888184e-05,0.22833333333333333,0.8783333333333333,66,66.0,68,68.0,0.6523809523809524,0.6523809523809524,66,False,False,0.2866824580601283
A0_PSNR_le_35.4266,600,240,0.4,0.23329257329305014,0.6855227915445964,0.0,-6.154497464497884e-05,0.26,0.86,76,76.0,78,78.0,0.65,0.65,76,False,False,0.2851732711791992
A0_PSNR_le_33.7228,600,150,0.25,0.1713806978861491,0.6855227915445964,0.0,-5.0618847211201986e-05,0.165,0.915,46,46.0,48,48.0,0.66,0.66,46,False,False,0.2837613957722982
A0_PSNR_le_36.3094,600,300,0.5,0.2593379847208659,0.6855227915445964,0.0,-6.692637999852499e-05,0.315,0.815,97,96.99999999999999,103,103.0,0.63,0.63,97,False,False,0.268218682607015
A0_PSNR_le_33.1278,600,120,0.2,0.1478109868367513,0.5912439473470052,0.0,-1.675039529800415e-05,0.13333333333333333,0.9333333333333333,35,35.0,37,37.0,0.6666666666666666,0.6666666666666666,35,False,False,0.25895530700683594
A0_PSNR_le_36.6662,600,330,0.55,0.23938974698384602,0.6855227915445964,0.0,-0.00012230455875396728,0.3383333333333333,0.7883333333333333,112,112.0,118,118.0,0.6151515151515151,0.6151515151515151,112,False,False,0.2175280206275709
A0_PSNR_le_32.3457,600,90,0.15,0.10951510429382325,0.438060417175293,0.0,3.910064697265625e-06,0.1,0.95,25,25.0,27,27.0,0.6666666666666666,0.6666666666666666,25,False,False,0.20236354192097983
A0_PSNR_le_37.4262,600,390,0.65,0.2725224590301514,0.6855227915445964,0.0,-0.0001472930113474528,0.3933333333333333,0.7433333333333333,136,136.0,144,144.0,0.6051282051282051,0.6051282051282051,136,False,False,0.20215956717271066
A0_PSNR_le_37.5046,600,402,0.67,0.2774685255686442,0.6855227915445964,0.0,-0.00018166850010553997,0.4033333333333333,0.7333333333333333,141,141.0,150,150.0,0.6019900497512438,0.6019900497512438,141,False,False,0.19694872594235546
A0_PSNR_le_37.0702,600,360,0.6,0.24262492179870607,0.6855227915445964,0.0,-0.00014299869537353515,0.36333333333333334,0.7633333333333333,125,125.0,132,132.0,0.6055555555555555,0.6055555555555555,125,False,False,0.19428339746263296
A0_PSNR_le_38.2286,600,420,0.7,0.27217731793721517,0.6855227915445964,0.0,-0.00019190510114034016,0.4166666666666667,0.7166666666666667,151,151.0,160,160.0,0.5952380952380952,0.5952380952380952,151,False,False,0.17131992058526907
