target,risk_threshold,group,top_k,total_positive,base_rate,top_k_positive,top_k_rate,capture_rate,enrichment
severe_risk_label,-0.2,hazy_leakcheck,20,67,0.027916666666666666,0,0.0,0.0,0.0
severe_risk_label,-0.2,hazy_leakcheck,50,67,0.027916666666666666,1,0.02,0.014925373134328358,0.7164179104477613
severe_risk_label,-0.2,hazy_leakcheck,100,67,0.027916666666666666,5,0.05,0.07462686567164178,1.791044776119403
severe_risk_label,-0.2,hazy_leakcheck,200,67,0.027916666666666666,14,0.07,0.208955223880597,2.5074626865671643
severe_risk_label,-0.2,hazy_runtime,20,67,0.027916666666666666,6,0.3,0.08955223880597014,10.746268656716417
severe_risk_label,-0.2,hazy_runtime,50,67,0.027916666666666666,15,0.3,0.22388059701492538,10.746268656716417
severe_risk_label,-0.2,hazy_runtime,100,67,0.027916666666666666,19,0.19,0.2835820895522388,6.8059701492537314
severe_risk_label,-0.2,hazy_runtime,200,67,0.027916666666666666,26,0.13,0.3880597014925373,4.656716417910448
severe_risk_label,-0.2,internal_final,20,67,0.027916666666666666,1,0.05,0.014925373134328358,1.791044776119403
severe_risk_label,-0.2,internal_final,50,67,0.027916666666666666,6,0.12,0.08955223880597014,4.298507462686567
severe_risk_label,-0.2,internal_final,100,67,0.027916666666666666,6,0.06,0.08955223880597014,2.1492537313432836
severe_risk_label,-0.2,internal_final,200,67,0.027916666666666666,14,0.07,0.208955223880597,2.5074626865671643
severe_risk_label,-0.2,internal_res,20,67,0.027916666666666666,7,0.35,0.1044776119402985,12.53731343283582
severe_risk_label,-0.2,internal_res,50,67,0.027916666666666666,12,0.24,0.1791044776119403,8.597014925373134
severe_risk_label,-0.2,internal_res,100,67,0.027916666666666666,15,0.15,0.22388059701492538,5.3731343283582085
severe_risk_label,-0.2,internal_res,200,67,0.027916666666666666,22,0.11,0.3283582089552239,3.940298507462687
severe_risk_label,-0.2,internal_scm,20,67,0.027916666666666666,4,0.2,0.05970149253731343,7.164179104477612
severe_risk_label,-0.2,internal_scm,50,67,0.027916666666666666,8,0.16,0.11940298507462686,5.73134328358209
severe_risk_label,-0.2,internal_scm,100,67,0.027916666666666666,15,0.15,0.22388059701492538,5.3731343283582085
severe_risk_label,-0.2,internal_scm,200,67,0.027916666666666666,21,0.105,0.31343283582089554,3.761194029850746
severe_risk_label,-0.2,internal_only,20,67,0.027916666666666666,5,0.25,0.07462686567164178,8.955223880597016
severe_risk_label,-0.2,internal_only,50,67,0.027916666666666666,9,0.18,0.13432835820895522,6.447761194029851
severe_risk_label,-0.2,internal_only,100,67,0.027916666666666666,16,0.16,0.23880597014925373,5.73134328358209
severe_risk_label,-0.2,internal_only,200,67,0.027916666666666666,26,0.13,0.3880597014925373,4.656716417910448
severe_risk_label,-0.2,all_runtime,20,67,0.027916666666666666,6,0.3,0.08955223880597014,10.746268656716417
severe_risk_label,-0.2,all_runtime,50,67,0.027916666666666666,10,0.2,0.14925373134328357,7.164179104477612
severe_risk_label,-0.2,all_runtime,100,67,0.027916666666666666,15,0.15,0.22388059701492538,5.3731343283582085
severe_risk_label,-0.2,all_runtime,200,67,0.027916666666666666,21,0.105,0.31343283582089554,3.761194029850746
severe_risk_label,-0.2,all_with_leak,20,67,0.027916666666666666,6,0.3,0.08955223880597014,10.746268656716417
severe_risk_label,-0.2,all_with_leak,50,67,0.027916666666666666,10,0.2,0.14925373134328357,7.164179104477612
severe_risk_label,-0.2,all_with_leak,100,67,0.027916666666666666,15,0.15,0.22388059701492538,5.3731343283582085
severe_risk_label,-0.2,all_with_leak,200,67,0.027916666666666666,21,0.105,0.31343283582089554,3.761194029850746
