risk_threshold,threshold_key,group,feature_count,count,positive,positive_rate,roc_auc,pr_auc,ece,top50_positive,precision_at_50,recall_at_50,top50_enrichment,top100_positive,precision_at_100,recall_at_100,top100_enrichment,top200_positive,precision_at_200,recall_at_200,top200_enrichment
-0.1,m0p1,B0_hazy_runtime_v214,7,2400,87,0.03625,0.786841987566528,0.15392124072777788,0.3211800843747987,17.0,0.34,0.19540229885057472,9.379310344827587,21.0,0.21,0.2413793103448276,5.793103448275862,29.0,0.145,0.3333333333333333,4.0
-0.1,m0p1,B1_internal_scalar_v214,35,2400,87,0.03625,0.8133935626220612,0.16071927305066092,0.2878780846347291,12.0,0.24,0.13793103448275862,6.620689655172414,21.0,0.21,0.2413793103448276,5.793103448275862,33.0,0.165,0.3793103448275862,4.551724137931035
-0.1,m0p1,B2_all_scalar_v214,42,2400,87,0.03625,0.8223086900129701,0.16445928525601444,0.27696215837636873,13.0,0.26,0.14942528735632185,7.172413793103449,20.0,0.2,0.22988505747126436,5.517241379310345,29.0,0.145,0.3333333333333333,4.0
-0.1,m0p1,B3_internal_spatial,588,2400,87,0.03625,0.8132842355303109,0.14080318092103358,0.20123486904458676,11.0,0.22,0.12643678160919541,6.06896551724138,16.0,0.16,0.1839080459770115,4.413793103448277,25.0,0.125,0.28735632183908044,3.4482758620689657
-0.1,m0p1,B4_hazy_plus_internal_spatial,1099,2400,87,0.03625,0.8016259920191223,0.15762970610769397,0.15390199129885837,12.0,0.24,0.13793103448275862,6.620689655172414,23.0,0.23,0.26436781609195403,6.344827586206898,30.0,0.15,0.3448275862068966,4.137931034482759
-0.1,m0p1,B5_internal_sensitivity,420,2400,87,0.03625,0.7808140892804787,0.15526039906921504,0.23651970685597912,12.0,0.24,0.13793103448275862,6.620689655172414,18.0,0.18,0.20689655172413793,4.9655172413793105,26.0,0.13,0.2988505747126437,3.5862068965517246
-0.1,m0p1,B6_spatial_plus_sensitivity,1008,2400,87,0.03625,0.8009650600553593,0.14048476802771792,0.17169624816023818,9.0,0.18,0.10344827586206896,4.9655172413793105,15.0,0.15,0.1724137931034483,4.137931034482759,31.0,0.155,0.3563218390804598,4.275862068965518
-0.1,m0p1,B7_all_runtime_spatial_sensitivity,1554,2400,87,0.03625,0.7886657622334531,0.137734155289516,0.1336485907663359,11.0,0.22,0.12643678160919541,6.06896551724138,19.0,0.19,0.21839080459770116,5.241379310344828,27.0,0.135,0.3103448275862069,3.724137931034483
-0.2,m0p2,B0_hazy_runtime_v214,7,2400,67,0.027916666666666666,0.798088426278381,0.14962142947450247,0.32951341770813214,15.0,0.3,0.22388059701492538,10.746268656716417,19.0,0.19,0.2835820895522388,6.8059701492537314,26.0,0.13,0.3880597014925373,4.656716417910448
-0.2,m0p2,B1_internal_scalar_v214,35,2400,67,0.027916666666666666,0.8196160219050482,0.13246212274441635,0.29621141796806244,9.0,0.18,0.13432835820895522,6.447761194029851,16.0,0.16,0.23880597014925373,5.73134328358209,26.0,0.13,0.3880597014925373,4.656716417910448
-0.2,m0p2,B2_all_scalar_v214,42,2400,67,0.027916666666666666,0.8262374369046325,0.13534836559274255,0.2852954917097021,10.0,0.2,0.14925373134328357,7.164179104477612,15.0,0.15,0.22388059701492538,5.3731343283582085,21.0,0.105,0.31343283582089554,3.761194029850746
-0.2,m0p2,B3_internal_spatial,588,2400,67,0.027916666666666666,0.7838603809072938,0.12727485307991335,0.18769981314331102,9.0,0.18,0.13432835820895522,6.447761194029851,12.0,0.12,0.1791044776119403,4.298507462686567,19.0,0.095,0.2835820895522388,3.4029850746268657
-0.2,m0p2,B4_hazy_plus_internal_spatial,1099,2400,67,0.027916666666666666,0.7548860924694999,0.11315004787463133,0.1409970675489996,9.0,0.18,0.13432835820895522,6.447761194029851,15.0,0.15,0.22388059701492538,5.3731343283582085,26.0,0.13,0.3880597014925373,4.656716417910448
-0.2,m0p2,B5_internal_sensitivity,420,2400,67,0.027916666666666666,0.7785248638931361,0.13253499464392868,0.21683151173413967,9.0,0.18,0.13432835820895522,6.447761194029851,13.0,0.13,0.19402985074626866,4.656716417910448,22.0,0.11,0.3283582089552239,3.940298507462687
