variant,fold,train_count,test_count,target_mse,mid_target_mse,final_target_mse,shuffled_target_mse,final_only_target_mse,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR
P1_mid_only_context_predictor,0,1920,480,0.00035185806336812675,0.0002842163376044482,6.764172576367855e-05,0.0005420703091658652,0.0004712762893177569,,,,,,,,,,,,,,,,,
P1_final_mid_context_predictor,0,1920,480,0.00032198187545873225,0.00027767301071435213,4.430887565831654e-05,0.0005420703091658652,0.0004712762893177569,,,,,,,,,,,,,,,,,
P1_final_mid_global_context_predictor,0,1920,480,0.0003135657752864063,0.0002709598920773715,4.2605875933077186e-05,0.0005420703091658652,0.0004712762893177569,,,,,,,,,,,,,,,,,
P1_mid_only_context_predictor,1,1920,480,0.0004075728065799922,0.00034184096148237586,6.573185237357393e-05,0.000592890428379178,0.0004978296346962452,,,,,,,,,,,,,,,,,
P1_final_mid_context_predictor,1,1920,480,0.0003698126820381731,0.00032282399479299784,4.6988698159111664e-05,0.000592890428379178,0.0004978296346962452,,,,,,,,,,,,,,,,,
P1_final_mid_global_context_predictor,1,1920,480,0.00034953898284584284,0.00030535462428815663,4.418436947162263e-05,0.000592890428379178,0.0004978296346962452,,,,,,,,,,,,,,,,,
P1_mid_only_context_predictor,2,1920,480,0.0003644572861958295,0.00029640563298016787,6.805166049161926e-05,0.0005657327128574252,0.00048155049444176257,,,,,,,,,,,,,,,,,
P1_final_mid_context_predictor,2,1920,480,0.0003408042248338461,0.00029427275876514614,4.653145879274234e-05,0.0005657327128574252,0.00048155049444176257,,,,,,,,,,,,,,,,,
P1_final_mid_global_context_predictor,2,1920,480,0.0003274915216024965,0.0002824780822265893,4.501344301388599e-05,0.0005657327128574252,0.00048155049444176257,,,,,,,,,,,,,,,,,
P1_mid_only_context_predictor,3,1920,480,0.0003778485697694123,0.0003109218378085643,6.692672468489036e-05,0.0005844153929501772,0.0005062189302407205,,,,,,,,,,,,,,,,,
P1_final_mid_context_predictor,3,1920,480,0.000356433039996773,0.0003100332396570593,4.6399785787798464e-05,0.0005844153929501772,0.0005062189302407205,,,,,,,,,,,,,,,,,
P1_final_mid_global_context_predictor,3,1920,480,0.0003388056647963822,0.0002947449393104762,4.4060710933990777e-05,0.0005844153929501772,0.0005062189302407205,,,,,,,,,,,,,,,,,
P1_mid_only_context_predictor,4,1920,480,0.0003842728037852794,0.00031029677484184504,7.397603621939197e-05,0.0005897546652704477,0.0005148157943040133,,,,,,,,,,,,,,,,,
P1_final_mid_context_predictor,4,1920,480,0.0003574105794541538,0.0003076015564147383,4.980901940143667e-05,0.0005897546652704477,0.0005148157943040133,,,,,,,,,,,,,,,,,
P1_final_mid_global_context_predictor,4,1920,480,0.0003503266198094934,0.0003006827610079199,4.9643847887637094e-05,0.0005897546652704477,0.0005148157943040133,,,,,,,,,,,,,,,,,
P1_exact_o2_final_only_oracle_upper_bound,,,,,,,,,replay_fold0,480,6.096138727664948,5.667552947998047,1.478989601135254,2.0899925231933594,1.6619420051574707,9.019582923253378,3.827807585398356,1.0,0,0.0,120,0,0.0,3.827807585398356,1.6972829818725585
P1_exact_o2_final_only_oracle_upper_bound,,,,,,,,,replay_fold1,480,6.20282397667567,5.659475326538086,1.5328054428100586,2.048765182495117,1.704560915629069,9.173980951309204,3.733541552225749,1.0,0,0.0,120,0,0.0,3.733541552225749,1.7054462432861328
P1_exact_o2_final_only_oracle_upper_bound,,,,,,,,,replay_fold2,480,6.2230360825856526,5.649219512939453,1.6701882934570313,2.2147857666015627,1.8442610104878743,9.495338026682536,3.4685311953226727,1.0,0,0.0,120,0,0.0,3.4685311953226727,1.8465688705444336
P1_exact_o2_final_only_oracle_upper_bound,,,,,,,,,replay_fold3,480,6.184822805722555,5.759016036987305,1.6115476989746094,2.327750587463379,1.8444339434305828,8.746708488464355,3.865074570973714,1.0,0,0.0,120,0,0.0,3.865074570973714,1.704609489440918
P1_exact_o2_final_only_oracle_upper_bound,,,,,,,,,replay_fold4,480,6.229785176118215,5.790138244628906,1.3702954483032226,2.2044458389282227,1.6310826937357585,9.121894248326619,3.701934083302816,1.0,0,0.0,120,0,0.0,3.701934083302816,1.390669822692871
P1_exact_o3_midfinal_oracle_upper_bound,,,,,,,,,replay_fold0,480,7.0108066439628605,6.457738876342773,1.8711190414428711,2.4094533920288086,1.9437556266784668,10.499162085851033,4.399200026194254,1.0,0,0.0,120,0,0.0,4.399200026194254,1.963372802734375
P1_exact_o3_midfinal_oracle_upper_bound,,,,,,,,,replay_fold1,480,7.05833040078481,6.406078338623047,1.6683523178100585,2.332814598083496,1.8540326754252117,10.551712385813396,4.208334891001384,1.0,0,0.0,120,0,0.0,4.208334891001384,1.9093461990356446
P1_exact_o3_midfinal_oracle_upper_bound,,,,,,,,,replay_fold2,480,7.105710895856221,6.687129020690918,1.8965907287597656,2.4526226043701174,1.9959766070048015,10.833859252929688,4.022341950734456,1.0,0,0.0,120,0,0.0,4.022341950734456,1.9195627212524413
P1_exact_o3_midfinal_oracle_upper_bound,,,,,,,,,replay_fold3,480,7.159170309702556,6.848731994628906,1.869811019897461,2.6817317962646485,2.1060873667399087,10.336924902598064,4.375625578562419,1.0,0,0.0,120,0,0.0,4.375625578562419,1.8975873947143556
P1_exact_o3_midfinal_oracle_upper_bound,,,,,,,,,replay_fold4,480,7.2200866421063745,6.682750701904297,1.504145050048828,2.467441177368164,1.779438813527425,10.819006872177123,4.227158864339192,1.0,0,0.0,120,0,0.0,4.227158864339192,1.5670406341552734
P1_final_mid_context_predictor,,,,,,,,,replay_fold0,480,1.8694766720136007,1.3031730651855469,-1.8343349838256835,-0.7211954116821289,-1.5017024676005046,4.069881582260132,0.2883937835693359,0.8541666666666666,53,0.11041666666666666,120,36,0.3,0.2883937835693359,-1.2541162490844726
P1_final_mid_context_predictor,,,,,,,,,replay_fold1,480,1.8512349843978881,1.4471378326416016,-1.7633398437499999,-0.8534364700317383,-1.4872029622395833,3.98261988957723,0.33476505279541013,0.8458333333333333,63,0.13125,120,45,0.375,0.33476505279541013,-1.1210748672485351
P1_final_mid_context_predictor,,,,,,,,,replay_fold2,480,1.7816559990247092,1.2814807891845703,-3.260685157775879,-0.8660737991333008,-2.0783913930257163,3.9344693342844645,0.22827978134155275,0.8166666666666667,68,0.14166666666666666,120,41,0.3416666666666667,0.22827978134155275,-1.1959392547607421
P1_final_mid_context_predictor,,,,,,,,,replay_fold3,480,1.7535185178120931,1.1711692810058594,-2.1043983840942384,-0.873809814453125,-1.66726287206014,3.6469252268473307,0.37276716232299806,0.8270833333333333,66,0.1375,120,36,0.3,0.37276716232299806,-0.8999441146850586
P1_final_mid_context_predictor,,,,,,,,,replay_fold4,480,1.8840774416923523,1.4944381713867188,-1.2532087326049806,-0.6585895538330078,-1.1918727556864421,3.8046556313832602,0.41096645991007485,0.8479166666666667,51,0.10625,120,37,0.30833333333333335,0.41096645991007485,-0.8473934173583985
P1_final_mid_global_context_predictor,,,,,,,,,replay_fold0,480,2.061154894034068,1.5313873291015625,-2.411701354980469,-0.5777196884155273,-1.6600491205851238,4.376398229598999,0.5814539273579915,0.85,50,0.10416666666666667,120,32,0.26666666666666666,0.5814539273579915,-0.9265703201293944
P1_final_mid_global_context_predictor,,,,,,,,,replay_fold1,480,2.1132487495740255,1.5705223083496094,-2.060410614013672,-0.47440223693847655,-1.4950976371765137,4.122756242752075,0.5552899996439616,0.8604166666666667,48,0.1,120,30,0.25,0.5552899996439616,-0.7741477966308593
P1_final_mid_global_context_predictor,,,,,,,,,replay_fold2,480,2.0659275094668073,1.4716663360595703,-2.686759490966797,-0.8472885131835938,-2.1836042404174805,4.301858154932658,0.386987845102946,0.8520833333333333,53,0.11041666666666666,120,35,0.2916666666666667,0.386987845102946,-0.8377840042114256
P1_final_mid_global_context_predictor,,,,,,,,,replay_fold3,480,2.0717347423235575,1.5072107315063477,-1.7368296813964843,-0.6983861923217773,-1.4951879183451335,3.956706476211548,0.5637651761372884,0.8541666666666666,53,0.11041666666666666,120,27,0.225,0.5637651761372884,-0.7357826232910156
P1_final_mid_global_context_predictor,,,,,,,,,replay_fold4,480,2.0301061630249024,1.5683116912841797,-2.1702075576782227,-0.8966411590576172,-1.5677574475606282,4.109590562184652,0.5803730646769206,0.8375,63,0.13125,120,35,0.2916666666666667,0.5803730646769206,-0.899287223815918
P1_global_broadcast_control,,,,,,,,,replay_fold0,480,0.21105488141377768,0.10128021240234375,-2.1653512954711913,-1.5199312210083007,-2.0949390729268393,0.9267460823059082,-0.27971954345703126,0.5854166666666667,134,0.2791666666666667,120,64,0.5333333333333333,-0.27971954345703126,-1.8637483596801758
P1_global_broadcast_control,,,,,,,,,replay_fold1,480,0.2556980530420939,0.033550262451171875,-2.433278007507324,-1.4675981521606445,-2.6990904013315835,1.1106853802998862,-0.3082354227701823,0.5375,155,0.3229166666666667,120,73,0.6083333333333333,-0.3082354227701823,-1.6174057006835938
P1_global_broadcast_control,,,,,,,,,replay_fold2,480,0.2611258824666341,0.053997039794921875,-2.156407356262207,-1.421546745300293,-2.226966619491577,1.021581268310547,-0.21419897079467773,0.5541666666666667,144,0.3,120,65,0.5416666666666666,-0.21419897079467773,-1.4237747192382812
P1_global_broadcast_control,,,,,,,,,replay_fold3,480,0.2235087513923645,0.0420074462890625,-2.1172535705566404,-1.2271516799926758,-1.765738805135091,0.688925854365031,-0.2596058527628581,0.5416666666666666,145,0.3020833333333333,120,68,0.5666666666666667,-0.2596058527628581,-1.676766586303711
P1_global_broadcast_control,,,,,,,,,replay_fold4,480,0.2839356780052185,0.07614517211914062,-1.7592685317993164,-1.0486801147460938,-1.5950133005777996,1.0488162517547608,-0.1780300458272298,0.5854166666666667,130,0.2708333333333333,120,65,0.5416666666666666,-0.1780300458272298,-1.556904411315918
P1_mid_only_context_predictor,,,,,,,,,replay_fold0,480,1.2683072129885355,0.9851970672607422,-0.9516239929199218,-0.48216724395751953,-0.8815182050069174,2.53100848197937,0.28020286560058594,0.8520833333333333,52,0.10833333333333334,120,40,0.3333333333333333,0.28020286560058594,-0.8094371795654297
P1_mid_only_context_predictor,,,,,,,,,replay_fold1,480,1.181518296400706,0.9858646392822266,-1.3110155868530273,-0.6564050674438477,-1.1131627559661865,2.2936169783274334,0.2517196337381999,0.83125,61,0.12708333333333333,120,43,0.35833333333333334,0.2517196337381999,-0.977332878112793
P1_mid_only_context_predictor,,,,,,,,,replay_fold2,480,1.2783262689908346,1.0575637817382812,-1.4089592361450194,-0.666484260559082,-1.1726064682006836,2.443406407038371,0.267175547281901,0.8354166666666667,55,0.11458333333333333,120,38,0.31666666666666665,0.267175547281901,-0.8383693695068359
P1_mid_only_context_predictor,,,,,,,,,replay_fold3,480,1.2153786857922872,0.8696098327636719,-1.4769436645507812,-0.5350782394409179,-1.0981764793395996,2.251522747675578,0.26213502883911133,0.8354166666666667,47,0.09791666666666667,120,37,0.30833333333333335,0.26213502883911133,-1.0591583251953125
