variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,fold,gate_kind,threshold,threshold_low,gamma,tau,fold_tail_pass
V221_risk_piecewise_t0p30_0p70,fold0,480,2.0675098299980164,1.4208393096923828,-0.11354202270507813,0.0,-0.1277195612589518,4.277924585342407,0.5900613149007161,0.81875,3,0.00625,120,4,0.03333333333333333,0.5900613149007161,0.0,0,predicted_risk_piecewise,0.7,0.3,,,1
V221_risk_piecewise_t0p30_0p70,fold1,480,2.1882909576098126,1.5589237213134766,-0.15213752746582032,0.0,-0.07906023661295573,4.257096083958944,0.7095094998677571,0.8145833333333333,2,0.004166666666666667,120,4,0.03333333333333333,0.7095094998677571,-0.0006057739257812472,1,predicted_risk_piecewise,0.7,0.3,,,1
V221_risk_piecewise_t0p30_0p70,fold2,480,2.1905924916267394,1.4677658081054688,-0.0959238052368164,0.0,-0.08159796396891277,4.483946371078491,0.5235051155090332,0.79375,4,0.008333333333333333,120,2,0.016666666666666666,0.5235051155090332,0.0,2,predicted_risk_piecewise,0.7,0.3,,,1
V221_risk_piecewise_t0p30_0p70,fold3,480,2.0755464673042296,1.4137153625488281,-0.31337696075439453,0.0,-0.1522841453552246,4.0395416736602785,0.5401389757792155,0.7958333333333333,7,0.014583333333333334,120,3,0.025,0.5401389757792155,0.0,3,predicted_risk_piecewise,0.7,0.3,,,1
V221_risk_piecewise_t0p30_0p70,fold4,480,2.1341726183891296,1.5747995376586914,-0.25364437103271487,0.0,-0.19142627716064453,4.269675016403198,0.6993261655171712,0.80625,5,0.010416666666666666,120,3,0.025,0.6993261655171712,0.0,4,predicted_risk_piecewise,0.7,0.3,,,1
V221_risk_piecewise_t0p40_0p80,fold0,480,2.098235778013865,1.4378433227539062,-0.3151288223266602,0.0,-0.18335549036661783,4.297283919652303,0.6211237589518229,0.8479166666666667,6,0.0125,120,4,0.03333333333333333,0.6211237589518229,-0.0035873413085937495,0,predicted_risk_piecewise,0.8,0.4,,,1
V221_risk_piecewise_t0p40_0p80,fold1,480,2.2035419901212054,1.5527477264404297,-0.22766704559326173,0.0,-0.13313913345336914,4.25791122118632,0.716161314646403,0.8479166666666667,6,0.0125,120,7,0.058333333333333334,0.716161314646403,-0.06340827941894531,1,predicted_risk_piecewise,0.8,0.4,,,1
V221_risk_piecewise_t0p40_0p80,fold2,480,2.210860033830007,1.508707046508789,-0.2971042633056641,0.0,-0.13111591339111328,4.506086651484171,0.5744588851928711,0.8270833333333333,7,0.014583333333333334,120,3,0.025,0.5744588851928711,-0.0004896163940429667,2,predicted_risk_piecewise,0.8,0.4,,,1
V221_risk_piecewise_t0p40_0p80,fold3,480,2.1114009420077005,1.4233551025390625,-0.42934120178222657,0.0,-0.2775743802388509,4.067923974990845,0.6019138971964518,0.8375,10,0.020833333333333332,120,5,0.041666666666666664,0.6019138971964518,-0.010887336730957028,3,predicted_risk_piecewise,0.8,0.4,,,1
V221_risk_piecewise_t0p40_0p80,fold4,480,2.151388641198476,1.5939044952392578,-0.38187351226806643,0.0,-0.2504458427429199,4.2560284773508705,0.7281263033548991,0.8479166666666667,7,0.014583333333333334,120,5,0.041666666666666664,0.7281263033548991,-0.00039558410644531094,4,predicted_risk_piecewise,0.8,0.4,,,1
