canary_name,sample_name,fold,selected_group,unsafe_action_label,unsafe_action_probability,v221_risk_scale,crop_seed,crop_size,target_prob_bin,v221_replay_probability,raw_action_dpsnr,hard_bottom25,easy_top25,strong_reference
canary32,1071_0.69_1.75.png,2,negative_lowest_probability,0,0.00019638834055513144,0.9999017715454102,3807943366,256,"[0.0,0.1)",0.00019638834055513144,4.843828201293945,1,0,0
canary32,1154_0.96_0.62.png,2,positive_highest_probability,1,0.9945407509803772,0.07388672977685928,2282102389,256,"[0.9,1.0000001)",0.9945407509803772,-1.36956787109375,0,1,1
canary32,1213_0.56_1.24.png,0,negative_lowest_probability,0,8.630001684650779e-05,0.9999568462371826,998779989,256,"[0.0,0.1)",8.630001684650779e-05,7.313716888427734,1,0,0
canary32,1216_0.65_1.09.png,2,negative_lowest_probability,0,0.00019887647067662328,0.9999005198478699,2056547327,256,"[0.0,0.1)",0.00019887647067662328,8.415122985839844,1,0,0
canary32,1248_0.97_1.88.png,1,positive_highest_probability,1,1.0,0.0,310069832,256,"[0.9,1.0000001)",1.0,-3.6177444458007812,1,0,0
canary32,1308_0.84_1.04.png,1,negative_lowest_probability,0,9.904188482323661e-05,0.9999504685401917,155565118,256,"[0.0,0.1)",9.904188482323661e-05,2.742694854736328,1,0,0
canary32,1347_0.75_1.79.png,0,negative_lowest_probability,0,0.0002560335269663483,0.9998719692230225,482075645,256,"[0.0,0.1)",0.0002560335269663483,10.818653106689453,1,0,0
canary32,1349_0.94_1.22.png,2,negative_lowest_probability,0,0.00026693506515584886,0.9998665452003479,4166008636,256,"[0.0,0.1)",0.00026693506515584886,4.678592681884766,1,0,0
canary32,1453_0.64_1.53.png,0,negative_lowest_probability,0,0.00017647484492044896,0.9999117255210876,3099261229,256,"[0.0,0.1)",0.00017647484492044896,7.960727691650391,1,0,0
canary32,1454_0.62_1.48.png,1,negative_lowest_probability,0,8.967805479187518e-05,0.9999551177024841,7221423,256,"[0.0,0.1)",8.967805479187518e-05,7.014717102050781,1,0,0
canary32,1478_0.69_1.36.png,1,negative_lowest_probability,0,0.00017261698667425662,0.9999136924743652,3228661701,256,"[0.0,0.1)",0.00017261698667425662,5.455768585205078,1,0,0
canary32,1644_0.53_1.52.png,1,positive_highest_probability,1,0.998478353023529,0.03900829330086708,2501390355,256,"[0.9,1.0000001)",0.998478353023529,-0.8471298217773438,0,1,1
canary32,1686_0.51_0.6.png,0,positive_highest_probability,1,0.9955346584320068,0.06682321429252625,1234133542,256,"[0.9,1.0000001)",0.9955346584320068,-1.0605506896972656,0,1,1
canary32,1806_0.91_0.53.png,2,positive_highest_probability,1,0.9952915906906128,0.06861785054206848,1382742277,256,"[0.9,1.0000001)",0.9952915906906128,-1.08544921875,0,1,1
canary32,215_0.58_0.63.png,1,positive_highest_probability,1,0.9996517896652222,0.018660394474864006,4236511641,256,"[0.9,1.0000001)",0.9996517896652222,-3.2271194458007812,0,1,1
canary32,2167_0.55_0.91.png,1,positive_highest_probability,1,0.9940949082374573,0.07684459537267685,497149995,256,"[0.9,1.0000001)",0.9940949082374573,-1.0619125366210938,0,0,0
canary32,2192_0.68_1.84.png,2,positive_highest_probability,1,0.9941415190696716,0.07654071599245071,3763266895,256,"[0.9,1.0000001)",0.9941415190696716,-0.12599945068359375,0,0,0
canary32,2425_0.65_0.63.png,2,positive_highest_probability,1,0.998664379119873,0.03654614835977554,2436516596,256,"[0.9,1.0000001)",0.998664379119873,-3.0024452209472656,0,1,1
canary32,2430_0.56_1.8.png,1,positive_highest_probability,1,0.9944158792495728,0.07472697645425797,1094424498,256,"[0.9,1.0000001)",0.9944158792495728,-0.08081817626953125,0,0,0
canary32,2737_0.51_0.6.png,0,positive_highest_probability,1,0.9940662384033203,0.07703091204166412,2538003014,256,"[0.9,1.0000001)",0.9940662384033203,-0.767913818359375,0,1,1
canary32,2804_0.51_1.83.png,2,positive_highest_probability,1,0.9997414946556091,0.016078101471066475,1647094707,256,"[0.9,1.0000001)",0.9997414946556091,-2.7644577026367188,0,0,0
canary32,358_0.51_1.67.png,1,positive_highest_probability,1,0.9994545578956604,0.023354701697826385,2695344696,256,"[0.9,1.0000001)",0.9994545578956604,-4.749393463134766,0,0,0
canary32,452_0.51_0.55.png,2,positive_highest_probability,1,0.998529314994812,0.038349512964487076,954361109,256,"[0.9,1.0000001)",0.998529314994812,-1.3914337158203125,0,1,1
