probe_type,count,feature_dim,label_base_rate,prob_std,roc_auc,average_precision,ece10,mce10,target_prob_mae,feature_set
linear,1440,128,0.13194444444444445,0.28047637511733725,0.626181052631579,0.20247340267515668,0.25160316768792906,0.6751485742628573,0.2709722375465617,A_mid_ll_pooled
mlp,1440,128,0.13194444444444445,0.2579086192051763,0.6281642105263158,0.2084691852795016,0.15133914440547674,0.7149470329284668,0.2670251354285215,A_mid_ll_pooled
linear,1440,64,0.13194444444444445,0.23607029916393032,0.6435663157894737,0.2061221729434083,0.286936794990854,0.7007249026071458,0.27454444444082987,B_final_ll_pooled
mlp,1440,64,0.13194444444444445,0.28139131313473154,0.6105221052631579,0.18644723980683517,0.17828286804300705,0.7028828524053097,0.25563691958709217,B_final_ll_pooled
linear,1440,192,0.13194444444444445,0.3648281322195351,0.5458863157894737,0.14363104281093117,0.273308446630569,0.8190685480532021,0.33860201644023136,C_final_ll_mid_global_context
mlp,1440,192,0.13194444444444445,0.4684905729262749,0.4921115789473684,0.12528426407178847,0.4930308329762054,0.8630199197186045,0.4860991505339045,C_final_ll_mid_global_context
linear,1440,64,0.13194444444444445,0.4585235041786567,0.48585263157894737,0.12819078947368423,0.6085180724091415,0.8454727490743001,0.5435965205495601,D_risk_hidden_before_final_1x1
mlp,1440,64,0.13194444444444445,0.28976330013840734,0.5048905263157895,0.13344467602210724,0.28857915703210385,0.5724541261792183,0.34744244642566224,D_risk_hidden_before_final_1x1
linear,1440,31,0.13194444444444445,0.32249357468149625,0.9560842105263158,0.7678407381313336,0.22314245723203688,0.5276791058577501,0.08614995457702813,E_v221_cached_scalar_positive_control
mlp,1440,31,0.13194444444444445,0.3295596435598894,0.9603031578947369,0.7787547894408161,0.10207280019317658,0.42743744299961967,0.10699564970854772,E_v221_cached_scalar_positive_control
linear,1440,479,0.13194444444444445,0.35285122917945605,0.7833494736842105,0.37129456887094797,0.5671675140133873,0.7649341107291333,0.4391184812733112,F_current_features_plus_v221_scalar
mlp,1440,479,0.13194444444444445,0.23003517914154253,0.7092757894736842,0.4425526659920004,0.10142646558691656,0.5341282725334167,0.2380648411878087,F_current_features_plus_v221_scalar
