prototype_source_bucket,target_bucket,stage_set,action,count,mean_dpsnr,p05_dpsnr,unsafe_rate,severe_rate
easy_top25,easy_top25,S4_final_decoder,medium_0.67,20,0.028979682922363283,-0.4400444030761719,0.45,0.25
easy_top25,easy_top25,S4_final_decoder,mild_0.33,20,0.049726104736328124,-0.19108123779296876,0.3,0.05
easy_top25,easy_top25,S4_final_decoder,overstrong_1.5,20,-0.3166769027709961,-1.4392234802246093,0.65,0.5
easy_top25,easy_top25,S4_final_decoder,overstrong_2.0,20,-0.6961814880371093,-2.1866668701171874,0.8,0.75
easy_top25,easy_top25,S4_final_decoder,overstrong_3.0,20,-1.6985107421875,-3.7537162780761717,1.0,0.9
easy_top25,easy_top25,S4_final_decoder,sign_flip,20,-0.299894905090332,-0.8256895065307617,0.75,0.6
easy_top25,easy_top25,S4_final_decoder,strong_1.25,20,-0.1713651657104492,-1.094447135925293,0.55,0.45
easy_top25,easy_top25,S5_bottleneck_mid,medium_0.67,20,0.1470693588256836,-0.35811767578125,0.25,0.2
easy_top25,easy_top25,S5_bottleneck_mid,mild_0.33,20,0.10287990570068359,-0.14799671173095702,0.2,0.05
easy_top25,easy_top25,S5_bottleneck_mid,overstrong_1.5,20,-0.016499710083007813,-1.2299875259399413,0.45,0.4
easy_top25,easy_top25,S5_bottleneck_mid,overstrong_2.0,20,-0.2882652282714844,-1.8854549407958985,0.5,0.5
easy_top25,easy_top25,S5_bottleneck_mid,overstrong_3.0,20,-1.1157608032226562,-3.0950944900512694,0.9,0.85
easy_top25,easy_top25,S5_bottleneck_mid,sign_flip,20,-0.37128353118896484,-1.0095817565917968,0.85,0.6
easy_top25,easy_top25,S5_bottleneck_mid,strong_1.25,20,0.07266368865966796,-0.9317777633666993,0.4,0.35
easy_top25,easy_top25,S5_bottleneck_mid,wrong_stage,20,0.025074195861816407,-0.207867431640625,0.35,0.1
easy_top25,easy_top25,S6_early_mid_final,medium_0.67,20,0.076556396484375,-0.681358528137207,0.4,0.25
easy_top25,easy_top25,S6_early_mid_final,mild_0.33,20,0.09399566650390626,-0.29718666076660155,0.25,0.15
easy_top25,easy_top25,S6_early_mid_final,overstrong_1.5,20,-0.4318550109863281,-2.1116205215454102,0.65,0.55
easy_top25,easy_top25,S6_early_mid_final,overstrong_2.0,20,-0.9891510009765625,-3.1052555084228515,0.85,0.75
easy_top25,easy_top25,S6_early_mid_final,overstrong_3.0,20,-2.381456756591797,-4.9162897109985355,0.95,0.95
easy_top25,easy_top25,S6_early_mid_final,sign_flip,20,-0.49255027770996096,-1.2592245101928712,0.8,0.75
easy_top25,easy_top25,S6_early_mid_final,strong_1.25,20,-0.2155078887939453,-1.6325038909912108,0.5,0.5
easy_top25,easy_top25,S6_early_mid_final,wrong_stage,20,0.0202789306640625,-0.13740673065185546,0.25,0.0
easy_top25,hard_bottom25,S4_final_decoder,cross_bucket_mismatch,20,0.03309907913208008,-0.08456449508666992,0.25,0.0
easy_top25,hard_bottom25,S5_bottleneck_mid,cross_bucket_mismatch,20,0.0872166633605957,-0.09392509460449219,0.25,0.0
easy_top25,hard_bottom25,S6_early_mid_final,cross_bucket_mismatch,20,0.04710807800292969,-0.1478759765625,0.3,0.0
hard_bottom25,easy_top25,S4_final_decoder,cross_bucket_mismatch,20,-2.0015687942504883,-4.555237770080566,0.85,0.8
hard_bottom25,easy_top25,S5_bottleneck_mid,cross_bucket_mismatch,20,-0.89249267578125,-3.4131389617919923,0.6,0.6
hard_bottom25,easy_top25,S6_early_mid_final,cross_bucket_mismatch,20,-1.6965141296386719,-4.676799011230469,0.85,0.75
hard_bottom25,hard_bottom25,S4_final_decoder,medium_0.67,20,0.40738344192504883,-0.726203727722168,0.35,0.3
hard_bottom25,hard_bottom25,S4_final_decoder,mild_0.33,20,0.2741396903991699,-0.3033448219299317,0.25,0.15
hard_bottom25,hard_bottom25,S4_final_decoder,overstrong_1.5,20,0.05280609130859375,-2.285137748718262,0.4,0.4
hard_bottom25,hard_bottom25,S4_final_decoder,overstrong_2.0,20,-0.5537346839904785,-3.6468491554260254,0.55,0.55
hard_bottom25,hard_bottom25,S4_final_decoder,overstrong_3.0,20,-2.2039039611816404,-6.180021858215332,0.75,0.75
hard_bottom25,hard_bottom25,S4_final_decoder,sign_flip,20,-0.9032913208007812,-1.693433952331543,0.9,0.8
hard_bottom25,hard_bottom25,S4_final_decoder,strong_1.25,20,0.25696792602539065,-1.7129055976867675,0.4,0.4
hard_bottom25,hard_bottom25,S5_bottleneck_mid,medium_0.67,20,0.7053857803344726,-0.6638433456420898,0.3,0.15
hard_bottom25,hard_bottom25,S5_bottleneck_mid,mild_0.33,20,0.39351816177368165,-0.2644069671630859,0.15,0.1
