target,probe,base_rate,auc,ap,prob_std,fold_mean_auc,fold_min_auc,decision
is_unsafe,state_action_proto,0.4589805825242718,0.6172346210794254,0.5555405354377297,0.6732313054210076,0.6183129836016747,0.5779358789625361,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
is_unsafe,compatibility_only,0.4589805825242718,0.5793474271531058,0.5304998230650972,0.4560222281853568,0.5785614563880266,0.5403218059558117,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
is_cross_bucket_unsafe,state_action_proto,0.039805825242718446,0.755716848750894,0.08443143364512745,0.6732313054210076,0.7561662252513004,0.7261871443231644,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
is_cross_bucket_unsafe,compatibility_only,0.039805825242718446,0.8238319687291918,0.2674829700160988,0.4560222281853568,0.8224772593270919,0.8006792058516197,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
is_hard_to_easy_mismatch_unsafe,state_action_proto,0.01116504854368932,0.9374079528718704,0.07831932382640609,0.6732313054210076,0.9380520026262992,0.932997557997558,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
is_hard_to_easy_mismatch_unsafe,compatibility_only,0.01116504854368932,0.9958858935775117,0.5475152491796409,0.4560222281853568,0.9960756722283198,0.9925213675213675,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
is_overstrong_unsafe,state_action_proto,0.1929611650485437,0.8072203149382892,0.46273771871843444,0.6732313054210076,0.8077973546341529,0.7801245079190698,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
is_overstrong_unsafe,compatibility_only,0.1929611650485437,0.6156742800397219,0.2614321540594409,0.4560222281853568,0.6153206270815965,0.5596630962189875,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
should_noop_under_safe_policy,state_action_proto,0.0048543689320388345,0.007560975609756097,0.004855547462976451,0.6732313054210076,0.007560726360947781,0.006112469437652812,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
should_noop_under_safe_policy,compatibility_only,0.0048543689320388345,0.050731707317073174,0.0050735667174023336,0.4560222281853568,0.05072666498596527,0.037897310513447434,FAILONLY_DIAGNOSTIC_ONLY_NO_SELECTOR_AUTHORIZATION
