family,alpha,scope,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
expert,0.0,all,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.006361933328210577
expert,0.0625,all,600,0.2822496732076009,0.27283732096354163,0.2587817637125651,0.242288330078125,0.3116427103678385,0.00028735180695851643,0.9783333333333334,0.9632853794080659,0.9783333333333334,0,0.0,0.006361933328210577
expert,0.125,all,600,0.56147310256958,0.5421861864725749,0.5225772857666016,0.48882621828715006,0.6102801767985025,0.0005550840497016906,0.9783333333333334,0.9632853794080659,0.9783333333333334,1,1.0,0.009379799586568824
expert,0.25,all,600,1.1022660223642986,1.0621078777313233,1.0646472803751628,0.9939660936991374,1.1502952067057293,0.001030326286951701,0.9733333333333334,0.9571237027023953,0.9733333333333334,7,7.0,0.023884309997529277
expert,0.375,all,600,1.6023010762532552,1.5391566308339435,1.6239867146809897,1.511856970469157,1.581052220662435,0.0014222350716590882,0.97,0.9530788824105051,0.97,14,14.0,0.03878268132097568
expert,0.5,all,600,2.0372517172495526,1.9518395193417868,2.195684700012207,2.0409108346303304,1.8643054962158203,0.0017263187964757284,0.955,0.9353189194367528,0.955,18,18.0,0.04692111758949495
fulludp,0.0,all,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.006361933328210577
fulludp,0.0625,all,600,0.07667260487874349,0.0674096547762553,0.03107086181640625,0.013613566716512045,0.14579877217610676,5.8503349622090656e-05,0.735,0.6982717120459301,0.735,12,12.0,0.03463039193478541
fulludp,0.125,all,600,0.14056665420532227,0.12190874719619751,0.05829541524251302,0.023270050048828126,0.26671600341796875,9.985377391179403e-05,0.72,0.6827601080666953,0.72,58,58.0,0.12294176722022086
fulludp,0.25,all,600,0.22734577496846517,0.18968094555536905,0.10141343434651692,0.029479417800903324,0.4267451985677083,0.00013226956129074095,0.6783333333333333,0.6399235505018405,0.6783333333333333,105,105.0,0.20744490949997446
fulludp,0.375,all,600,0.25633511861165365,0.20070771249135333,0.12962669372558594,0.02072885831197103,0.4698514302571615,9.91015632947286e-05,0.6266666666666667,0.5872724941106875,0.6266666666666667,150,150.0,0.28616492672987215
fulludp,0.5,all,600,0.22601926167805989,0.15046451091766355,0.14271812438964843,-0.0023272908528645803,0.39354522705078127,1.7463167508443196e-06,0.5866666666666667,0.5468342330602907,0.5866666666666667,195,195.0,0.3634883118590987
