group,bin,expert_selected_rate,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600
a0_psnr_q4,q1,1.0,1,1.1854019165039062,1.1854019165039062,1.1854019165039062,0.0,1.0,1.0,0,0.0
a0_psnr_q4,q2,1.0,1,2.416149139404297,2.416149139404297,2.416149139404297,0.0,1.0,1.0,0,0.0
a0_psnr_q4,q3,1.0,1,5.279109954833984,5.279109954833984,5.279109954833984,0.0,1.0,1.0,0,0.0
a0_psnr_q4,q4,1.0,1,1.5763473510742188,1.5763473510742188,1.5763473510742188,0.0,1.0,1.0,0,0.0
fulludp_diff_q4,q1,1.0,1,2.416149139404297,2.416149139404297,2.416149139404297,0.0,1.0,1.0,0,0.0
fulludp_diff_q4,q2,1.0,1,1.5763473510742188,1.5763473510742188,1.5763473510742188,0.0,1.0,1.0,0,0.0
fulludp_diff_q4,q3,1.0,1,1.1854019165039062,1.1854019165039062,1.1854019165039062,0.0,1.0,1.0,0,0.0
fulludp_diff_q4,q4,1.0,1,5.279109954833984,5.279109954833984,5.279109954833984,0.0,1.0,1.0,0,0.0
expert_diff_q4,q1,1.0,1,1.5763473510742188,1.5763473510742188,1.5763473510742188,0.0,1.0,1.0,0,0.0
expert_diff_q4,q2,1.0,1,1.1854019165039062,1.1854019165039062,1.1854019165039062,0.0,1.0,1.0,0,0.0
expert_diff_q4,q3,1.0,1,5.279109954833984,5.279109954833984,5.279109954833984,0.0,1.0,1.0,0,0.0
expert_diff_q4,q4,1.0,1,2.416149139404297,2.416149139404297,2.416149139404297,0.0,1.0,1.0,0,0.0
expert_disagreement_q4,q1,1.0,1,5.279109954833984,5.279109954833984,5.279109954833984,0.0,1.0,1.0,0,0.0
expert_disagreement_q4,q2,1.0,1,1.1854019165039062,1.1854019165039062,1.1854019165039062,0.0,1.0,1.0,0,0.0
expert_disagreement_q4,q3,1.0,1,1.5763473510742188,1.5763473510742188,1.5763473510742188,0.0,1.0,1.0,0,0.0
expert_disagreement_q4,q4,1.0,1,2.416149139404297,2.416149139404297,2.416149139404297,0.0,1.0,1.0,0,0.0
split,val_hard,1.0,2,1.8007755279541016,1.1854019165039062,2.416149139404297,0.0,1.0,1.0,0,0.0
split,val_regular,1.0,2,3.4277286529541016,5.279109954833984,1.5763473510742188,0.0,1.0,1.0,0,0.0
