stage,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,composition_S0,composition_wdmamba,composition_fsudp,composition_mbtaylor
S3,split,val_hard,300,4.363052845001221,4.250895678520203,5.227088851928711,5.048934411366781,3.5761621602376303,1.0,0.9873565700022642,1.0,0,0.0,0.012643429997735661,0.006666666666666667,0.7933333333333333,0.12333333333333334,0.07666666666666666
S3,split,val_regular,300,3.045683733622233,2.917492272377014,4.393502655029297,4.191089064280192,2.092030487060547,1.0,0.9873565700022642,1.0,0,0.0,0.012643429997735661,0.013333333333333334,0.48333333333333334,0.47333333333333333,0.03
S3,A0-PSNR_q4,q1,150,5.015252316792806,4.878026682535808,5.375496477694125,5.1591813938037765,4.542016828382337,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.8866666666666667,0.02666666666666667,0.08666666666666667
S3,A0-PSNR_q4,q2,150,4.140800145467122,3.9883523495992024,4.5411353240142,4.24099644325875,3.845056688463366,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.7933333333333333,0.15333333333333332,0.05333333333333334
S3,A0-PSNR_q4,q3,150,3.3666893259684243,3.2072692171732586,3.8645118507179053,3.494233265438595,2.9053821048221073,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.6066666666666667,0.32,0.05333333333333334
S3,A0-PSNR_q4,q4,150,2.294731369018555,2.169032976786296,2.7494273830104516,2.5137648195833773,1.85040283203125,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.26666666666666666,0.6933333333333334,0.02
S3,FullUDP-A0_diff_signed_q4,q1,150,4.072724774678548,3.885920800526937,5.335456177995011,5.0398116730354925,2.909317429001267,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.6533333333333333,0.26,0.07333333333333333
S3,FullUDP-A0_diff_signed_q4,q2,150,3.4354486719767254,3.2519926522572837,4.981513203801335,4.67914938540072,2.129822808343011,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.5133333333333333,0.4533333333333333,0.02666666666666667
S3,FullUDP-A0_diff_signed_q4,q3,150,3.5033565521240235,3.2753695112864176,4.842860041437922,4.548972341176626,2.126233590615762,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.6133333333333333,0.32666666666666666,0.04
S3,FullUDP-A0_diff_signed_q4,q4,150,3.8059431584676107,3.637206703821818,4.97179211796941,4.7071593903206495,2.6196797345135665,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.7733333333333333,0.15333333333333332,0.07333333333333333
S3,FullUDP-A0_diff_abs_q4,q1,150,3.0946731821695965,2.912747515996297,5.0216375814901815,4.725921945314149,1.881664379222973,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.43333333333333335,0.5066666666666667,0.04
S3,FullUDP-A0_diff_abs_q4,q2,150,3.816403350830078,3.6302353375752765,5.171950262946051,4.87320193986635,2.5247325381717167,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.6933333333333334,0.25333333333333335,0.04666666666666667
S3,FullUDP-A0_diff_abs_q4,q3,150,3.930572052001953,3.773737976074219,5.132904052734375,4.885528167518409,2.9746195818926835,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.6466666666666666,0.26666666666666666,0.07333333333333333
S3,FullUDP-A0_diff_abs_q4,q4,150,3.97582457224528,3.80043971824646,5.091307614300702,4.8156288739797235,2.8424278465477197,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.78,0.16666666666666666,0.05333333333333334
S3,haze_density_q4,q1,150,2.6374956130981446,2.483303612391154,3.305194596986513,3.01971178828059,1.9307718019227724,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.26666666666666666,0.68,0.03333333333333333
S3,haze_density_q4,q2,150,3.4861573791503906,3.2689433708190916,4.703366563126847,4.360997019587336,2.233628556535051,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.62,0.29333333333333333,0.07333333333333333
S3,haze_density_q4,q3,150,4.172807121276856,3.984346234003703,5.347232251553922,5.117480030575313,2.84568807241079,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.8133333333333334,0.12,0.06
S3,haze_density_q4,q4,150,4.521013043721517,4.358354218165079,5.20017402236526,4.952029042630582,3.577039254678262,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.8533333333333334,0.1,0.04666666666666667
S3,transmission_q4,q1,150,4.521013043721517,4.358354218165079,5.20017402236526,4.952029042630582,3.577039254678262,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.0,0.8533333333333334,0.1,0.04666666666666667
S3,transmission_q4,q2,150,4.172807121276856,3.984346234003703,5.347232251553922,5.117480030575313,2.84568807241079,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.006666666666666667,0.8133333333333334,0.12,0.06
S3,transmission_q4,q3,150,3.4861573791503906,3.2689433708190916,4.703366563126847,4.360997019587336,2.233628556535051,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.013333333333333334,0.62,0.29333333333333333,0.07333333333333333
S3,transmission_q4,q4,150,2.6374956130981446,2.483303612391154,3.305194596986513,3.01971178828059,1.9307718019227724,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,0.02,0.26666666666666666,0.68,0.03333333333333333
