target_fold,policy_variant,target_bucket,compat_bin,stage_set,chosen_source_bucket,chosen_action,chosen_strength,selection_reason,sample_count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,table_policy_mean,table_policy_hard,table_policy_easy,table_policy_p05,table_policy_cvar5,table_policy_unsafe_rate,table_policy_severe_rate,table_policy_fold_tail_pass,cross_bucket_unsafe,hard_to_easy_cross_severe,table_pass,source_bucket,action_name,action_strength,coverage_count,mean_lcb,p05_lcb,cvar5_lcb,unsafe_ucb,severe_ucb
0,v230_hybrid_compat_firewall_lcb,hard_bottom25,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,v230_hybrid_compat_firewall_lcb,mid_50,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,7,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,v230_hybrid_compat_firewall_lcb,easy_top25,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,v230_hybrid_compat_firewall_lcb,hard_bottom25,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,v230_hybrid_compat_firewall_lcb,mid_50,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,v230_hybrid_compat_firewall_lcb,easy_top25,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,6,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,v230_hybrid_compat_firewall_lcb,hard_bottom25,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,v230_hybrid_compat_firewall_lcb,mid_50,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,9,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,v230_hybrid_compat_firewall_lcb,easy_top25,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
3,v230_hybrid_compat_firewall_lcb,hard_bottom25,mixed,mixed,mixed,strong_0.85,mixed,fold_out_lcb_risk_constrained_table,5,0.1229766845703125,-0.4688453674316406,-0.4753570556640625,0.6,0.6,,,,,,,,,,,,,,,,,,,,
3,v230_hybrid_compat_firewall_lcb,mid_50,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,7,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
3,v230_hybrid_compat_firewall_lcb,easy_top25,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4,v230_hybrid_compat_firewall_lcb,hard_bottom25,mixed,mixed,mixed,mild_0.33+noop,mixed,fold_out_lcb_risk_constrained_table,5,0.10293350219726563,-0.05217933654785156,-0.05268096923828125,0.4,0.0,,,,,,,,,,,,,,,,,,,,
4,v230_hybrid_compat_firewall_lcb,mid_50,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,9,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4,v230_hybrid_compat_firewall_lcb,easy_top25,mixed,mixed,mixed,noop,mixed,fold_out_lcb_risk_constrained_table,2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
ALL,v230_hybrid_compat_firewall_lcb,ALL,,,,,,,,,,,,,0.014119386672973633,0.05647754669189453,0.0,-0.050298213958740234,-0.30556774139404297,0.0625,0.0375,4,0.0,0.0,0,,,,,,,,,
0,v230_hybrid_compat_firewall_lcb,mid_50,all_source_borderline,S6_early_mid_final,,,,,,,,,,,,,,,,,,,,,,all,mild_0.20,0.2,4,0.00919513702392577,-0.3563098907470703,-0.44665069580078126,0.45,0.45
0,v230_hybrid_compat_firewall_lcb,mid_50,all_source_borderline,S6_early_mid_final,,,,,,,,,,,,,,,,,,,,,,all,mild_0.33,0.33,4,0.13746147155761718,-0.46494903564453127,-0.6121017456054687,0.45,0.45
