target_bucket,oracle_action_family,policy_action_family,oracle_stage_set,policy_stage_set,oracle_source_bucket,policy_source_bucket,count
easy_top25,mild,mild,S5_bottleneck_mid,S4_final_decoder,easy_top25,easy_top25,1
easy_top25,mild,mild,S5_bottleneck_mid,S5_bottleneck_mid,easy_top25,easy_top25,4
easy_top25,mild,mild,S5_bottleneck_mid,S6_early_mid_final,easy_top25,easy_top25,1
easy_top25,mild,mild,S6_early_mid_final,S4_final_decoder,easy_top25,easy_top25,1
easy_top25,mild,mild,S6_early_mid_final,S5_bottleneck_mid,easy_top25,easy_top25,3
easy_top25,mild,mild,S6_early_mid_final,S6_early_mid_final,easy_top25,easy_top25,3
easy_top25,mild,noop,S5_bottleneck_mid,noop,easy_top25,noop,2
easy_top25,noop,mild,noop,S5_bottleneck_mid,noop,easy_top25,1
easy_top25,noop,noop,noop,noop,noop,noop,4
hard_bottom25,medium,strong,S4_final_decoder,S6_early_mid_final,all,hard_bottom25,1
hard_bottom25,medium,strong,S5_bottleneck_mid,S5_bottleneck_mid,all,hard_bottom25,1
hard_bottom25,noop,strong,noop,S6_early_mid_final,noop,all,1
hard_bottom25,strong,medium,S5_bottleneck_mid,S5_bottleneck_mid,hard_bottom25,hard_bottom25,1
hard_bottom25,strong,medium,S5_bottleneck_mid,S6_early_mid_final,hard_bottom25,hard_bottom25,1
hard_bottom25,strong,medium,S6_early_mid_final,S5_bottleneck_mid,hard_bottom25,hard_bottom25,1
hard_bottom25,strong,noop,S5_bottleneck_mid,noop,hard_bottom25,noop,1
hard_bottom25,strong,strong,S4_final_decoder,S5_bottleneck_mid,hard_bottom25,all,1
hard_bottom25,strong,strong,S5_bottleneck_mid,S4_final_decoder,hard_bottom25,hard_bottom25,1
hard_bottom25,strong,strong,S5_bottleneck_mid,S5_bottleneck_mid,all,hard_bottom25,1
hard_bottom25,strong,strong,S5_bottleneck_mid,S5_bottleneck_mid,hard_bottom25,hard_bottom25,5
hard_bottom25,strong,strong,S5_bottleneck_mid,S6_early_mid_final,hard_bottom25,all,1
hard_bottom25,strong,strong,S6_early_mid_final,S5_bottleneck_mid,hard_bottom25,hard_bottom25,2
hard_bottom25,strong,strong,S6_early_mid_final,S6_early_mid_final,hard_bottom25,hard_bottom25,2
mid_50,medium,medium,S5_bottleneck_mid,S4_final_decoder,all,mid_50,1
mid_50,medium,medium,S5_bottleneck_mid,S4_final_decoder,mid_50,all,2
mid_50,medium,medium,S5_bottleneck_mid,S4_final_decoder,mid_50,mid_50,1
mid_50,medium,medium,S5_bottleneck_mid,S5_bottleneck_mid,mid_50,mid_50,2
mid_50,medium,medium,S5_bottleneck_mid,S6_early_mid_final,all,mid_50,1
mid_50,medium,medium,S6_early_mid_final,S5_bottleneck_mid,mid_50,mid_50,1
mid_50,medium,medium,S6_early_mid_final,S6_early_mid_final,all,all,2
mid_50,medium,medium,S6_early_mid_final,S6_early_mid_final,all,mid_50,2
mid_50,medium,medium,S6_early_mid_final,S6_early_mid_final,mid_50,all,1
mid_50,medium,medium,S6_early_mid_final,S6_early_mid_final,mid_50,mid_50,3
mid_50,medium,mild,S5_bottleneck_mid,S5_bottleneck_mid,all,all,1
mid_50,medium,mild,S5_bottleneck_mid,S5_bottleneck_mid,mid_50,all,1
mid_50,medium,mild,S5_bottleneck_mid,S6_early_mid_final,all,mid_50,1
mid_50,medium,mild,S5_bottleneck_mid,S6_early_mid_final,mid_50,mid_50,1
mid_50,medium,mild,S6_early_mid_final,S5_bottleneck_mid,mid_50,mid_50,1
mid_50,medium,noop,S4_final_decoder,noop,all,noop,1
mid_50,medium,noop,S5_bottleneck_mid,noop,all,noop,1
mid_50,medium,noop,S5_bottleneck_mid,noop,mid_50,noop,2
mid_50,mild,mild,S4_final_decoder,S5_bottleneck_mid,mid_50,mid_50,1
mid_50,mild,mild,S6_early_mid_final,S4_final_decoder,mid_50,mid_50,1
mid_50,mild,mild,S6_early_mid_final,S6_early_mid_final,all,mid_50,1
mid_50,mild,mild,S6_early_mid_final,S6_early_mid_final,mid_50,all,1
mid_50,mild,mild,S6_early_mid_final,S6_early_mid_final,mid_50,mid_50,1
mid_50,mild,noop,S6_early_mid_final,noop,mid_50,noop,1
mid_50,noop,medium,noop,S4_final_decoder,noop,all,2
mid_50,noop,medium,noop,S4_final_decoder,noop,mid_50,1
mid_50,noop,medium,noop,S5_bottleneck_mid,noop,all,1
mid_50,noop,mild,noop,S4_final_decoder,noop,all,1
mid_50,noop,mild,noop,S4_final_decoder,noop,mid_50,1
mid_50,noop,mild,noop,S5_bottleneck_mid,noop,mid_50,1
mid_50,noop,noop,noop,noop,noop,noop,2
