teacher_id,expert_family,bucket,hardness_bucket,lowfreq_haze_bucket,strong_reference_bucket,count,mean_delta_psnr_vs_A0,hard_delta_psnr_vs_A0,easy_delta_psnr_vs_A0,p05_delta_vs_A0,cvar5_delta_vs_A0,severe_regression_rate_vs_A0,strong_reference_regression_rate,lowfreq_LL_delta_gain,global_structure_proxy_gain,color_shift_risk,teacher_worse_rate,eligible_mask_coverage,eligible_mask_mean_gain,eligible_mask_p05,eligible_mask_cvar5,eligible_mask_severe,fold_pass,gate_pass
udpnet_full,UDPNet,all,mixed,mixed_or_unknown,mixed,600,0.06200496355692545,0.6855227915445964,-0.6864959208170572,-2.916111373901367,-4.341756502787272,0.42,0.6,,-0.0003103939692179362,not_measured_table_only,0.47,0.48,1.5063961545626323,0.1994220733642578,0.14749310811360677,0.0,4,False
udpnet_full,UDPNet,val_hard,mixed,mixed_or_unknown,mixed,300,0.42602890650431313,0.6416692566453365,,-2.343693065643311,-3.363993199666341,0.3466666666666667,,,-0.00027603129545847576,not_measured_table_only,0.39,0.56,1.596047038123721,0.1843585968017578,0.13991949293348524,0.0,4,False
udpnet_full,UDPNet,val_regular,mixed,mixed_or_unknown,mixed,300,-0.30201897939046224,0.8243923187255859,-0.6864959208170572,-3.535603141784668,-5.113126881917318,0.49333333333333335,0.6,,-0.00034475664297739663,not_measured_table_only,0.55,0.4,1.3808849175771079,0.21985530853271484,0.16137313842773438,0.0,3,False
udpnet_full,UDPNet,easy_top25_by_a0,easy_top25_by_a0,mixed_or_unknown,mixed,150,-0.6864959208170572,,-0.6864959208170572,-4.2915544509887695,-5.611111164093018,0.5533333333333333,0.6,,-0.0003942728042602539,not_measured_table_only,0.6266666666666667,0.34,1.1528627732220817,0.20283889770507812,0.17081324259440103,0.0,0,False
udpnet_full,UDPNet,hard_bottom25_by_a0,hard_bottom25_by_a0,mixed_or_unknown,mixed,150,0.6855227915445964,0.6855227915445964,,-2.2552623748779297,-2.819758415222168,0.30666666666666664,,,-0.00020247538884480794,not_measured_table_only,0.34,0.5933333333333334,1.8056200648961442,0.28725967407226566,0.16445960998535156,0.0,4,False
udpnet_full,UDPNet,mid_by_a0,mid_by_a0,mixed_or_unknown,mixed,300,0.12449649175008139,,,-2.719651794433594,-3.779714584350586,0.41,,,-0.0003224138418833415,not_measured_table_only,0.45666666666666667,0.49333333333333335,1.4482831439456425,0.1984079360961914,0.1425189971923828,0.0,0,False
wdmamba_alpha0p5,WDMamba,all,mixed,mixed_or_unknown,mixed,600,3.2298553371429444,4.909155438741048,1.1265544637044271,0.008437538146972623,-0.7438251495361328,0.03666666666666667,0.17333333333333334,4.364413210550944,0.0019638411204020182,not_measured_table_only,0.05,0.945,3.456922800242375,0.6167247772216797,0.32426163245891704,0.0,5,True
wdmamba_alpha0p5,WDMamba,val_hard,mixed,mixed_or_unknown,mixed,300,4.178071460723877,4.921215609500282,,1.6113801956176756,0.953039805094401,0.0033333333333333335,,4.613848445571471,0.002564018964767456,not_measured_table_only,0.0033333333333333335,0.9966666666666667,4.199890359986985,1.6313362121582031,1.2170021057128906,0.0,5,True
wdmamba_alpha0p5,WDMamba,val_regular,mixed,mixed_or_unknown,mixed,300,2.281639213562012,4.870964898003472,1.1265544637044271,-0.46754302978515627,-1.1259328206380208,0.07,0.17333333333333334,3.743725532709166,0.0013636632760365803,not_measured_table_only,0.09666666666666666,0.8933333333333333,2.628014963064621,0.29549560546875,0.2284886496407645,0.0,5,True
wdmamba_alpha0p5,WDMamba,easy_top25_by_a0,easy_top25_by_a0,mixed_or_unknown,mixed,150,1.1265544637044271,,1.1265544637044271,-1.1545902252197267,-1.4764814376831055,0.13333333333333333,0.17333333333333334,1.810849870954241,0.0006979103883107504,not_measured_table_only,0.18666666666666668,0.8,1.5703556696573893,0.2511310577392578,0.18035888671875,0.0,0,False
wdmamba_alpha0p5,WDMamba,hard_bottom25_by_a0,hard_bottom25_by_a0,mixed_or_unknown,mixed,150,4.909155438741048,4.909155438741048,,3.3120257377624513,2.339733839035034,0.0,,4.929933468500773,0.003914837837219238,not_measured_table_only,0.0,1.0,4.909155438741048,3.3120257377624513,2.339733839035034,0.0,5,True
wdmamba_alpha0p5,WDMamba,mid_by_a0,mid_by_a0,mixed_or_unknown,mixed,300,3.441855723063151,,,0.9842763900756836,0.33730189005533856,0.006666666666666667,,4.042687644421215,0.0016213081280390422,not_measured_table_only,0.006666666666666667,0.99,3.485721318408696,1.1742042541503908,0.7286412556966145,0.0,0,False
wdmamba_full,WDMamba,all,mixed,mixed_or_unknown,mixed,600,3.5780522632598877,8.276923433939617,-1.0485372416178385,-2.9605571746826174,-4.092458724975586,0.20666666666666667,0.7,6.346549924214681,0.0013194296757380168,not_measured_table_only,0.23166666666666666,0.7433333333333333,5.368356170141109,0.6497488021850586,0.42632758099099866,0.0,5,True
wdmamba_full,WDMamba,val_hard,mixed,mixed_or_unknown,mixed,300,5.7053643989562985,8.310032175298323,,0.5669340133666991,-1.24864501953125,0.023333333333333334,,6.966209714657793,0.0020394440491994224,not_measured_table_only,0.03666666666666667,0.95,6.042122335601271,1.1932723999023438,0.734783935546875,0.0,5,True
wdmamba_full,WDMamba,val_regular,mixed,mixed_or_unknown,mixed,300,1.4507401275634766,8.172079086303711,-1.0485372416178385,-3.638456916809082,-4.6426544189453125,0.39,0.7,4.804605794507403,0.0005994153022766114,not_measured_table_only,0.4266666666666667,0.5366666666666666,4.175664510786163,0.5149993896484375,0.3165808783637153,0.0,5,True
wdmamba_full,WDMamba,easy_top25_by_a0,easy_top25_by_a0,mixed_or_unknown,mixed,150,-1.0485372416178385,,-1.0485372416178385,-4.4952850341796875,-5.183178901672363,0.6666666666666666,0.7,0.16448157174246653,6.055275599161784e-05,not_measured_table_only,0.72,0.26666666666666666,1.578255558013916,0.28038730621337893,0.2183513641357422,0.0,0,False
wdmamba_full,WDMamba,hard_bottom25_by_a0,hard_bottom25_by_a0,mixed_or_unknown,mixed,150,8.276923433939617,8.276923433939617,,3.773422431945801,2.3567869663238525,0.0,,8.48996106783549,0.003670111099878947,not_measured_table_only,0.0,0.9866666666666667,8.349992069038185,3.8681291580200194,2.7261292934417725,0.0,5,True
wdmamba_full,WDMamba,mid_by_a0,mid_by_a0,mixed_or_unknown,mixed,300,3.5419114303588866,,,-1.1827133178710938,-2.6965174357096355,0.08,,4.782449587969713,0.0007735274235407512,not_measured_table_only,0.10333333333333333,0.86,4.24557288118111,0.6372955322265624,0.4002673809344952,0.0,0,False
