fold,split,count,mean_delta,hard_delta,easy_delta,p05_delta,cvar5_delta,worst_delta,severe_count,strong_reference_regression_count,residual_energy_hard_mean,residual_energy_easy_mean,residual_energy_easy_to_hard_ratio,gate_pass
global,train32,160,-0.02389319690943035,-0.07215971205481893,-0.020582102849429695,-0.49025128590593103,-0.6821474435878523,-0.8832145173972492,26,17,1.0878532727076618e-06,3.3961594949616367e-07,0.3121891141172569,False
0,train32,32,-0.08571076267486522,-0.112682738170224,0.01655692299532685,-0.35840319010026034,-0.5020671210163989,-0.6351464587012572,8,5,9.894707204693987e-07,2.0860964422553252e-07,0.21082952725126564,False
1,train32,32,0.05016346345991329,0.10833809948478557,0.060400897712793444,-0.23452892646405382,-0.38637047588077067,-0.48977892440584725,2,2,1.4281192157739042e-06,1.9742888124341107e-07,0.13824397785756526,False
2,train32,32,-0.09274419383176835,-0.09071870728210829,-0.07151488003655615,-0.366112297836381,-0.4259205427363746,-0.4474633515202626,5,4,4.133088964408671e-07,1.3765847262092734e-07,0.3330643830954227,False
3,train32,32,-0.00947553365833298,-0.06178674392719241,-0.090195439200067,-0.5431069476411203,-0.652553243007663,-0.7083674577553651,4,4,8.383896492603071e-07,3.5550643318060793e-07,0.4240348547888962,False
4,train32,32,0.018301042157901515,-0.13631297937389064,-0.07626130353743488,-0.7341336074602498,-0.8126471572141369,-0.8832145173972492,7,4,2.0645971900989935e-06,8.165985612151871e-07,0.39552439823674895,False
global,oof32,160,-0.027738129437332493,0.07424563552679278,-0.0723866515875045,-0.3980779228820797,-0.5971845562324951,-1.2664571422798758,27,25,1.0923695988651615e-06,3.136274171922082e-07,0.28710741997766026,False
0,oof32,32,-0.026800905543221565,0.014757340582336465,0.06949648928806162,-0.38683695304249355,-0.438347943781082,-0.4810531042346682,7,3,9.108561886961297e-07,3.2416191064754685e-07,0.35588703757019796,False
1,oof32,32,0.06122257334975667,0.24940230120777684,0.045467553180549736,-0.11602767004947126,-0.29996294306311455,-0.47694635303919597,1,2,1.0962721717078239e-06,2.141295283308864e-07,0.19532515177987728,False
2,oof32,32,-0.0873209496733961,-0.04721426650183558,-0.13972468746196132,-0.3771190006839884,-0.5307901187624395,-0.5612966802599928,3,6,4.942271623065153e-07,1.7956278153263838e-07,0.3633203417931027,False
3,oof32,32,-0.06521586483691233,0.05836973442658788,-0.16961921974487737,-0.290594847658144,-0.3684905609663929,-0.44434557441917377,8,6,5.793168309509156e-07,3.137283615117781e-07,0.5415488464176171,False
4,oof32,32,-0.020575500482889142,0.08138044883128082,-0.1367984710151502,-0.5181664547969984,-0.9219049026509083,-1.2664571422798758,8,5,2.0487811269731537e-06,8.512028344398459e-07,0.4154679205276571,False
