variant,checkpoint,checkpoint_path,evaluated,summary_json,per_image_csv,gate_pass,mean_dPSNR,severe_loss_per_600
c12_gt075_teacher025_lr1e-5,model_1,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_1.pkl,True,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_1_summary.json,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_1_per_image.csv,False,-0.2442772388458252,317.0
c12_gt075_teacher025_lr1e-5,model_5,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_5.pkl,True,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_5_summary.json,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_5_per_image.csv,False,-0.2972379461924235,333.00000000000006
c12_gt075_teacher025_lr1e-5,model_4,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_4.pkl,True,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_4_summary.json,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_4_per_image.csv,False,-0.31225525538126625,354.0
c12_gt075_teacher025_lr1e-5,model_2,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_2.pkl,True,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_2_summary.json,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_2_per_image.csv,False,-0.35270846048990884,360.0
c12_gt075_teacher025_lr1e-5,model_3,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_3.pkl,True,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_3_summary.json,v24_c12_eval_c12_gt075_teacher025_lr1e-5_model_3_per_image.csv,False,-0.41065923690795897,396.0
c12_gt050_teacher050_lr1e-5,model_1,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_1.pkl,True,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_1_summary.json,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_1_per_image.csv,False,-0.5629584153493246,427.0
c12_gt050_teacher050_lr1e-5,model_5,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_5.pkl,True,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_5_summary.json,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_5_per_image.csv,False,-0.667705446879069,432.0
c12_gt050_teacher050_lr1e-5,model_4,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_4.pkl,True,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_4_summary.json,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_4_per_image.csv,False,-0.7160673077901204,445.0
c12_gt050_teacher050_lr1e-5,model_2,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_2.pkl,True,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_2_summary.json,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_2_per_image.csv,False,-0.7625754388173421,453.0
c12_gt050_teacher050_lr1e-5,model_3,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_3.pkl,True,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_3_summary.json,v24_c12_eval_c12_gt050_teacher050_lr1e-5_model_3_per_image.csv,False,-0.8020370896657308,484.0
c12_gt025_teacher075_lr1e-5,model_1,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt025_teacher075_lr1e-5/checkpoints/model_1.pkl,True,v24_c12_eval_c12_gt025_teacher075_lr1e-5_model_1_summary.json,v24_c12_eval_c12_gt025_teacher075_lr1e-5_model_1_per_image.csv,False,-0.9309364000956217,465.99999999999994
c12_gt025_teacher075_lr1e-5,model_5,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt025_teacher075_lr1e-5/checkpoints/model_5.pkl,True,v24_c12_eval_c12_gt025_teacher075_lr1e-5_model_5_summary.json,v24_c12_eval_c12_gt025_teacher075_lr1e-5_model_5_per_image.csv,False,-1.147179822921753,495.0
c12_gt025_teacher075_lr1e-5,model_4,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt025_teacher075_lr1e-5/checkpoints/model_4.pkl,True,v24_c12_eval_c12_gt025_teacher075_lr1e-5_model_4_summary.json,v24_c12_eval_c12_gt025_teacher075_lr1e-5_model_4_per_image.csv,False,-1.1761273956298828,483.00000000000006
