checkpoint,count,dSSIM,easy_top25_dPSNR,gate_pass,hard_bottom25_dPSNR,locked_per_image_read,locked_test_touched,mean_dPSNR,median_dPSNR,nonnegative_ratio,p05_dPSNR,p95_dPSNR,positive_ratio,severe_loss_count,severe_loss_per_600,student_checkpoint,variant
model_1,600,-0.000317954421043396,-0.19978215535481772,False,-0.2905660120646159,False,False,-0.2442772388458252,-0.24642372131347656,0.32666666666666666,-1.3687591552734375,0.8925514221191406,0.32666666666666666,317,317.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_1.pkl,c12_gt075_teacher025_lr1e-5
model_5,600,-0.00032655258973439535,-0.11591336568196614,False,-0.4381075922648112,False,False,-0.2972379461924235,-0.28342247009277344,0.28833333333333333,-1.2518157958984375,0.7110748291015625,0.28833333333333333,333,333.00000000000006,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_5.pkl,c12_gt075_teacher025_lr1e-5
model_4,600,-0.0005678653717041016,-0.13967730204264323,False,-0.43480735778808594,False,False,-0.31225525538126625,-0.3092374801635742,0.26166666666666666,-1.1164474487304688,0.5135459899902344,0.26166666666666666,354,354.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_4.pkl,c12_gt075_teacher025_lr1e-5
model_2,600,-0.0004825538396835327,-0.08412185668945313,False,-0.5209679921468099,False,False,-0.35270846048990884,-0.3374919891357422,0.26666666666666666,-1.3573322296142578,0.4863319396972656,0.26666666666666666,360,360.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_2.pkl,c12_gt075_teacher025_lr1e-5
model_3,600,-0.00045617232720057167,-0.13548545837402343,False,-0.5035677846272787,False,False,-0.41065923690795897,-0.35371971130371094,0.18166666666666667,-1.2994842529296875,0.42563629150390625,0.18166666666666667,396,396.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt075_teacher025_lr1e-5/checkpoints/model_3.pkl,c12_gt075_teacher025_lr1e-5
model_1,600,-0.0006072046359380086,-0.3367092895507813,False,-0.7577817916870118,False,False,-0.5629584153493246,-0.5554599761962891,0.21666666666666667,-1.9366722106933594,0.71075439453125,0.21666666666666667,427,427.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_1.pkl,c12_gt050_teacher050_lr1e-5
model_5,600,-0.0006647926568984986,-0.28402496337890626,False,-0.9719920603434244,False,False,-0.667705446879069,-0.5710372924804688,0.17,-1.8728370666503906,0.36209869384765625,0.17,432,432.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_5.pkl,c12_gt050_teacher050_lr1e-5
model_4,600,-0.0009544292092323304,-0.28629297892252603,False,-1.0391485087076824,False,False,-0.7160673077901204,-0.7086582183837891,0.17666666666666667,-1.9321403503417969,0.3895301818847656,0.17666666666666667,445,445.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_4.pkl,c12_gt050_teacher050_lr1e-5
model_2,600,-0.0008451199531555176,-0.22384905497233074,False,-1.1298282877604167,False,False,-0.7625754388173421,-0.7529716491699219,0.145,-1.9496479034423828,0.2702064514160156,0.145,453,453.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_2.pkl,c12_gt050_teacher050_lr1e-5
model_3,600,-0.0008048967520395914,-0.29868446350097655,False,-1.0819512176513673,False,False,-0.8020370896657308,-0.7603130340576172,0.11,-1.9531402587890625,0.2583656311035156,0.11,484,484.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt050_teacher050_lr1e-5/checkpoints/model_3.pkl,c12_gt050_teacher050_lr1e-5
model_1,600,-0.000922757883866628,-0.4979932149251302,False,-1.3121330769856772,False,False,-0.9309364000956217,-0.8943643569946289,0.16,-2.5403671264648438,0.6121406555175781,0.16,466,465.99999999999994,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt025_teacher075_lr1e-5/checkpoints/model_1.pkl,c12_gt025_teacher075_lr1e-5
model_5,600,-0.0011693483591079712,-0.5084786478678386,False,-1.6423530960083008,False,False,-1.147179822921753,-1.0204734802246094,0.07666666666666666,-2.838735580444336,0.1151885986328125,0.07666666666666666,495,495.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt025_teacher075_lr1e-5/checkpoints/model_5.pkl,c12_gt025_teacher075_lr1e-5
model_4,600,-0.0014279460906982421,-0.4909648895263672,False,-1.7031508763631185,False,False,-1.1761273956298828,-1.1041507720947266,0.10166666666666667,-2.841510772705078,0.234130859375,0.10166666666666667,483,483.00000000000006,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt025_teacher075_lr1e-5/checkpoints/model_4.pkl,c12_gt025_teacher075_lr1e-5
model_2,600,-0.0013441959023475648,-0.41986096700032555,False,-1.8059627278645833,False,False,-1.2342050997416179,-1.1739845275878906,0.095,-2.8570632934570312,0.15453720092773438,0.095,493,493.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt025_teacher075_lr1e-5/checkpoints/model_2.pkl,c12_gt025_teacher075_lr1e-5
model_3,600,-0.0013297674059867858,-0.4935925801595052,False,-1.7392940775553385,False,False,-1.2534229532877603,-1.1881580352783203,0.08,-2.8808326721191406,0.13673019409179688,0.08,511,511.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_gt025_teacher075_lr1e-5/checkpoints/model_3.pkl,c12_gt025_teacher075_lr1e-5
model_1,600,-0.0013354382912317913,-0.710538813273112,False,-1.8516724650065104,False,False,-1.3465027236938476,-1.288167953491211,0.12,-3.282777786254883,0.4398078918457031,0.12,498,498.0,/sda/home/wangyuxin/ConvIR-B/runs/v24_c12_wd0375_distill_screen/c12_teacher100_lr1e-5/checkpoints/model_1.pkl,c12_teacher100_lr1e-5
