family,alpha,group_count,min_group_mean_dPSNR,min_group_mean_group,min_group_mean_bin,min_group_hard_bottom25_dPSNR,min_group_hard_group,min_group_hard_bin,min_group_easy_top25_dPSNR,min_group_easy_group,min_group_easy_bin,min_group_positive_ratio,min_group_positive_group,min_group_positive_bin,worst_group_worst_dPSNR,worst_group_worst_group,worst_group_worst_bin,max_group_severe_per_600,max_group_severe_group,max_group_severe_bin
expert,0.0,58,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1
expert,0.125,58,0.4751840337117513,Expert-A0_diff_abs_q4,q2,0.20198889036436338,Expert-A0_diff_abs_q4,q1,0.49812731061662946,haze_density_p90_q4,q3,0.9507042253521126,haze_density_p90_q4,q3,-0.3823966979980469,A0-PSNR_q4,q3,4.225352112676056,haze_density_p90_q4,q3
expert,0.25,58,0.9151494471232097,Expert-A0_diff_abs_q4,q2,0.38999614200076543,Expert-A0_diff_abs_q4,q1,0.9435687473842076,haze_density_p90_q4,q3,0.9466666666666667,depth_q4,q2,-0.8738479614257812,A0-PSNR_q4,q3,20.0,residual_cosine_q4,q3
expert,0.375,58,1.3001541646321615,Expert-A0_diff_abs_q4,q2,0.561362498515361,Expert-A0_diff_abs_q4,q1,1.3089110238211497,haze_density_p90_q4,q3,0.94,depth_q4,q2,-1.4380111694335938,A0-PSNR_q4,q3,25.352112676056336,haze_density_p90_q4,q3
expert,0.5,58,1.5973634338378906,Expert-A0_diff_abs_q4,q1,0.713288384514886,Expert-A0_diff_abs_q4,q1,1.561438969203404,haze_density_p90_q4,q3,0.9266666666666666,Expert-A0_diff_abs_q4,q2,-2.0437889099121094,A0-PSNR_q4,q3,33.56643356643357,airlight_proxy_q4,q3
expert,0.75,58,1.7974542744954427,Expert-A0_diff_abs_q4,q1,0.9475115183237437,Expert-A0_diff_abs_q4,q1,1.4026555241765202,edge_density_q4,q2,0.8666666666666667,Expert-A0_diff_signed_q4,q4,-4.371772766113281,A0-PSNR_q4,q4,68.0,A0-PSNR_q4,q4
expert,1.0,58,1.2047945404052733,A0-PSNR_q4,q4,1.0717755395012933,Expert-A0_diff_abs_q4,q1,0.5213898323677681,Expert-A0_diff_abs_q4,q2,0.7666666666666667,A0-PSNR_q4,q4,-6.490203857421875,A0-PSNR_q4,q4,116.0,A0-PSNR_q4,q4
fulludp,0.0,58,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1
fulludp,0.125,58,-0.08534407297770183,residual_cosine_q4,q1,-0.09376046464249894,residual_cosine_q4,q1,-0.05461955714870144,expert_fulludp_disagreement_q4,q4,0.2733333333333333,residual_cosine_q4,q1,-0.8958015441894531,A0-PSNR_q4,q4,144.0,residual_cosine_q4,q1
fulludp,0.25,58,-0.2092724863688151,residual_cosine_q4,q1,-0.20015634072793498,residual_cosine_q4,q1,-0.19326132697028084,expert_fulludp_disagreement_q4,q4,0.24,residual_cosine_q4,q1,-1.9697303771972656,A0-PSNR_q4,q4,276.0,residual_cosine_q4,q1
fulludp,0.375,58,-0.3677788162231445,residual_cosine_q4,q1,-0.31811569832466746,residual_cosine_q4,q1,-0.40767659367741765,expert_fulludp_disagreement_q4,q4,0.19333333333333333,residual_cosine_q4,q1,-3.2007598876953125,A0-PSNR_q4,q4,368.0,residual_cosine_q4,q1
fulludp,0.5,58,-0.5562961705525716,residual_cosine_q4,q1,-0.44675043466928843,residual_cosine_q4,q1,-0.6861611443596918,expert_fulludp_disagreement_q4,q4,0.18,residual_cosine_q4,q1,-4.4059295654296875,A0-PSNR_q4,q4,439.99999999999994,residual_cosine_q4,q1
fulludp,0.75,58,-1.004710896809896,residual_cosine_q4,q1,-0.7329740266542177,residual_cosine_q4,q1,-1.3822229746225718,expert_fulludp_disagreement_q4,q4,0.12666666666666668,residual_cosine_q4,q1,-6.58233642578125,A0-PSNR_q4,q4,496.0,residual_cosine_q4,q1
fulludp,1.0,58,-1.519810422261556,residual_cosine_q4,q1,-1.0527813370163377,residual_cosine_q4,q1,-2.184736818880648,expert_fulludp_disagreement_q4,q4,0.10666666666666667,residual_cosine_q4,q1,-8.424148559570312,A0-PSNR_q4,q4,528.0,residual_cosine_q4,q1
