group,bin,expert_selected_rate,unique_win_rate,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
A0-PSNR_q4,q1,0.92,0.92,150,4.358994394938151,4.002182698567708,4.579565048217773,3.814771337766905,3.864707121977935,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q2,0.9066666666666666,0.9066666666666666,150,3.3382988739013673,3.0932404988606774,3.5390818827861064,3.0152120538659997,2.932284380938556,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q3,0.88,0.88,150,2.815993448893229,2.5771760190327964,3.070957699337521,2.6199856680792735,2.810652758624103,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
A0-PSNR_q4,q4,0.92,0.92,150,2.276409657796224,2.108804369608561,2.5853590063146643,2.1743572492857237,1.9730252446355045,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q1,0.88,0.88,150,3.5088827641805014,3.162763031641642,4.7354351249901026,3.830508345526618,2.6049063399031356,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q2,0.9466666666666667,0.9466666666666667,150,3.0255987803141275,2.814874871571859,3.918208869727882,3.2833483644433925,2.3346510191221497,0.003475189208984375,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q3,0.8866666666666667,0.8866666666666667,150,2.9582902145385743,2.6367106088002523,4.030041101816538,3.3052366230938888,2.115634299613334,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_signed_q4,q4,0.9133333333333333,0.9133333333333333,150,3.2969246164957684,2.9848486970265706,4.662154120367926,4.06984518669747,2.055614471435547,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q1,0.8933333333333333,0.8933333333333333,150,2.6297965749104817,2.3860299294789633,3.672212755357897,2.9911282204292915,2.0711645177892737,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q2,0.9,0.9,150,3.0479811223347983,2.7854148114522297,4.086592132980759,3.3527025789827913,2.3459182945457666,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q3,0.9133333333333333,0.9133333333333333,150,3.3625488408406574,3.0775145435333253,4.579452463098474,3.783624169633195,2.7266796215160474,0.071197509765625,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
FullUDP-A0_diff_abs_q4,q4,0.92,0.92,150,3.7493698374430338,3.4336179930369055,4.970457437876108,4.173176783484381,2.6484413146972656,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q1,0.94,0.94,150,4.78132137298584,4.435293437321981,6.193857399193016,5.494034571261019,3.0070817277238175,0.003475189208984375,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q2,0.9333333333333333,0.9333333333333333,150,3.0955155181884764,2.8699612986246748,3.1333434646194047,2.5414103172920846,3.181115537076383,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q3,0.9,0.9,150,2.376657638549805,2.196338317235311,2.596965892894848,2.1515647243809055,2.345561156401763,0.010295867919921875,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
Expert-A0_diff_signed_q4,q4,0.8533333333333334,0.8533333333333334,150,2.5362018458048503,2.3256470305124917,2.8688621005496464,2.3743881380235825,2.0790137213629647,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q1,0.8733333333333333,0.8733333333333333,150,2.450969950358073,2.2702036018371583,2.4062714447846285,1.9275497384973475,2.0397041939400338,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q2,0.8866666666666667,0.8866666666666667,150,2.7019255956014,2.4435407104492186,3.0754462061701595,2.4480108415758286,2.1505794009646855,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q3,0.9,0.9,150,3.0844656880696615,2.8118739026387534,3.441050658354888,2.7912754265037742,2.2043134328481315,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
expert_disagreement_q4,q4,0.9666666666666667,0.9666666666666667,150,4.552335141499837,4.2316868807474775,5.79210157652159,5.117126286996378,3.1128059593406885,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
residual_cosine_q4,q1,0.92,0.92,150,3.578488362630208,3.2667273667653403,4.42799779531118,3.6839335080739612,2.605877025707348,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
