family,alpha,group_count,min_group_mean_dPSNR,min_group_mean_group,min_group_mean_bin,min_group_hard_bottom25_dPSNR,min_group_hard_group,min_group_hard_bin,min_group_easy_top25_dPSNR,min_group_easy_group,min_group_easy_bin,min_group_positive_ratio,min_group_positive_group,min_group_positive_bin,worst_group_worst_dPSNR,worst_group_worst_group,worst_group_worst_bin,max_group_severe_per_600,max_group_severe_group,max_group_severe_bin
expert,0.0,58,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1
expert,0.125,58,0.238777338663737,Expert-A0_diff_abs_q4,q1,0.28099183778505066,Expert-A0_diff_abs_q4,q1,0.02662772101324958,haze_density_q4,q1,0.7866666666666666,A0-PSNR_q4,q4,-1.2419624328613281,A0-PSNR_q4,q4,52.0,sky_highlight_proxy_q4,q1
expert,0.25,58,0.26013028462727866,A0-PSNR_q4,q4,0.4901739584433066,A0-PSNR_q4,q4,-0.23831424197635134,haze_density_q4,q1,0.5933333333333334,A0-PSNR_q4,q4,-2.7226028442382812,A0-PSNR_q4,q4,172.0,A0-PSNR_q4,q4
expert,0.375,58,0.007125651041666667,A0-PSNR_q4,q4,0.39477786502322637,A0-PSNR_q4,q4,-0.786805230218011,residual_cosine_q4,q1,0.52,A0-PSNR_q4,q4,-4.186733245849609,A0-PSNR_q4,q4,260.0,A0-PSNR_q4,q4
expert,0.5,58,-0.45567403157552083,A0-PSNR_q4,q4,0.08985385379275761,A0-PSNR_q4,q4,-1.5706931449271537,residual_cosine_q4,q1,0.36666666666666664,A0-PSNR_q4,q4,-5.541713714599609,A0-PSNR_q4,q4,352.0,A0-PSNR_q4,q4
expert,0.75,58,-1.764874267578125,A0-PSNR_q4,q4,-0.968967747043919,A0-PSNR_q4,q4,-3.3312437727644637,residual_cosine_q4,q1,0.22666666666666666,A0-PSNR_q4,q4,-7.875820159912109,A0-PSNR_q4,q4,448.0,A0-PSNR_q4,q4
expert,1.0,58,-3.2554720052083335,A0-PSNR_q4,q4,-2.319765348692198,A0-PSNR_q4,q4,-5.049406927985114,residual_cosine_q4,q1,0.07333333333333333,A0-PSNR_q4,q4,-9.786293029785156,A0-PSNR_q4,q4,532.0,A0-PSNR_q4,q4
fulludp,0.0,58,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1
fulludp,0.125,58,-0.026423568725585937,residual_cosine_q4,q1,-0.09953607095254434,residual_cosine_q4,q1,0.05041281382242838,haze_density_p90_q4,q4,0.36,residual_cosine_q4,q1,-0.8958015441894531,A0-PSNR_q4,q4,152.0,residual_cosine_q4,q1
fulludp,0.25,58,-0.10910541534423829,residual_cosine_q4,q1,-0.21503536121265307,residual_cosine_q4,q1,0.04338423411051432,haze_density_p90_q4,q4,0.31333333333333335,residual_cosine_q4,q1,-1.9697303771972656,A0-PSNR_q4,q4,264.0,residual_cosine_q4,q1
fulludp,0.375,58,-0.24772388458251954,residual_cosine_q4,q1,-0.3454218168516417,residual_cosine_q4,q1,-0.04054033434068834,haze_density_q4,q4,0.26666666666666666,residual_cosine_q4,q1,-3.2007598876953125,A0-PSNR_q4,q4,340.0,residual_cosine_q4,q1
fulludp,0.5,58,-0.4386305236816406,residual_cosine_q4,q1,-0.4894888594343856,residual_cosine_q4,q1,-0.1987660382245038,haze_density_q4,q4,0.24,residual_cosine_q4,q1,-4.4059295654296875,A0-PSNR_q4,q4,404.0,residual_cosine_q4,q1
fulludp,0.75,58,-0.9492047882080078,residual_cosine_q4,q1,-0.8133639258307379,residual_cosine_q4,q1,-0.7410082430452913,residual_cosine_q4,q1,0.16,residual_cosine_q4,q1,-6.58233642578125,A0-PSNR_q4,q4,468.0,residual_cosine_q4,q1
fulludp,1.0,58,-1.5744391759236653,residual_cosine_q4,q1,-1.1757732082057644,residual_cosine_q4,q1,-1.7892407597722233,residual_cosine_q4,q1,0.13333333333333333,residual_cosine_q4,q1,-8.424148559570312,A0-PSNR_q4,q4,508.0,residual_cosine_q4,q1
