image_id,hazy_file,gt_file,width,height,shard_index,shard_count,input_PSNR,input_SSIM,A0_PSNR,A0_SSIM,WDMamba_PSNR,WDMamba_SSIM,WDMamba_dPSNR,WDMamba_dSSIM,A0_time_sec,WDMamba_time_sec,image_time_sec,input_mean,input_std,input_grad_mean,dark_channel_mean,airlight_proxy_p99,sky_highlight_proxy,a0_mean,a0_std,wdmamba_mean,wdmamba_std,wdmamba_residual_signed_mean,wdmamba_residual_abs_mean,wdmamba_residual_abs_p90,wdmamba_residual_grad_mean,a0_wdmamba_psnr,alpha_a0_PSNR,alpha_a0_SSIM,alpha_a0_dPSNR,alpha_a0_dSSIM,alpha_a0p125_PSNR,alpha_a0p125_SSIM,alpha_a0p125_dPSNR,alpha_a0p125_dSSIM,alpha_a0p25_PSNR,alpha_a0p25_SSIM,alpha_a0p25_dPSNR,alpha_a0p25_dSSIM,alpha_a0p375_PSNR,alpha_a0p375_SSIM,alpha_a0p375_dPSNR,alpha_a0p375_dSSIM,alpha_a0p5_PSNR,alpha_a0p5_SSIM,alpha_a0p5_dPSNR,alpha_a0p5_dSSIM,alpha_a0p75_PSNR,alpha_a0p75_SSIM,alpha_a0p75_dPSNR,alpha_a0p75_dSSIM,alpha_a1_PSNR,alpha_a1_SSIM,alpha_a1_dPSNR,alpha_a1_dSSIM
03,03_hazy.png,03_GT.png,1600,1200,2,3,8.851949691772461,0.42019233107566833,26.317054748535156,0.924727201461792,22.839916229248047,0.8139828443527222,-3.4771385192871094,-0.11074435710906982,0.4330761432647705,0.41461777687072754,1.0237102508544922,0.635598361492157,0.15903115272521973,0.01294868253171444,0.565034031867981,0.8535947799682617,0.17967240512371063,0.3828848898410797,0.2487349659204483,0.3769676983356476,0.2508419454097748,-0.005917209200561047,0.038820721209049225,0.08421450853347778,0.009875984862446785,25.116527557373047,26.317054748535156,0.924727201461792,0.0,0.0,26.27741241455078,0.9227422475814819,-0.039642333984375,-0.0019849538803100586,26.06588363647461,0.9173761606216431,-0.2511711120605469,-0.007351040840148926,25.705890655517578,0.9084556102752686,-0.6111640930175781,-0.016271591186523438,25.2318115234375,0.8959211707115173,-1.0852432250976562,-0.028806030750274658,24.082035064697266,0.8605159521102905,-2.2350196838378906,-0.06421124935150146,22.839916229248047,0.8139828443527222,-3.4771385192871094,-0.11074435710906982
06,06_hazy.png,06_GT.png,1600,1200,2,3,12.889902114868164,0.45831626653671265,28.47101593017578,0.9638711810112,26.798587799072266,0.945557713508606,-1.6724281311035156,-0.018313467502593994,0.22611045837402344,0.18549180030822754,0.5361580848693848,0.43143659830093384,0.09703236818313599,0.007988860830664635,0.3993077874183655,0.5607843399047852,0.0,0.42941024899482727,0.24549923837184906,0.4119034707546234,0.24193011224269867,-0.017506800591945648,0.027249256148934364,0.05546955764293671,0.007054940331727266,29.036436080932617,28.47101593017578,0.9638711810112,0.0,0.0,28.636127471923828,0.9646080732345581,0.16511154174804688,0.0007368922233581543,28.680879592895508,0.9645112752914429,0.20986366271972656,0.0006400942802429199,28.601547241210938,0.963557243347168,0.13053131103515625,-0.0003139376640319824,28.40467643737793,0.9617290496826172,-0.06633949279785156,-0.0021421313285827637,27.723949432373047,0.9554128050804138,-0.7470664978027344,-0.008458375930786133,26.798587799072266,0.945557713508606,-1.6724281311035156,-0.018313467502593994
09,09_hazy.png,09_GT.png,1600,1200,2,3,11.958256721496582,0.46443045139312744,26.889957427978516,0.948788583278656,23.754405975341797,0.9123346209526062,-3.1355514526367188,-0.036453962326049805,0.2277989387512207,0.185685396194458,0.5964725017547607,0.506106436252594,0.10987652093172073,0.004993889946490526,0.48134198784828186,0.66143798828125,0.0,0.4867854118347168,0.31240764260292053,0.4736853837966919,0.30413034558296204,-0.013100002892315388,0.030153518542647362,0.06048955023288727,0.007984914816915989,26.128997802734375,26.889957427978516,0.948788583278656,0.0,0.0,26.881305694580078,0.94708651304245,-0.0086517333984375,-0.0017020702362060547,26.714523315429688,0.944063127040863,-0.17543411254882812,-0.004725456237792969,26.406763076782227,0.9405378103256226,-0.48319435119628906,-0.008250772953033447,25.986024856567383,0.9364795088768005,-0.9039325714111328,-0.012309074401855469,24.929628372192383,0.9261494874954224,-1.9603290557861328,-0.022639095783233643,23.754405975341797,0.9123346209526062,-3.1355514526367188,-0.036453962326049805
12,12_hazy.png,12_GT.png,1600,1200,2,3,11.180572509765625,0.4402481019496918,28.14832305908203,0.9559829235076904,26.32961654663086,0.9140634536743164,-1.8187065124511719,-0.04191946983337402,0.22706937789916992,0.18528318405151367,0.5399906635284424,0.5203648209571838,0.1570974737405777,0.010243367403745651,0.4514743685722351,0.7424837350845337,0.0013203124981373549,0.32642221450805664,0.20913168787956238,0.33575546741485596,0.21843533217906952,0.009333248250186443,0.027599485591053963,0.056872397661209106,0.007174964062869549,28.70937156677246,28.14832305908203,0.9559829235076904,0.0,0.0,28.285568237304688,0.9562718272209167,0.13724517822265625,0.00028890371322631836,28.301937103271484,0.9549552798271179,0.15361404418945312,-0.0010276436805725098,28.196077346801758,0.9520128965377808,0.04775428771972656,-0.003970026969909668,27.97654914855957,0.9474496841430664,-0.17177391052246094,-0.008533239364624023,27.265918731689453,0.9336220026016235,-0.8824043273925781,-0.022360920906066895,26.32961654663086,0.9140634536743164,-1.8187065124511719,-0.04191946983337402
15,15_hazy.png,15_GT.png,1600,1200,2,3,11.64488410949707,0.561581015586853,30.301237106323242,0.9625474214553833,26.819011688232422,0.9067813158035278,-3.4822254180908203,-0.05576610565185547,0.22812891006469727,0.18555760383605957,0.5809187889099121,0.502616286277771,0.155038982629776,0.012062500230967999,0.4556522071361542,0.7986928224563599,0.02866354212164879,0.3253314197063446,0.2128315567970276,0.3171282708644867,0.21386592090129852,-0.008203149773180485,0.02652987278997898,0.05938577651977539,0.006566237658262253,28.459712982177734,30.301237106323242,0.9625474214553833,0.0,0.0,30.359994888305664,0.962202250957489,0.058757781982421875,-0.0003451704978942871,30.211509704589844,0.9600862860679626,-0.08972740173339844,-0.0024611353874206543,29.875707626342773,0.9560774564743042,-0.42552947998046875,-0.0064699649810791016,29.392440795898438,0.9500927925109863,-0.9087963104248047,-0.012454628944396973,28.164295196533203,0.9321379661560059,-2.136941909790039,-0.03040945529937744,26.819011688232422,0.9067813158035278,-3.4822254180908203,-0.05576610565185547
18,18_hazy.png,18_GT.png,1600,1200,2,3,13.500459671020508,0.5469485521316528,27.854412078857422,0.9471327662467957,24.899599075317383,0.8928893804550171,-2.954813003540039,-0.054243385791778564,0.2271881103515625,0.18521618843078613,0.549248218536377,0.5176612138748169,0.1343599110841751,0.01058631669729948,0.474322646856308,0.7934640645980835,0.0180526040494442,0.4064426124095917,0.22500137984752655,0.40980038046836853,0.2263670116662979,0.0033577175345271826,0.029959673061966896,0.066301628947258,0.010094936937093735,27.313051223754883,27.854412078857422,0.9471327662467957,0.0,0.0,27.863407135009766,0.946494460105896,0.00899505615234375,-0.0006383061408996582,27.720727920532227,0.9440661668777466,-0.1336841583251953,-0.0030665993690490723,27.440526962280273,0.9398102164268494,-0.41388511657714844,-0.007322549819946289,27.0477294921875,0.9337343573570251,-0.8066825866699219,-0.013398408889770508,26.040075302124023,0.9163760542869568,-1.8143367767333984,-0.030756711959838867,24.899599075317383,0.8928893804550171,-2.954813003540039,-0.054243385791778564
21,21_hazy.png,21_GT.png,1600,1200,2,3,9.9738130569458,0.5111531019210815,27.054119110107422,0.9432514905929565,24.32959747314453,0.8669571876525879,-2.7245216369628906,-0.07629430294036865,0.22766828536987305,0.1849360466003418,0.5196285247802734,0.5305836200714111,0.16216732561588287,0.014926305040717125,0.4924721419811249,0.8078431487083435,0.03666875138878822,0.3466344177722931,0.22814032435417175,0.3448084592819214,0.23269455134868622,-0.0018259541830047965,0.030144883319735527,0.06943583488464355,0.010814826935529709,26.89772605895996,27.054119110107422,0.9432514905929565,0.0,0.0,27.072864532470703,0.9424273371696472,0.01874542236328125,-0.0008241534233093262,26.952041625976562,0.9390945434570312,-0.10207748413085938,-0.004156947135925293,26.702754974365234,0.9331486225128174,-0.3513641357421875,-0.01010286808013916,26.345806121826172,0.924569308757782,-0.70831298828125,-0.01868218183517456,25.410301208496094,0.8999252319335938,-1.6438179016113281,-0.04332625865936279,24.32959747314453,0.8669571876525879,-2.7245216369628906,-0.07629430294036865
24,24_hazy.png,24_GT.png,1600,1200,2,3,10.198811531066895,0.5017114877700806,27.56974220275879,0.9684397578239441,22.839149475097656,0.8981987833976746,-4.730592727661133,-0.07024097442626953,0.22704386711120605,0.18570733070373535,0.5575990676879883,0.5485766530036926,0.22541405260562897,0.013198254629969597,0.5247020721435547,0.9084967374801636,0.20833593606948853,0.3175310790538788,0.21447604894638062,0.33784493803977966,0.2253836989402771,0.020313873887062073,0.03626053035259247,0.08524489402770996,0.009071998298168182,24.339534759521484,27.56974220275879,0.9684397578239441,0.0,0.0,27.499107360839844,0.9675835371017456,-0.07063484191894531,-0.0008562207221984863,27.16158103942871,0.9639978408813477,-0.4081611633300781,-0.0044419169425964355,26.61306381225586,0.957908570766449,-0.9566783905029297,-0.010531187057495117,25.92601776123047,0.9495447874069214,-1.6437244415283203,-0.018894970417022705,24.379566192626953,0.9269117116928101,-3.190176010131836,-0.04152804613113403,22.839149475097656,0.8981987833976746,-4.730592727661133,-0.07024097442626953
27,27_hazy.png,27_GT.png,1600,1200,2,3,13.201858520507812,0.38633835315704346,24.77861213684082,0.9334933161735535,24.228199005126953,0.8921086192131042,-0.5504131317138672,-0.04138469696044922,0.22712016105651855,0.18581581115722656,0.5240123271942139,0.46096372604370117,0.09021548926830292,0.009671472944319248,0.4213907718658447,0.6183006763458252,0.00016041667549870908,0.3993060290813446,0.19162490963935852,0.39259305596351624,0.19311833381652832,-0.006712947506457567,0.030638067051768303,0.06306838989257812,0.009732336737215519,28.13462257385254,24.77861213684082,0.9334933161735535,0.0,0.0,24.927101135253906,0.9342634081840515,0.14848899841308594,0.0007700920104980469,25.014179229736328,0.9333542585372925,0.2355670928955078,-0.00013905763626098633,25.03603172302246,0.9307123422622681,0.2574195861816406,-0.0027809739112854004,24.991674423217773,0.9263181686401367,0.21306228637695312,-0.007175147533416748,24.7149658203125,0.9123793840408325,-0.06364631652832031,-0.021113932132720947,24.228199005126953,0.8921086192131042,-0.5504131317138672,-0.04138469696044922
30,30_hazy.png,30_GT.png,1600,1200,2,3,10.089107513427734,0.4054827094078064,25.739727020263672,0.931695818901062,24.022666931152344,0.8241562843322754,-1.7170600891113281,-0.10753953456878662,0.22858476638793945,0.18520879745483398,0.5573849678039551,0.5689346194267273,0.0954507365822792,0.0075947074219584465,0.5301287174224854,0.7281045913696289,3.1250001484295353e-06,0.4892813563346863,0.26173272728919983,0.46590951085090637,0.27152684330940247,-0.023371782153844833,0.03465086221694946,0.08302375674247742,0.009300082921981812,25.926549911499023,25.739727020263672,0.931695818901062,0.0,0.0,25.93584442138672,0.9317268133163452,0.19611740112304688,3.0994415283203125e-05,26.000938415527344,0.9284808039665222,0.2612113952636719,-0.003215014934539795,25.929054260253906,0.9214675426483154,0.18932723999023438,-0.010228276252746582,25.726755142211914,0.9102915525436401,-0.012971878051757812,-0.021404266357421875,25.00587272644043,0.8748760223388672,-0.7338542938232422,-0.056819796562194824,24.022666931152344,0.8241562843322754,-1.7170600891113281,-0.10753953456878662
