image_id,fold_id,fold_role
1000,0,train
1000,1,val
1000,2,train
1000,3,train
1000,4,train
1001,0,val
1001,1,train
1001,2,train
1001,3,train
1001,4,train
1002,0,train
1002,1,train
1002,2,val
1002,3,train
1002,4,train
1003,0,train
1003,1,train
1003,2,val
1003,3,train
1003,4,train
1004,0,train
1004,1,train
1004,2,train
1004,3,train
1004,4,val
1005,0,train
1005,1,train
1005,2,train
1005,3,val
1005,4,train
1006,0,train
1006,1,train
1006,2,val
1006,3,train
1006,4,train
1007,0,train
1007,1,train
1007,2,train
1007,3,train
1007,4,val
1008,0,val
1008,1,train
1008,2,train
1008,3,train
1008,4,train
1009,0,train
1009,1,val
1009,2,train
1009,3,train
1009,4,train
100,0,train
100,1,train
100,2,train
100,3,val
100,4,train
1010,0,val
1010,1,train
1010,2,train
1010,3,train
1010,4,train
1011,0,train
1011,1,train
1011,2,train
1011,3,val
1011,4,train
1012,0,train
1012,1,train
1012,2,val
1012,3,train
1012,4,train
1013,0,train
1013,1,train
1013,2,train
1013,3,train
1013,4,val
1014,0,val
1014,1,train
1014,2,train
1014,3,train
1014,4,train
1015,0,train
1015,1,val
1015,2,train
1015,3,train
1015,4,train
1016,0,train
1016,1,val
1016,2,train
1016,3,train
1016,4,train
1017,0,train
1017,1,val
1017,2,train
1017,3,train
1017,4,train
1018,0,val
1018,1,train
1018,2,train
1018,3,train
1018,4,train
1019,0,val
1019,1,train
1019,2,train
1019,3,train
1019,4,train
101,0,train
101,1,train
101,2,val
101,3,train
101,4,train
1020,0,val
1020,1,train
1020,2,train
1020,3,train
1020,4,train
1021,0,train
1021,1,train
1021,2,train
1021,3,train
1021,4,val
1022,0,train
1022,1,val
1022,2,train
1022,3,train
1022,4,train
1023,0,train
1023,1,train
1023,2,train
1023,3,val
1023,4,train
1024,0,val
1024,1,train
1024,2,train
1024,3,train
1024,4,train
1025,0,train
1025,1,train
1025,2,val
1025,3,train
1025,4,train
1026,0,train
1026,1,val
1026,2,train
1026,3,train
1026,4,train
1027,0,train
1027,1,train
1027,2,train
1027,3,train
1027,4,val
1028,0,train
1028,1,train
1028,2,train
1028,3,val
1028,4,train
1029,0,val
1029,1,train
1029,2,train
1029,3,train
1029,4,train
102,0,train
102,1,train
102,2,val
102,3,train
102,4,train
1030,0,train
1030,1,train
1030,2,train
1030,3,val
1030,4,train
1031,0,train
1031,1,val
1031,2,train
1031,3,train
1031,4,train
1032,0,train
1032,1,train
1032,2,train
1032,3,train
1032,4,val
1033,0,train
1033,1,train
1033,2,train
1033,3,train
1033,4,val
1034,0,train
1034,1,train
1034,2,train
1034,3,val
1034,4,train
1035,0,train
1035,1,train
1035,2,train
1035,3,train
1035,4,val
1036,0,train
1036,1,train
1036,2,train
1036,3,train
1036,4,val
1037,0,val
1037,1,train
1037,2,train
1037,3,train
1037,4,train
1038,0,val
1038,1,train
1038,2,train
1038,3,train
1038,4,train
1039,0,train
1039,1,train
1039,2,train
1039,3,val
1039,4,train
103,0,train
103,1,train
103,2,val
103,3,train
103,4,train
1040,0,train
1040,1,train
1040,2,val
1040,3,train
1040,4,train
1041,0,val
1041,1,train
1041,2,train
1041,3,train
1041,4,train
1042,0,train
1042,1,val
1042,2,train
1042,3,train
1042,4,train
1043,0,train
1043,1,train
1043,2,train
1043,3,val
1043,4,train
1044,0,train
1044,1,train
1044,2,train
1044,3,train
1044,4,val
1045,0,train
1045,1,train
1045,2,train
1045,3,train
1045,4,val
1046,0,val
1046,1,train
1046,2,train
1046,3,train
1046,4,train
1047,0,val
1047,1,train
1047,2,train
1047,3,train
1047,4,train
1048,0,train
1048,1,val
1048,2,train
1048,3,train
1048,4,train
1049,0,val
1049,1,train
1049,2,train
1049,3,train
1049,4,train
104,0,val
104,1,train
104,2,train
104,3,train
104,4,train
1050,0,train
1050,1,val
1050,2,train
1050,3,train
1050,4,train
1051,0,train
1051,1,train
1051,2,train
1051,3,val
1051,4,train
1052,0,train
1052,1,train
1052,2,val
1052,3,train
1052,4,train
1053,0,train
1053,1,train
1053,2,train
1053,3,val
1053,4,train
1054,0,val
1054,1,train
1054,2,train
1054,3,train
1054,4,train
1055,0,train
1055,1,train
1055,2,train
1055,3,train
1055,4,val
1056,0,train
1056,1,train
1056,2,train
1056,3,val
1056,4,train
1057,0,val
1057,1,train
1057,2,train
1057,3,train
1057,4,train
1058,0,val
1058,1,train
1058,2,train
1058,3,train
1058,4,train
1059,0,val
1059,1,train
1059,2,train
1059,3,train
1059,4,train
105,0,val
105,1,train
105,2,train
105,3,train
105,4,train
1060,0,train
1060,1,train
1060,2,val
1060,3,train
1060,4,train
1061,0,train
1061,1,train
1061,2,val
1061,3,train
1061,4,train
1062,0,train
1062,1,train
1062,2,train
1062,3,val
1062,4,train
1063,0,train
1063,1,train
1063,2,train
1063,3,train
1063,4,val
1064,0,train
1064,1,train
1064,2,train
1064,3,train
1064,4,val
1065,0,train
1065,1,val
1065,2,train
1065,3,train
1065,4,train
1066,0,train
1066,1,train
1066,2,val
1066,3,train
1066,4,train
1067,0,train
1067,1,train
1067,2,val
1067,3,train
1067,4,train
1068,0,train
1068,1,train
1068,2,train
1068,3,val
1068,4,train
1069,0,train
1069,1,train
1069,2,val
1069,3,train
1069,4,train
106,0,train
106,1,train
106,2,train
106,3,train
106,4,val
1070,0,train
1070,1,val
1070,2,train
1070,3,train
1070,4,train
1071,0,val
1071,1,train
1071,2,train
1071,3,train
1071,4,train
1072,0,train
1072,1,train
1072,2,train
1072,3,val
1072,4,train
1073,0,train
1073,1,val
1073,2,train
1073,3,train
1073,4,train
1074,0,val
1074,1,train
1074,2,train
1074,3,train
1074,4,train
1075,0,train
1075,1,train
1075,2,train
1075,3,val
1075,4,train
1076,0,train
1076,1,train
1076,2,train
1076,3,train
1076,4,val
1077,0,train
1077,1,train
1077,2,val
1077,3,train
1077,4,train
1078,0,val
1078,1,train
1078,2,train
1078,3,train
1078,4,train
1079,0,train
1079,1,train
1079,2,train
1079,3,val
1079,4,train
107,0,train
107,1,train
107,2,train
107,3,val
107,4,train
1080,0,train
1080,1,train
1080,2,train
1080,3,val
1080,4,train
1081,0,train
1081,1,train
1081,2,val
1081,3,train
1081,4,train
1082,0,train
1082,1,train
1082,2,train
1082,3,val
1082,4,train
1083,0,train
1083,1,val
1083,2,train
1083,3,train
1083,4,train
1084,0,train
1084,1,train
1084,2,train
1084,3,val
1084,4,train
1085,0,train
1085,1,val
1085,2,train
1085,3,train
1085,4,train
1086,0,train
1086,1,train
1086,2,train
1086,3,val
1086,4,train
1087,0,train
1087,1,train
1087,2,train
1087,3,train
1087,4,val
1088,0,val
1088,1,train
1088,2,train
1088,3,train
1088,4,train
1089,0,train
1089,1,train
1089,2,train
1089,3,val
1089,4,train
108,0,val
108,1,train
108,2,train
108,3,train
108,4,train
1090,0,train
1090,1,train
1090,2,val
1090,3,train
1090,4,train
1091,0,train
1091,1,val
1091,2,train
1091,3,train
1091,4,train
1092,0,train
1092,1,train
1092,2,train
1092,3,train
1092,4,val
1093,0,train
1093,1,train
1093,2,train
1093,3,train
1093,4,val
1094,0,train
1094,1,train
1094,2,train
1094,3,train
1094,4,val
1095,0,train
1095,1,train
1095,2,train
1095,3,val
1095,4,train
1096,0,train
1096,1,train
1096,2,train
1096,3,val
1096,4,train
1097,0,val
1097,1,train
1097,2,train
1097,3,train
1097,4,train
1098,0,train
1098,1,train
1098,2,train
1098,3,train
1098,4,val
1099,0,train
1099,1,train
1099,2,val
1099,3,train
1099,4,train
109,0,train
109,1,train
109,2,train
109,3,val
109,4,train
10,0,train
10,1,train
10,2,val
10,3,train
10,4,train
1100,0,train
1100,1,train
1100,2,val
1100,3,train
1100,4,train
1101,0,train
1101,1,train
1101,2,train
1101,3,train
1101,4,val
1102,0,val
1102,1,train
1102,2,train
1102,3,train
1102,4,train
1103,0,val
1103,1,train
1103,2,train
1103,3,train
1103,4,train
1104,0,val
1104,1,train
1104,2,train
1104,3,train
1104,4,train
1105,0,train
1105,1,train
1105,2,train
1105,3,train
1105,4,val
1106,0,train
1106,1,train
1106,2,train
1106,3,val
1106,4,train
1107,0,val
1107,1,train
1107,2,train
1107,3,train
1107,4,train
1108,0,train
1108,1,train
1108,2,train
1108,3,train
1108,4,val
1109,0,train
1109,1,train
1109,2,train
1109,3,val
1109,4,train
110,0,train
110,1,val
110,2,train
110,3,train
110,4,train
1110,0,train
1110,1,train
1110,2,train
1110,3,train
1110,4,val
1111,0,train
1111,1,val
1111,2,train
1111,3,train
1111,4,train
1112,0,train
1112,1,train
1112,2,val
