bin_index,target_lo,target_hi,count,target_mean,pred_mean,variant
0,0.0,0.2,488540,0.10343905538320541,0.21652033925056458,d6a_quantile
1,0.2,0.33,329794,0.26498743891716003,0.24909250438213348,d6a_quantile
2,0.33,0.66,808789,0.49360188841819763,0.26879820227622986,d6a_quantile
3,0.66,0.8,330583,0.7297492623329163,0.2794649600982666,d6a_quantile
4,0.8,1.000001,499894,0.9029604196548462,0.2779233455657959,d6a_quantile
0,0.0,0.10551466196775437,488997,0.059114743024110794,0.14733025431632996,d6b_log
1,0.10551466196775437,0.16568347811698914,323110,0.1352023333311081,0.170033261179924,d6b_log
2,0.16568347811698914,0.3657055103778839,805836,0.2572418451309204,0.1850869059562683,d6b_log
3,0.3657055103778839,0.49741039872169496,334699,0.42718055844306946,0.19458679854869843,d6b_log
4,0.49741039872169496,1.000001,504958,0.6844385266304016,0.1985834389925003,d6b_log
0,0.0,0.2,488540,0.10343905538320541,0.2791079580783844,d6c_ordinal_quantile
1,0.2,0.33,329794,0.26498743891716003,0.3210502862930298,d6c_ordinal_quantile
2,0.33,0.66,808789,0.49360188841819763,0.34660330414772034,d6c_ordinal_quantile
3,0.66,0.8,330583,0.7297492623329163,0.36291491985321045,d6c_ordinal_quantile
4,0.8,1.000001,499894,0.9029604196548462,0.3691771924495697,d6c_ordinal_quantile
0,0.0,0.2,488540,0.10343905538320541,0.2816864550113678,d6s_shuffled_quantile
1,0.2,0.33,329794,0.26498743891716003,0.2764971852302551,d6s_shuffled_quantile
2,0.33,0.66,808789,0.49360188841819763,0.2727418839931488,d6s_shuffled_quantile
3,0.66,0.8,330583,0.7297492623329163,0.26938891410827637,d6s_shuffled_quantile
4,0.8,1.000001,499894,0.9029604196548462,0.26758429408073425,d6s_shuffled_quantile
