variant,calibration_method,target_mode,train_pred_mean,train_target_mean,train_pred_max,train_target_max,calibrator
d6a_quantile,identity,quantile,0.2580467760562897,0.4963212013244629,0.4499906897544861,1.0,"{""method"": ""identity""}"
d6a_quantile,affine_p01_p99,quantile,0.2580467760562897,0.4963212013244629,0.4499906897544861,1.0,"{""method"": ""affine_p01_p99"", ""pred_lo"": 0.06319469809532166, ""pred_hi"": 0.41250005781650534, ""target_lo"": 0.015500003471970558, ""target_hi"": 0.9902855163812637}"
d6a_quantile,affine_p10_p90,quantile,0.2580467760562897,0.4963212013244629,0.4499906897544861,1.0,"{""method"": ""affine_p10_p90"", ""pred_lo"": 0.14713270366191863, ""pred_hi"": 0.35471615493297576, ""target_lo"": 0.10253749042749405, ""target_hi"": 0.8983471989631653}"
d6a_quantile,mean_std,quantile,0.2580467760562897,0.4963212013244629,0.4499906897544861,1.0,"{""method"": ""mean_std"", ""pred_mean"": 0.25804679189518764, ""pred_std"": 0.07905473775930869, ""target_mean"": 0.4963213806656343, ""target_std"": 0.2873010671843823}"
d6a_quantile,logit_mean_std,quantile,0.2580467760562897,0.4963212013244629,0.4499906897544861,1.0,"{""method"": ""logit_mean_std"", ""pred_mean"": -1.1120075662676194, ""pred_std"": 0.4842772294462168, ""target_mean"": -0.0004652671662064309, ""target_std"": 1.7951994856123235}"
d6a_quantile,quantile_map_1001,quantile,0.2580467760562897,0.4963212013244629,0.4499906897544861,1.0,"{""method"": ""quantile_map_1001"", ""pred_q"": [0.010164034552872181, 0.0390677588544786, 0.043968547254800795, 0.04762418634071946, 0.050576240360736845, 0.05315049299970269, 0.05537975050508976, 0.05752686332911253, 0.059552125394344325, 0.06143556977063418, 0.06319469809532166, 0.06487659076601267, 0.06652401253581047, 0.0681506870239973, 0.06972740377485752, 0.07127044048160314, 0.07277804148197174, 0.07426915254443885, 0.07570366023480893, 0.07711575379967689, 0.07854309529066086, 0.07992617629468442, 0.08127422134578229, 0.0825975717306137, 0.08390383356809616, 0.08518056385219097, 0.0864362920820713, 0.08766742050647736, 0.08887627848982811, 0.09010464909672737, 0.09130880668759346, 0.0925015282034874, 0.09365367907285689, 0.09482094527035952, 0.09594608913362027, 0.09706318695098162, 0.09814434024691582, 0.09921140318363904, 0.10023626905679703, 0.10127400370687246, 0.10228962659835816, 0.10327622886747122, 0.10425355285406113, 0.10522714989632369, 0.10617653697729111, 0.10713097728"
d6b_log,identity,log,0.17884603142738342,0.30813202261924744,0.4150802493095398,1.0,"{""method"": ""identity""}"
d6b_log,affine_p01_p99,log,0.17884603142738342,0.30813202261924744,0.4150802493095398,1.0,"{""method"": ""affine_p01_p99"", ""pred_lo"": 0.044538482800126074, ""pred_hi"": 0.31175506234169004, ""target_lo"": 0.008568733539432287, ""target_hi"": 0.9906834959983826}"
d6b_log,affine_p10_p90,log,0.17884603142738342,0.30813202261924744,0.4150802493095398,1.0,"{""method"": ""affine_p10_p90"", ""pred_lo"": 0.1000464104115963, ""pred_hi"": 0.25281623303890227, ""target_lo"": 0.06049901843070984, ""target_hi"": 0.6418172895908355}"
d6b_log,mean_std,log,0.17884603142738342,0.30813202261924744,0.4150802493095398,1.0,"{""method"": ""mean_std"", ""pred_mean"": 0.1788459554006341, ""pred_std"": 0.05810489451817376, ""target_mean"": 0.3081318771366323, ""target_std"": 0.2277472205633419}"
d6b_log,logit_mean_std,log,0.17884603142738342,0.30813202261924744,0.4150802493095398,1.0,"{""method"": ""logit_mean_std"", ""pred_mean"": -1.5875987932083893, ""pred_std"": 0.4606413017113157, ""target_mean"": -1.0138779775615718, ""target_std"": 1.8597501902837381}"
d6b_log,quantile_map_1001,log,0.17884603142738342,0.30813202261924744,0.4150802493095398,1.0,"{""method"": ""quantile_map_1001"", ""pred_q"": [0.01303495280444622, 0.02834014010988176, 0.03179940182715654, 0.034243674386292694, 0.036281962215900423, 0.038022531848400834, 0.03958350501954556, 0.04095474167913198, 0.042205209910869596, 0.043398128148168326, 0.044538482800126074, 0.04562327866628766, 0.046654840886592865, 0.047657039016485214, 0.048623762860894204, 0.049584720768034454, 0.05050401473045349, 0.05140033754333854, 0.052288356833159924, 0.05315497582033277, 0.05398003846406937, 0.05480832419544459, 0.055623239129781725, 0.056418535787612197, 0.057224502861499785, 0.05800367007032037, 0.058776759676635267, 0.05953073501586914, 0.060277387097477916, 0.0610113564170897, 0.061729927211999894, 0.062443118542432785, 0.0631641234755516, 0.06387010963261128, 0.064571201518178, 0.0652712919563055, 0.06596088206768036, 0.06665161837637425, 0.0673267669826746, 0.06799961299449206, 0.06867484390735626, 0.06934115137904882, 0.07000923204421997, 0.07065730147808791, 0.07131488290429115, "
d6c_ordinal_quantile,identity,quantile,0.33508339524269104,0.4963212013244629,0.5823038220405579,1.0,"{""method"": ""identity""}"
d6c_ordinal_quantile,affine_p01_p99,quantile,0.33508339524269104,0.4963212013244629,0.5823038220405579,1.0,"{""method"": ""affine_p01_p99"", ""pred_lo"": 0.09794206656515599, ""pred_hi"": 0.4974339908361435, ""target_lo"": 0.015500003471970558, ""target_hi"": 0.9902855163812637}"
d6c_ordinal_quantile,affine_p10_p90,quantile,0.33508339524269104,0.4963212013244629,0.5823038220405579,1.0,"{""method"": ""affine_p10_p90"", ""pred_lo"": 0.21628589630126954, ""pred_hi"": 0.4356165826320648, ""target_lo"": 0.10253749042749405, ""target_hi"": 0.8983471989631653}"
d6c_ordinal_quantile,mean_std,quantile,0.33508339524269104,0.4963212013244629,0.5823038220405579,1.0,"{""method"": ""mean_std"", ""pred_mean"": 0.3350835257656494, ""pred_std"": 0.08598458704607843, ""target_mean"": 0.4963213806656343, ""target_std"": 0.2873010671843823}"
d6c_ordinal_quantile,logit_mean_std,quantile,0.33508339524269104,0.4963212013244629,0.5823038220405579,1.0,"{""method"": ""logit_mean_std"", ""pred_mean"": -0.7202700346996687, ""pred_std"": 0.44165426851027967, ""target_mean"": -0.0004652671662064309, ""target_std"": 1.7951994856123235}"
d6c_ordinal_quantile,quantile_map_1001,quantile,0.33508339524269104,0.4963212013244629,0.5823038220405579,1.0,"{""method"": ""quantile_map_1001"", ""pred_q"": [0.04362986236810684, 0.060756660811603067, 0.06904979555308818, 0.07669110519438982, 0.08111429253220558, 0.08453370619565248, 0.08752789033949375, 0.09030021674931049, 0.09293311458826065, 0.09548421610891819, 0.09794206656515599, 0.10035599943995475, 0.10264839759469033, 0.10491226468235254, 0.1071538292169571, 0.10929527066648007, 0.1113850622177124, 0.11346679742634297, 0.11551802948117257, 0.11747346506267786, 0.11939471796154975, 0.12126461362093688, 0.12311252373456955, 0.12497196307033301, 0.1267580589056015, 0.12852285690605642, 0.1302486801147461, 0.13192340530455113, 0.13358285814523696, 0.13519806092977524, 0.13679189532995223, 0.1383704748749733, 0.13995792984962463, 0.1415260111540556, 0.14306592491269113, 0.14456278532743455, 0.14610614299774172, 0.14760253143310548, 0.14907603123784066, 0.15055201002955437, 0.15202928185462952, 0.15346723566949366, 0.15488360917568206, 0.15629372468590735, 0.1576860184073448, 0.1590711611509322"
d6s_shuffled_quantile,identity,quantile,0.27410030364990234,0.4963212013244629,0.357907772064209,1.0,"{""method"": ""identity""}"
d6s_shuffled_quantile,affine_p01_p99,quantile,0.27410030364990234,0.4963212013244629,0.357907772064209,1.0,"{""method"": ""affine_p01_p99"", ""pred_lo"": 0.23138768941164017, ""pred_hi"": 0.3168444341421127, ""target_lo"": 0.015500003471970558, ""target_hi"": 0.9902855163812637}"
d6s_shuffled_quantile,affine_p10_p90,quantile,0.27410030364990234,0.4963212013244629,0.357907772064209,1.0,"{""method"": ""affine_p10_p90"", ""pred_lo"": 0.24741891026496887, ""pred_hi"": 0.2995351254940033, ""target_lo"": 0.10253749042749405, ""target_hi"": 0.8983471989631653}"
d6s_shuffled_quantile,mean_std,quantile,0.27410030364990234,0.4963212013244629,0.357907772064209,1.0,"{""method"": ""mean_std"", ""pred_mean"": 0.27410024217488776, ""pred_std"": 0.019749938420115982, ""target_mean"": 0.4963213806656343, ""target_std"": 0.2873010671843823}"
d6s_shuffled_quantile,logit_mean_std,quantile,0.27410030364990234,0.4963212013244629,0.357907772064209,1.0,"{""method"": ""logit_mean_std"", ""pred_mean"": -0.9761671205148633, ""pred_std"": 0.0997455637224757, ""target_mean"": -0.0004652671662064309, ""target_std"": 1.7951994856123235}"
d6s_shuffled_quantile,quantile_map_1001,quantile,0.27410030364990234,0.4963212013244629,0.357907772064209,1.0,"{""method"": ""quantile_map_1001"", ""pred_q"": [0.16224603354930878, 0.22107718847692012, 0.22450259825587274, 0.22623831282556056, 0.2274395250082016, 0.22837486825883388, 0.22913604658842088, 0.22979344119131564, 0.23037347769737243, 0.23089988124370575, 0.23138768941164017, 0.23185165393352508, 0.23227607572078704, 0.23268349747359754, 0.23307000973820685, 0.2334322475641966, 0.23378480052947997, 0.23411699159443378, 0.2344402156174183, 0.23474813856184482, 0.23504929065704347, 0.23533765971660614, 0.23561532133817673, 0.23588642477989197, 0.23614800429344177, 0.23640164732933044, 0.236645799100399, 0.23689070005714893, 0.2371281534433365, 0.23735712891817093, 0.23758020997047424, 0.23779584395885467, 0.2380092258453369, 0.23822055262327194, 0.23842307925224304, 0.23862352915108204, 0.23882436484098435, 0.23902039229869843, 0.23920967650413513, 0.23939748944342137, 0.23958304524421692, 0.23976604755222797, 0.23994484543800354, 0.24011955133080481, 0.24028932720422744, 0.2404600828886032,"
