variant,name,need_pearson,need_mae,need_target_mean,need_pred_mean,need_target_max,need_pred_max,hard_negative_pixels,false_strong_pixels,low_context_false_strong_rate
d7a_hn_ordinal,1012_0.85_1.28.png,-0.2153031483309356,0.2565852403640747,0.5695059299468994,0.37213316559791565,0.9817138910293579,0.48198026418685913,0,0,nan
d7a_hn_ordinal,1016_0.8_1.72.png,0.1319035631510697,0.18965737521648407,0.5156025886535645,0.413980096578598,0.9905511140823364,0.5209159255027771,127,0,0.0
d7a_hn_ordinal,1023_0.5_1.87.png,0.18963110440566078,0.25086507201194763,0.5677728056907654,0.38639670610427856,0.9814285039901733,0.48431748151779175,283,0,0.0
d7a_hn_ordinal,103_0.75_1.59.png,-0.31496426561204416,0.4415760636329651,0.8088023662567139,0.38812726736068726,0.9980001449584961,0.5204789042472839,0,0,nan
d7a_hn_ordinal,1075_0.76_1.99.png,-0.14681386558600037,0.42891210317611694,0.8100170493125916,0.3975188732147217,0.9990004897117615,0.4866984486579895,15,0,0.0
d7a_hn_ordinal,1122_0.94_0.53.png,0.1717994291630794,0.22363615036010742,0.4339447617530823,0.3230865001678467,0.9485511779785156,0.4366886019706726,582,0,0.0
d7a_hn_ordinal,1140_0.67_1.42.png,0.5884831433363992,0.3744070529937744,0.7617408037185669,0.40919116139411926,0.9987963438034058,0.49315688014030457,186,0,0.0
d7a_hn_ordinal,1143_0.73_1.33.png,0.13829453857353344,0.2703040838241577,0.6186282634735107,0.4045964479446411,0.9746122360229492,0.4731043875217438,45,0,0.0
d7a_hn_ordinal,1155_0.63_1.27.png,-0.00574890610923728,0.2117912471294403,0.5089103579521179,0.3689764738082886,0.9760409593582153,0.4593639671802521,650,0,0.0
d7a_hn_ordinal,119_0.6_1.7.png,0.271713022061706,0.3170117735862732,0.6471067667007446,0.3879334330558777,0.9990004897117615,0.47527241706848145,101,0,0.0
d7a_hn_ordinal,1292_0.66_1.45.png,0.49194373224004645,0.2887408137321472,0.6509321331977844,0.41381141543388367,0.9814695119857788,0.48186585307121277,301,0,0.0
d7a_hn_ordinal,1326_0.77_0.97.png,-0.03296426481560209,0.19167828559875488,0.45326316356658936,0.39695480465888977,0.9891024231910706,0.526942789554596,367,0,0.0
d7a_hn_ordinal,1376_0.65_1.6.png,0.004966782725150285,0.20375430583953857,0.49216699600219727,0.40730607509613037,0.9874080419540405,0.4883602559566498,13,0,0.0
d7a_hn_ordinal,1410_0.76_1.08.png,0.4182645797801313,0.20909753441810608,0.48357895016670227,0.3671301603317261,0.9923880696296692,0.49266889691352844,579,0,0.0
d7a_hn_ordinal,1435_0.87_0.57.png,0.44429187298027234,0.15014442801475525,0.30332237482070923,0.32012274861335754,0.9951221346855164,0.4582197368144989,548,0,0.0
d7a_hn_ordinal,1456_0.66_1.83.png,-0.4939762676141561,0.3128495216369629,0.671294093132019,0.43538135290145874,0.9976328015327454,0.5205850005149841,105,0,0.0
d7a_hn_ordinal,1474_0.92_0.89.png,0.2842499624007844,0.3753983974456787,0.6922495365142822,0.39978814125061035,0.9990004897117615,0.4906746745109558,149,0,0.0
d7a_hn_ordinal,1528_0.91_1.9.png,0.4912091263748285,0.2676783800125122,0.6714928150177002,0.4727846682071686,0.9955250024795532,0.5869413614273071,188,0,0.0
d7a_hn_ordinal,1531_0.52_1.01.png,0.08585434345711616,0.1848573386669159,0.3671378493309021,0.34930217266082764,0.9330499768257141,0.5359376668930054,1588,0,0.0
d7a_hn_ordinal,1537_0.52_1.24.png,0.00671077996753609,0.22163498401641846,0.4676494300365448,0.4134748876094818,0.9871746897697449,0.5657204389572144,630,0,0.0
