variant,epoch,steps,loss_mean,smooth_l1_mean,ordinal_bce_sum_mean,hard_negative_loss_mean,ldhn_positive_loss_mean,pairwise_loss_mean,topk_loss_mean,tv_loss_mean,elapsed_sec,spec_ldhn_weight,spec_protect_radius,spec_lr,spec_ordinal_weight,spec_hn_weight,spec_pair_weight,spec_topk_weight,spec_tv_weight,spec_topk_fraction
d7c_rp_lam05_r3_lr2e4,1,300,0.5133396217226982,0.026014758603026468,1.8279169595241547,0.00023124238685644135,0.03499118816107512,0.04770158287137747,0.0027689534694945906,0.015475928463662664,23.450669050216675,0.5,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam05_r3_lr2e4,2,300,0.5078339568773905,0.0257561660806338,1.8098574101924896,0.0002821862670536272,0.03234243351966143,0.048581728202601274,0.0031264639734581577,0.0158612442171822,22.519636869430542,0.5,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam05_r3_lr2e4,3,300,0.5100093604127566,0.025951397096117337,1.815904333194097,0.000272489239408363,0.032961204750463366,0.05069403282056252,0.0028761038018274123,0.015693964858849843,22.26794147491455,0.5,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam05_r3_lr2e4,4,300,0.5120581040779749,0.026079494034250576,1.824065132935842,0.00025564185336255225,0.03262372857891023,0.05132313963957131,0.0028154694210388697,0.01573625304425756,22.55270504951477,0.5,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam05_r3_lr2e4,5,300,0.50837789863348,0.025814902080843846,1.8095247173309326,0.0002813585334479285,0.0326574983044217,0.05170509154908359,0.002910647802442933,0.01600219855395456,22.43282699584961,0.5,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam05_r3_lr2e4,6,300,0.5059252169728279,0.02569920542339484,1.8072455215454102,0.0002651235592050701,0.030973633769899606,0.047129224414626754,0.002912292660136397,0.01622771043330431,22.406938791275024,0.5,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam10_r3_lr2e4,1,300,0.5264410195748012,0.02627426745990912,1.8340280910332998,0.00046737165487381084,0.02667480439879,0.049394268977145356,0.0043311182358108154,0.01537904141160349,22.49376630783081,1.0,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam10_r3_lr2e4,2,300,0.5219431019822757,0.025969663945337135,1.818784239689509,0.0005733001210410293,0.02471344224487742,0.0553369126887992,0.004619842532653517,0.015170651671166222,22.319461822509766,1.0,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam10_r3_lr2e4,3,300,0.5200404244661331,0.025903628133237364,1.812453778187434,0.0005602300197278964,0.024998370309670767,0.05351967655743162,0.004449041218419249,0.01558876114586989,22.520159244537354,1.0,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam10_r3_lr2e4,4,300,0.5201922024289767,0.02571595349038641,1.806960240205129,0.00044145257180086144,0.027082988866604863,0.05564473846927285,0.003771145059436094,0.015582672174399098,22.490376234054565,1.0,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam10_r3_lr2e4,5,300,0.5171834270159403,0.02568379125247399,1.8065383875370025,0.0005503678047049713,0.023779005659744144,0.05346268517275651,0.00452997181583972,0.01565783845881621,22.045605659484863,1.0,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam10_r3_lr2e4,6,300,0.518991306523482,0.025702668353915215,1.806884458065033,0.00048177392962315933,0.0255782832360516,0.056559248842919865,0.003873890391550958,0.016086162148664394,22.00212001800537,1.0,3,0.0002,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam15_r3_lr15e4,1,300,0.5398426338036855,0.026806471397479374,1.8472302333513895,0.000785983293390018,0.022136694577833016,0.05603433854877949,0.005745478808239568,0.01426152638780574,22.348248958587646,1.5,3,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam15_r3_lr15e4,2,300,0.5373117714126905,0.026796182431280614,1.8489155840873719,0.0008539686053942811,0.01983238776369641,0.05898128727761408,0.005594735536530304,0.014657389465719461,22.423529386520386,1.5,3,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam15_r3_lr15e4,3,300,0.5335748286048572,0.02651884687443574,1.832777158021927,0.0007468914629741145,0.020818538217184445,0.057592803329850235,0.005073289392554822,0.01475700410703818,22.531002044677734,1.5,3,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam15_r3_lr15e4,4,300,0.5319495754440625,0.02632411471257607,1.8253758688767752,0.0007201173680732608,0.021012932521601517,0.0587256618651251,0.004993404910783284,0.01517189987624685,22.56627869606018,1.5,3,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam15_r3_lr15e4,5,300,0.5342446108659108,0.026525817643851042,1.8309681204954784,0.0007646559105584553,0.02145132404131194,0.05814824021110932,0.005097519829093168,0.015397717763359348,22.257572174072266,1.5,3,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam15_r3_lr15e4,6,300,0.5331663718819618,0.026506705091645322,1.830371683438619,0.0007483902784103217,0.02077007571235299,0.05866224997676909,0.005119977088373465,0.01554084690908591,22.640563249588013,1.5,3,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam20_r5_lr15e4,1,300,0.5477826683719953,0.027184880369653306,1.8537694354852041,0.0009786056929018134,0.019032700206153094,0.05712372682988644,0.00640078983133814,0.014294523711626728,22.529284954071045,2.0,5,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam20_r5_lr15e4,2,300,0.5457202565670013,0.027123746946454048,1.8512220482031505,0.001136783813223398,0.017732497354348502,0.061347153168171645,0.006629573391595234,0.014510510234783093,22.43874216079712,2.0,5,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam20_r5_lr15e4,3,300,0.5421202712257703,0.026812920812517405,1.8426160597801209,0.0011238494226320957,0.016942153742226462,0.06352876592427492,0.006644973725390931,0.014722347976639866,22.461905241012573,2.0,5,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam20_r5_lr15e4,4,300,0.5413743752241135,0.026816487206767003,1.8394207576910655,0.0012671931528651233,0.01683795077726245,0.06391950881729523,0.0066754031092083705,0.0150149504483367,22.599912643432617,2.0,5,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam20_r5_lr15e4,5,300,0.5425429125626882,0.026888165896137555,1.8442709183692931,0.0011697193434398892,0.017121931090950965,0.06180382169472674,0.006518856076872907,0.014690816296885411,22.32940101623535,2.0,5,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam20_r5_lr15e4,6,300,0.5395466490586599,0.026578112083176772,1.830595897436142,0.001259703301329864,0.017169081120130915,0.06493928340884546,0.006432846095801021,0.015049727807442348,22.50491952896118,2.0,5,0.00015,0.25,1.0,0.2,1.0,0.02,0.05
d7c_rp_lam30_r5_lr1e4,1,300,0.5591243366400401,0.027587165714552005,1.8643135273456573,0.0016193025290461567,0.014433738665344814,0.056686622637013594,0.008922934740937005,0.013900613735119501,22.34001326560974,3.0,5,0.0001,0.25,1.0,0.2,1.0,0.02,0.05
