variant,density_bin,rows,spearman,auroc_high_vs_low,auprc_high
f4_global_strat_control,0,479923,0.5567026055124124,0.8527062774818555,0.5527524378648814
f4_global_strat_control,1,481496,0.43403054126609336,0.7824117188684059,0.49254204462517537
f4_global_strat_control,2,494400,0.39431440311393556,0.7877226813450203,0.5527335742853503
f4_global_strat_control,3,511965,0.3295099172379452,0.7909234875227754,0.6434886871116633
f4_global_strat_control,4,489816,0.36624648026694884,0.849364248057544,0.7447908488785171
f4_excess_strat_ldhn,0,479923,0.499888479751839,0.8164304692966934,0.4931824881356383
f4_excess_strat_ldhn,1,481496,0.4439106655287251,0.7878075132764332,0.5019858258261548
f4_excess_strat_ldhn,2,494400,0.45497102336738815,0.8078316642069805,0.5927915612293273
f4_excess_strat_ldhn,3,511965,0.4490055666940582,0.8234317767499494,0.6927527967417612
f4_excess_strat_ldhn,4,489816,0.4353853708663081,0.8609150932071451,0.7633789834147547
density_only,0,479923,0.2943799154612462,0.6892165453937893,0.3649069290434709
density_only,1,481496,0.2680599985243886,0.6746098578756713,0.44365089254583057
density_only,2,494400,0.15686670349341608,0.6059147584038359,0.46700804017043707
density_only,3,511965,0.0173099701550997,0.5344081675364218,0.5328239630863338
density_only,4,489816,-0.021953718798688574,0.5150000115108215,0.6151285615384475
