variant,target_contract,name,threshold,hard_negative_pixels,ldhn_pixels,false_tail_rate,ldhn_recall,pred_high_coverage
f4_global_strat_control,global_target,1002_0.73_1.47.png,0.5132026076316833,47,1233,0.0,0.0373073803730738,0.1083984375
f4_global_strat_control,global_target,1007_0.68_1.25.png,0.5132026076316833,17,259,0.0,0.11583011583011583,0.714111328125
f4_global_strat_control,global_target,1012_0.85_1.28.png,0.5132026076316833,0,61,nan,0.0,0.5673828125
f4_global_strat_control,global_target,1016_0.8_1.72.png,0.5132026076316833,62,72,0.06451612903225806,0.20833333333333334,0.541015625
f4_global_strat_control,global_target,1022_0.66_1.05.png,0.5132026076316833,636,487,0.0047169811320754715,0.0,0.0458984375
f4_global_strat_control,global_target,1023_0.5_1.87.png,0.5132026076316833,230,275,0.1956521739130435,0.09090909090909091,0.303955078125
f4_global_strat_control,global_target,1029_0.71_0.56.png,0.5132026076316833,583,614,0.0,0.0,0.024658203125
f4_global_strat_control,global_target,103_0.75_1.59.png,0.5132026076316833,0,786,nan,0.22010178117048346,0.506591796875
f4_global_strat_control,global_target,1042_0.91_0.56.png,0.5132026076316833,131,338,0.0,0.0,0.17041015625
f4_global_strat_control,global_target,1045_0.58_1.58.png,0.5132026076316833,2,456,0.0,0.8618421052631579,0.67333984375
f4_global_strat_control,global_target,1060_0.94_1.09.png,0.5132026076316833,1087,0,0.0027598896044158236,nan,0.275146484375
f4_global_strat_control,global_target,1064_0.54_0.97.png,0.5132026076316833,84,234,0.0,0.0,0.080078125
f4_global_strat_control,global_target,1072_0.58_0.58.png,0.5132026076316833,690,96,0.0,0.0,0.011962890625
f4_global_strat_control,global_target,1073_0.51_0.98.png,0.5132026076316833,573,743,0.0,0.0026917900403768506,0.037353515625
f4_global_strat_control,global_target,1075_0.76_1.99.png,0.5132026076316833,16,439,0.0,0.4328018223234624,0.588623046875
f4_global_strat_control,global_target,1080_0.59_1.22.png,0.5132026076316833,32,373,0.0,0.06166219839142091,0.39453125
f4_global_strat_control,global_target,1083_0.67_0.81.png,0.5132026076316833,367,35,0.008174386920980926,0.05714285714285714,0.07470703125
f4_global_strat_control,global_target,1090_0.54_0.58.png,0.5132026076316833,272,227,0.0,0.0,0.00146484375
f4_global_strat_control,global_target,1096_0.72_0.86.png,0.5132026076316833,308,803,0.01948051948051948,0.0012453300124533001,0.18798828125
f4_global_strat_control,global_target,1098_0.8_0.51.png,0.5132026076316833,691,835,0.0,0.0,0.0
f4_global_strat_control,global_target,1099_0.54_1.76.png,0.5132026076316833,277,1468,0.01444043321299639,0.07697547683923706,0.044189453125
f4_global_strat_control,global_target,1102_0.65_0.94.png,0.5132026076316833,140,325,0.03571428571428571,0.018461538461538463,0.122314453125
f4_global_strat_control,global_target,110_0.55_1.08.png,0.5132026076316833,0,106,nan,0.018867924528301886,0.170654296875
f4_global_strat_control,global_target,1113_0.9_0.52.png,0.5132026076316833,151,638,0.0,0.3448275862068966,0.145751953125
f4_global_strat_control,global_target,1122_0.94_0.53.png,0.5132026076316833,435,213,0.01839080459770115,0.004694835680751174,0.1533203125
f4_global_strat_control,global_target,1124_0.74_1.17.png,0.5132026076316833,168,255,0.05952380952380952,0.12941176470588237,0.437255859375
f4_global_strat_control,global_target,1134_0.69_1.2.png,0.5132026076316833,1,541,0.0,0.07024029574861368,0.2958984375
f4_global_strat_control,global_target,1140_0.67_1.42.png,0.5132026076316833,131,1265,0.0,0.021343873517786563,0.026123046875
f4_global_strat_control,global_target,1143_0.73_1.33.png,0.5132026076316833,20,13,0.05,0.07692307692307693,0.47607421875
f4_global_strat_control,global_target,1145_0.9_1.2.png,0.5132026076316833,190,483,0.12105263157894737,0.010351966873706004,0.055908203125
