stage,variant,metric,value,source,interpretation
v2d,d7c_mc_topk_hn_ordinal,variant,d7c_mc_topk_hn_ordinal,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,need_spearman,0.517479385753199,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,need_auroc_high_vs_low,0.8455740268877702,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,need_auprc_high,0.6442368793472579,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,monotonic,4/4,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,selected_threshold,0.5773006677627563,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,selected_coverage,0.3026953125,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,selected_recall,0.44929659126135196,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,selected_precision,0.631268281928851,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,selected_false_global,0.0029743024097268933,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,selected_false_p90,0.02459016393442623,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,selected_false_p95,0.047619047619047616,v2d_overall_run_summary.json,
v2d,d7c_mc_topk_hn_ordinal,selected_low_density_high_recall,0.03696025132065564,v2d_overall_run_summary.json,
v2e,d7c_mc_topk_hn_ordinal,spearman,0.517479385753199,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,auroc,0.8455740268877702,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,auprc,0.6442368793472579,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,coverage,0.3026953125,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,recall,0.44929659126135196,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,precision,0.631268281928851,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,false_global,0.0029743024097268933,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,false_p90,0.02459016393442623,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,false_p95,0.047619047619047616,v2e_final_closeout.json,
v2e,d7c_mc_topk_hn_ordinal,ldhn_recall,0.03696025132065564,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam05_r3_lr2e4,ldhn_recall,0.049114357235653855,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam05_r3_lr2e4,false_global,0.003621444305948286,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam05_r3_lr2e4,false_per_image_p90,0.03255813953488372,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam05_r3_lr2e4,false_per_image_p95,0.07407407407407407,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam05_r3_lr2e4,gate_safety_pass,True,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam05_r3_lr2e4,gate_ldhn_pass,False,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam05_r3_lr2e4,gate_overall_pass,False,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam10_r3_lr2e4,ldhn_recall,0.10958159999637866,v2e_final_closeout.json,
v2e_rp,d7c_rp_lam10_r3_lr2e4,false_global,0.010676247342095784,v2e_final_closeout.json,
