split,name,action_pixels,negative_pixels,ignore_pixels,low_adjacent_pixels,isolated_pixels
train_inner,1000_0.74_1.6.png,2680,0,280,89,166
train_inner,1001_0.89_1.66.png,2678,478,445,18,33
train_inner,1003_0.9_1.06.png,1807,704,578,0,172
train_inner,1004_0.91_1.17.png,2344,434,648,6,281
train_inner,1005_0.74_1.81.png,2794,6,287,71,125
train_inner,1006_0.89_1.55.png,2927,6,236,33,67
train_inner,1008_0.52_1.98.png,2761,52,246,79,66
train_inner,1009_0.84_0.56.png,2295,1,417,29,312
train_inner,100_0.65_1.43.png,2348,109,687,84,384
train_inner,1010_0.91_1.13.png,3990,0,72,0,72
train_inner,1011_0.79_0.66.png,2654,0,351,26,284
train_inner,1013_0.63_1.83.png,2092,144,373,85,156
train_inner,1014_0.74_1.61.png,1872,111,350,79,84
train_inner,1015_0.7_1.92.png,2214,74,305,98,115
train_inner,1017_0.91_1.44.png,2718,23,500,2,447
train_inner,1018_0.88_0.54.png,1040,320,2122,25,1864
train_inner,1019_0.82_1.87.png,1707,0,1021,2,948
train_inner,101_0.78_1.87.png,2991,0,507,128,490
train_inner,1020_0.5_0.98.png,1893,263,1330,29,358
train_inner,1021_0.73_0.84.png,554,724,1447,0,572
train_inner,1024_0.69_1.66.png,1435,198,694,4,443
train_inner,1025_0.95_1.79.png,2251,3,404,36,389
train_inner,1026_0.77_0.89.png,1448,20,1413,9,1386
train_inner,1027_0.57_1.77.png,2277,12,331,43,281
train_inner,1028_0.97_1.41.png,1745,3,494,38,446
train_inner,102_0.94_1.18.png,2419,0,664,125,564
train_inner,1030_0.75_1.69.png,1663,188,1034,111,627
train_inner,1031_0.76_0.7.png,120,410,1165,13,787
train_inner,1032_0.6_0.6.png,155,494,1192,2,664
train_inner,1033_0.52_1.2.png,3311,2,297,155,167
train_inner,1034_0.55_0.77.png,2391,47,749,72,428
train_inner,1035_0.76_1.14.png,3130,16,80,10,43
train_inner,1036_0.69_1.69.png,3601,0,36,24,5
train_inner,1037_0.89_0.54.png,442,219,3167,0,2522
train_inner,1038_0.87_1.29.png,1266,22,652,113,454
train_inner,1039_0.79_1.79.png,1758,38,463,97,347
train_inner,1040_0.78_2.0.png,1976,44,373,105,251
train_inner,1041_0.64_0.82.png,2416,7,1040,71,889
train_inner,1043_0.68_1.87.png,3098,12,457,55,303
train_inner,1044_0.69_0.99.png,2415,2,838,66,753
train_inner,1046_0.91_1.69.png,3249,4,99,40,55
train_inner,1047_0.89_1.57.png,3126,1,192,53,151
train_inner,1048_0.73_0.95.png,2401,42,791,213,713
train_inner,1049_0.97_1.09.png,2188,77,202,8,60
train_inner,104_0.88_1.76.png,2846,0,450,74,375
train_inner,1050_0.61_1.24.png,2582,41,249,27,95
train_inner,1051_0.69_0.54.png,1789,215,684,4,310
train_inner,1052_0.73_1.22.png,2760,23,185,4,86
train_inner,1053_0.54_1.81.png,2861,18,336,108,226
train_inner,1054_0.86_1.22.png,2204,84,541,37,174
train_inner,1055_0.8_1.95.png,3337,21,423,180,152
train_inner,1056_0.85_1.39.png,2557,75,474,77,141
train_inner,1057_0.96_1.31.png,1401,122,990,7,47
train_inner,1058_0.6_1.0.png,1127,326,1009,79,639
train_inner,1059_0.87_0.7.png,644,1159,351,3,11
train_inner,105_0.74_1.06.png,1679,0,1170,78,1117
train_inner,1061_0.91_0.94.png,2519,189,199,8,31
train_inner,1062_0.58_1.51.png,2989,25,261,99,161
train_inner,1063_0.51_1.61.png,3084,17,223,76,134
train_inner,1065_0.84_1.48.png,1965,185,208,31,13
train_inner,1066_0.58_1.42.png,2050,148,275,13,56
train_inner,1067_0.62_1.35.png,2107,197,313,8,50
train_inner,1068_0.69_1.34.png,2058,240,270,2,48
train_inner,1069_0.66_1.4.png,2750,182,316,0,159
train_inner,106_0.91_1.85.png,2521,0,166,33,166
train_inner,1070_0.79_1.57.png,2309,7,429,19,305
train_inner,1071_0.69_1.75.png,3248,74,323,9,196
train_inner,1074_0.59_1.24.png,1168,275,964,55,630
train_inner,1076_0.71_1.18.png,1290,126,1025,66,735
train_inner,1077_0.94_0.84.png,1717,27,243,43,125
train_inner,1078_0.96_0.54.png,1131,97,342,1,102
train_inner,1079_0.77_1.21.png,2035,10,254,72,102
train_inner,107_0.77_1.67.png,1968,0,373,20,359
train_inner,1081_0.66_1.5.png,3335,10,92,16,17
train_inner,1082_0.94_0.87.png,2647,0,27,0,25
train_inner,1084_0.81_1.75.png,3622,0,2,2,2
train_inner,1085_0.71_1.3.png,2689,15,56,13,19
train_inner,1086_0.6_0.76.png,1948,193,443,1,110
train_inner,1087_0.68_1.22.png,2604,20,73,11,18
train_inner,1088_0.57_0.97.png,2185,154,241,15,48
train_inner,1089_0.76_1.23.png,1156,56,394,0,109
train_inner,108_0.96_0.98.png,1687,1,404,25,404
train_inner,1091_0.79_1.01.png,908,173,330,0,78
train_inner,1092_0.84_1.93.png,2987,0,292,79,292
train_inner,1093_0.65_1.34.png,1606,177,1404,42,902
train_inner,1094_0.77_1.07.png,1869,547,723,7,210
