category,images_with_support,mask_pixels,coverage,removed_energy_fraction_global,global_psnr_gain_if_oracle_corrected,per_image_psnr_gain_mean,per_image_psnr_gain_p50,per_image_psnr_gain_p90,per_image_energy_fraction_p50,per_image_coverage_p50,trans_mean_weighted,veil_mean_weighted,per_image_trans_mean_p50,actionability_hint
all_ldhn,599,11253061,0.08028725028538813,0.15071571408762585,0.7094691147944019,0.9910757564777409,0.5244597433078866,2.576569463194687,0.11375453541337895,0.05455729166666667,0.474673635597257,0.5253263744671178,0.6465108394622803,diagnostic_overbroad_reference
ldhn_core,587,5955807,0.04249291523972603,0.12858989768161405,0.5977740956471536,0.7367241109079464,0.32578676074899704,1.9712786206218098,0.07227059103255255,0.02086875,0.43826807581513294,0.5617319411011353,0.7069267630577087,diagnostic
ldhn_boundary,592,5297254,0.0377943350456621,0.02212581600744168,0.09717019151825923,0.21309454435045772,0.10834344634004367,0.5583345726876132,0.024638395612096815,0.027311197916666665,0.5156051255562137,0.4843948817167121,0.6089802980422974,diagnostic
ldhn_adjacent_to_haze,520,1328871,0.009481100171232876,0.014644665275418743,0.06407127795110767,0.08595576754969153,0.03742613278444651,0.22924894382796168,0.008580659727007273,0.0065375,0.34773999300469965,0.6522600123759379,0.38121965527534485,candidate_actionable_positive
ldhn_isolated,594,9924190,0.07080615011415525,0.13607104888302618,0.6352197211208122,0.9011289119491134,0.4250672244136382,2.3992415412227786,0.0932380712865193,0.04566875,0.4916703298463326,0.5083296782715877,0.6907539367675781,ignore_or_abstain_until_action_gain_justifies
ldhn_unstable,580,602369,0.004297724029680365,0.0025732734981711055,0.011189988439902265,0.023257849177415933,0.011072613354123462,0.06137058398330453,0.0025463160684742548,0.00341796875,0.5972851904057416,0.40271481552771937,0.6394582390785217,diagnostic
missed_ldhn,599,10811257,0.07713510987442922,0.13657861985208689,0.6377720149247068,0.9068795411300921,0.455007382623549,2.4078237795323076,0.09946776807610393,0.0523125,0.4761505547652786,0.5238494581998981,0.6536137461662292,diagnostic
missed_adjacent_ldhn,507,1121340,0.008000428082191782,0.011130219360020253,0.04860894725327114,0.06869778930539636,0.029069103014784048,0.1861241874622479,0.0066710573651828815,0.0056625,0.3487664783985586,0.6512335288173168,0.37310925126075745,candidate_missed_actionable_positive
missed_isolated_ldhn,592,9689917,0.06913468179223745,0.12544840078223093,0.5821456172052137,0.8412427897763705,0.39891762113917295,2.3249244115828063,0.08776183464391749,0.0439453125,0.4908917375890788,0.5091082711732604,0.7007641196250916,likely_non_actionable_or_uncertain
d7c_pred_high,594,40547186,0.2892921375570776,0.5318461546651299,3.2961140504443165,3.565954593984585,2.517598634534849,8.59590845809803,0.43993280344432645,0.24148125,0.2599465718463039,0.7400534433664099,0.2548848092556,diagnostic
d7c_ldhn_hit,466,441804,0.003152140410958904,0.014137093512337162,0.06183473593724642,0.07406708791448563,0.01881197030549231,0.13399279676275455,0.004322248320861364,0.0024088541666666668,0.43853242132620524,0.5614675881404998,0.5268129706382751,diagnostic
ldln_false_tail_pred_high,228,58178,0.00041508276255707764,2.416003792599694e-05,0.00010492697906272497,0.0005791324167080216,0.00026570914079115937,0.0010807857928725184,6.11799190979278e-05,0.00048828125,0.4002602615665933,0.5997397355729411,0.4794117510318756,false_tail_safety_risk_probe
low_density_low_need,565,21562895,0.15384485587899543,0.005034742216863361,0.02192083692965241,0.08396888535476021,0.017663918523325606,0.23168998054755008,0.004059007417428857,0.07539375,0.6783203068418904,0.32167969510846783,0.6379664540290833,confident_low_risk_negative_pool
