score,kind,split,operating_point,target_train_calib_coverage,threshold,action_recall_n,action_recall_mean,action_recall_p50,action_recall_p75,action_recall_p90,action_recall_p95,action_recall_max,low_adjacent_recall_n,low_adjacent_recall_mean,low_adjacent_recall_p50,low_adjacent_recall_p75,low_adjacent_recall_p90,low_adjacent_recall_p95,low_adjacent_recall_max,negative_false_rate_n,negative_false_rate_mean,negative_false_rate_p50,negative_false_rate_p75,negative_false_rate_p90,negative_false_rate_p95,negative_false_rate_max,ignore_hit_rate_n,ignore_hit_rate_mean,ignore_hit_rate_p50,ignore_hit_rate_p75,ignore_hit_rate_p90,ignore_hit_rate_p95,ignore_hit_rate_max,isolated_ldhn_hit_rate_n,isolated_ldhn_hit_rate_mean,isolated_ldhn_hit_rate_p50,isolated_ldhn_hit_rate_p75,isolated_ldhn_hit_rate_p90,isolated_ldhn_hit_rate_p95,isolated_ldhn_hit_rate_max
d7c_topk_score,deployable_prior_candidate,val_inner,coverage,0.15,0.6479074537754059,600,0.26533759037165605,0.23071577484364142,0.41725601131541723,0.602577873254565,0.7305882352941176,0.9184584178498986,520,0.02205263606149278,0.0,0.008264462809917356,0.07692307692307693,0.14285714285714285,0.6666666666666666,565,0.0003935486301352853,0.0,0.0,0.0,0.0,0.09090909090909091,600,0.0031934852335644016,0.0,0.00205761316872428,0.008695652173913044,0.015723270440251572,0.18,594,0.003138552012392319,0.0,0.0,0.007751937984496124,0.017857142857142856,0.16153846153846155
d3_density_pred_matched,deployable_density_control,val_inner,coverage,0.15,0.5980957925319672,600,0.18745888909121525,0.12343572241183162,0.2884349030470914,0.48747913188647746,0.5791212421539478,0.8471337579617835,520,0.02643741476761439,0.0,0.0,0.031746031746031744,0.17553191489361702,1.0,565,0.01351577012113321,0.0,0.0,0.017254901960784313,0.057926829268292686,0.7857142857142857,600,0.02493866108334953,0.0,0.007036747458952306,0.0758575197889182,0.1496437054631829,0.7318840579710145,594,0.0350536789069355,0.0,0.005917159763313609,0.10793172690763052,0.2808022922636103,0.926605504587156
d7c_topk_score,deployable_prior_candidate,val_inner,coverage,0.2,0.6224717140197754,600,0.3396298442740116,0.3185840707964602,0.5185487158581329,0.7035445757250268,0.8121059268600253,0.9578093306288032,520,0.04776170695594904,0.0,0.05333333333333334,0.16666666666666666,0.25,1.0,565,0.001459499655249292,0.0,0.0,0.0,0.00423728813559322,0.125,600,0.008054540652903515,0.0010672358591248667,0.006796116504854369,0.02040816326530612,0.03389830508474576,0.3,594,0.007647878509607315,0.0,0.004008016032064128,0.02,0.04060913705583756,0.35384615384615387
d3_density_pred_matched,deployable_density_control,val_inner,coverage,0.2,0.5411123394966125,600,0.2512422646057108,0.20587396635300828,0.3940856970428485,0.5805539853024307,0.6529411764705882,0.8690728945506015,520,0.04127018576226212,0.0,0.0,0.12931034482758622,0.2777777777777778,1.0,565,0.021879154654600493,0.0,0.00423728813559322,0.04550625711035267,0.10850439882697947,0.9285714285714286,600,0.03928298328800733,0.0,0.023434171282488283,0.13449023861171366,0.24162120031176929,0.7657004830917874,594,0.05573913640966117,0.0,0.027777777777777776,0.20059880239520958,0.3880597014925373,0.963302752293578
d7c_topk_score,deployable_prior_candidate,val_inner,coverage,0.25,0.6002630591392517,600,0.41201317115711017,0.4088669950738916,0.6216216216216216,0.7914110429447853,0.8676551345414607,0.9703853955375253,520,0.09186303627722504,0.024390243902439025,0.11940298507462686,0.2857142857142857,0.4074074074074074,1.0,565,0.004002749604266619,0.0,0.0,0.006006006006006006,0.016835016835016835,0.36363636363636365,600,0.016426978396245438,0.004381694255111977,0.017595307917888565,0.043243243243243246,0.06481481481481481,0.38,594,0.01742413510930905,0.0,0.016,0.04891304347826087,0.07692307692307693,0.5461538461538461
d3_density_pred_matched,deployable_density_control,val_inner,coverage,0.25,0.4908786937594414,600,0.3153004441872771,0.2950391644908616,0.49436936936936937,0.6457127102288392,0.7138344914718888,0.902143522833178,520,0.05806286045204308,0.0,0.012422360248447204,0.20512820512820512,0.37777777777777777,1.0,565,0.03473143064697093,0.0,0.017699115044247787,0.09172546504169339,0.1952941176470588,1.0,600,0.05631788220621001,0.00423728813559322,0.04960835509138381,0.18907563025210083,0.3076241134751773,0.7971014492753623,594,0.07817490020121035,0.0,0.05741626794258373,0.30434782608695654,0.4684385382059801,0.9755351681957186
d7c_topk_score,deployable_prior_candidate,val_inner,coverage,0.3,0.5810226500034332,600,0.48256452167068753,0.5130315500685871,0.6946938775510204,0.8563656147986942,0.9171332586786114,0.9813387423935092,520,0.15149664294043652,0.07142857142857142,0.2222222222222222,0.4418604651162791,0.5777777777777777,1.0,565,0.009223943928535266,0.0,0.0030211480362537764,0.018518518518518517,0.03488372093023256,0.5454545454545454,600,0.03260429368459084,0.011583011583011582,0.037859007832898174,0.08237986270022883,0.12890625,0.5,594,0.035847660256097605,0.007575757575757576,0.037267080745341616,0.09398496240601503,0.14074074074074075,1.0
d3_density_pred_matched,deployable_density_control,val_inner,coverage,0.3,0.4455796897411346,600,0.3792788874992867,0.3704337899543379,0.573729863692689,0.7098765432098766,0.7707423580786026,0.9552656104380243,520,0.08510347805850801,0.0,0.05454545454545454,0.34210526315789475,0.5384615384615384,1.0,565,0.05381468888112871,0.0,0.041304347826086954,0.1634517766497462,0.3,1.0,600,0.07681531135234379,0.013110846245530394,0.08753315649867374,0.2652439024390244,0.38046272493573263,0.8164251207729468,594,0.10287691333501939,0.007194244604316547,0.10914454277286136,0.3765586034912718,0.5355450236966824,0.981651376146789
d7c_topk_score,deployable_prior_candidate,val_inner,coverage,0.35,0.5650553733110428,600,0.5485713221643956,0.5993836671802774,0.7674846625766871,0.9008212255211624,0.9425367904695164,0.9957994959395128,520,0.21676937913031852,0.1328125,0.3333333333333333,0.5932203389830508,0.75,1.0,565,0.027510476012526184,0.0010834236186348862,0.009445100354191263,0.05194805194805195,0.10714285714285714,1.0,600,0.06289945320936537,0.025380710659898477,0.06837016574585636,0.1624548736462094,0.24487179487179486,1.0,594,0.06982251385278783,0.020618556701030927,0.0784313725490196,0.18143459915611815,0.3249097472924188,1.0
d3_density_pred_matched,deployable_density_control,val_inner,coverage,0.35,0.40438743531703947,600,0.4415167963278042,0.45569620253164556,0.6317934782608695,0.7613554434030281,0.8230297310051912,0.9757688723205965,520,0.1123812711975481,0.0,0.09523809523809523,0.4473684210526316,0.6666666666666666,1.0,565,0.07474133310930653,0.003048780487804878,0.07169811320754717,0.22137404580152673,0.4279835390946502,1.0,600,0.10038326650261938,0.026022304832713755,0.13240418118466898,0.32452830188679244,0.45506692160611856,0.8705501618122977,594,0.12978245981783165,0.02142051860202931,0.15655577299412915,0.47593582887700536,0.6106194690265486,0.9877675840978594
