fold_id,selector,train_images,val_images,target_train_coverage,threshold,selected_coverage,action_recall,low_adjacent_recall,negative_false_rate,ignore_hit_rate,isolated_ldhn_hit_rate,action_precision_vs_all_selected,action_pixels,low_adjacent_pixels,negative_pixels,ignore_pixels,isolated_pixels
0,d7c_calibrated,2400,600,0.3106689453125,0.5773930734794703,0.2920361328125,0.5569550285664999,0.1589904409264367,0.003995750598318144,0.025618051416945807,0.02690347721822542,0.6387932139533069,823167,26467,335106,486610,200160
0,density_matched,2400,600,0.3106689453125,0.43408459424972534,0.29299601236979167,0.45190465604184815,0.11213964559640306,0.04623313220294474,0.10130700150017467,0.14407973621103118,0.5166088711189375,823167,26467,335106,486610,200160
0,d7c_fixed_A,2400,600,0.3106689453125,0.5773006677627563,0.29229573567708333,0.557358348913404,0.15967053311671137,0.004019623641474638,0.02573724337765356,0.027023381294964028,0.6386880416957845,823167,26467,335106,486610,200160
1,d7c_calibrated,2400,600,0.3106689453125,0.5764347500007716,0.305643310546875,0.5649385374228639,0.1689751801441153,0.0029968449267244518,0.024865015226656094,0.025267661730780606,0.6413254893503153,852714,24980,315999,481721,202868
1,density_matched,2400,600,0.3106689453125,0.43167710304260254,0.30718343098958334,0.4600522566769163,0.1133306645316253,0.04939256136886509,0.10220853979793283,0.1460062700869531,0.519638802862237,852714,24980,315999,481721,202868
1,d7c_fixed_A,2400,600,0.3106689453125,0.5773006677627563,0.3031795247395833,0.5611459410775477,0.16577261809447558,0.0028829205155712517,0.024094859887777365,0.02434095076601534,0.6421968234880431,852714,24980,315999,481721,202868
2,d7c_calibrated,2400,600,0.3106689453125,0.5758357829254237,0.314150390625,0.585915744894802,0.17068623562078541,0.002606758909018515,0.023941834297588355,0.023632003260307326,0.6279104106437875,827392,25210,321472,463916,191393
2,density_matched,2400,600,0.3106689453125,0.4315931982200709,0.3076704915364583,0.46988851717202973,0.0996033320111067,0.03948088791558829,0.08715586442373188,0.1175957323413082,0.5141728086799774,827392,25210,321472,463916,191393
2,d7c_fixed_A,2400,600,0.3106689453125,0.5773006677627563,0.31027018229166664,0.5797699276763614,0.16449821499404998,0.002435670913796536,0.022704541339380404,0.02225264246863783,0.6290943188375386,827392,25210,321472,463916,191393
3,d7c_calibrated,2400,600,0.3106689453125,0.5753470063209534,0.32119140625,0.5844823657936707,0.15809119519871184,0.003757096831392334,0.024492557213886778,0.024657128560195255,0.6337260565521435,855865,27326,298901,456751,195846
3,density_matched,2400,600,0.3106689453125,0.4296116623481794,0.3193282063802083,0.47249741489604086,0.09620873892995682,0.049190200099698565,0.09514593290436146,0.12894314920907243,0.5152953499129056,855865,27326,298901,456751,195846
3,d7c_fixed_A,2400,600,0.3106689453125,0.5773006677627563,0.3156844075520833,0.5761819913187244,0.15004025470248114,0.003382390825055788,0.02273667709539771,0.022359404838495554,0.6356244828092897,855865,27326,298901,456751,195846
4,d7c_calibrated,2400,600,0.3106689453125,0.5754322409629822,0.31996053059895835,0.5893818250430435,0.19357218988275807,0.0036572440957337426,0.025894185111610752,0.0258918465321416,0.6355866138477875,847980,24394,316085,488797,204968
4,density_matched,2400,600,0.3106689453125,0.42843923695909325,0.32626261393229167,0.4873169178518361,0.11855374272362056,0.0638847145546293,0.1120096890938365,0.15476074314039265,0.5153693520889273,847980,24394,316085,488797,204968
4,d7c_fixed_A,2400,600,0.3106689453125,0.5773006677627563,0.31459920247395834,0.5812023868487465,0.18512749036648357,0.003293417909739469,0.02415522190193475,0.023862261426173842,0.6374471486460094,847980,24394,316085,488797,204968
