name,requires_grad,grad_max_abs,grad_mean_abs,grad_finite
Encoder.0.layers.0.main.0.main.0.weight,False,,,True
Encoder.0.layers.0.main.0.main.0.bias,False,,,True
Encoder.0.layers.0.main.2.main.0.weight,False,,,True
Encoder.0.layers.0.main.2.main.0.bias,False,,,True
Encoder.0.layers.1.main.0.main.0.weight,False,,,True
Encoder.0.layers.1.main.0.main.0.bias,False,,,True
Encoder.0.layers.1.main.2.main.0.weight,False,,,True
Encoder.0.layers.1.main.2.main.0.bias,False,,,True
Encoder.0.layers.2.main.0.main.0.weight,False,,,True
Encoder.0.layers.2.main.0.main.0.bias,False,,,True
Encoder.0.layers.2.main.2.main.0.weight,False,,,True
Encoder.0.layers.2.main.2.main.0.bias,False,,,True
Encoder.0.layers.3.main.0.main.0.weight,False,,,True
Encoder.0.layers.3.main.0.main.0.bias,False,,,True
Encoder.0.layers.3.main.2.main.0.weight,False,,,True
Encoder.0.layers.3.main.2.main.0.bias,False,,,True
Encoder.0.layers.4.main.0.main.0.weight,False,,,True
Encoder.0.layers.4.main.0.main.0.bias,False,,,True
Encoder.0.layers.4.main.2.main.0.weight,False,,,True
Encoder.0.layers.4.main.2.main.0.bias,False,,,True
Encoder.0.layers.5.main.0.main.0.weight,False,,,True
Encoder.0.layers.5.main.0.main.0.bias,False,,,True
Encoder.0.layers.5.main.2.main.0.weight,False,,,True
Encoder.0.layers.5.main.2.main.0.bias,False,,,True
Encoder.0.layers.6.main.0.main.0.weight,False,,,True
Encoder.0.layers.6.main.0.main.0.bias,False,,,True
Encoder.0.layers.6.main.2.main.0.weight,False,,,True
Encoder.0.layers.6.main.2.main.0.bias,False,,,True
Encoder.0.layers.7.main.0.main.0.weight,False,,,True
Encoder.0.layers.7.main.0.main.0.bias,False,,,True
Encoder.0.layers.7.main.1.convs.0.weight,False,,,True
Encoder.0.layers.7.main.1.convs.1.weight,False,,,True
Encoder.0.layers.7.main.1.convs.2.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.0.square_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.0.square_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.0.square_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.0.square_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.0.square_att.bn.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.0.square_att.bn.bias,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.gamma,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.beta,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.H_spatial_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.H_spatial_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.H_spatial_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.H_spatial_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.W_spatial_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.W_spatial_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.W_spatial_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.0.strip_att.W_spatial_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.1.square_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.1.square_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.1.square_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.1.square_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.1.square_att.bn.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.1.square_att.bn.bias,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.gamma,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.beta,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.H_spatial_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.H_spatial_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.H_spatial_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.H_spatial_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.W_spatial_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.W_spatial_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.W_spatial_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.1.strip_att.W_spatial_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.2.square_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.2.square_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.2.square_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.2.square_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.2.square_att.bn.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.2.square_att.bn.bias,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.gamma,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.beta,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.H_spatial_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.H_spatial_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.H_spatial_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.H_spatial_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.W_spatial_att.inside_all,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.W_spatial_att.lamb_l,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.W_spatial_att.lamb_h,False,,,True
Encoder.0.layers.7.main.1.dynas.2.strip_att.W_spatial_att.conv.weight,False,,,True
Encoder.0.layers.7.main.1.conv_sum.weight,False,,,True
Encoder.0.layers.7.main.2.main.0.weight,False,,,True
Encoder.0.layers.7.main.2.main.0.bias,False,,,True
Encoder.1.layers.0.main.0.main.0.weight,False,,,True
Encoder.1.layers.0.main.0.main.0.bias,False,,,True
Encoder.1.layers.0.main.2.main.0.weight,False,,,True
Encoder.1.layers.0.main.2.main.0.bias,False,,,True
Encoder.1.layers.1.main.0.main.0.weight,False,,,True
Encoder.1.layers.1.main.0.main.0.bias,False,,,True
Encoder.1.layers.1.main.2.main.0.weight,False,,,True
Encoder.1.layers.1.main.2.main.0.bias,False,,,True
Encoder.1.layers.2.main.0.main.0.weight,False,,,True
Encoder.1.layers.2.main.0.main.0.bias,False,,,True
Encoder.1.layers.2.main.2.main.0.weight,False,,,True
Encoder.1.layers.2.main.2.main.0.bias,False,,,True
Encoder.1.layers.3.main.0.main.0.weight,False,,,True
Encoder.1.layers.3.main.0.main.0.bias,False,,,True
Encoder.1.layers.3.main.2.main.0.weight,False,,,True
Encoder.1.layers.3.main.2.main.0.bias,False,,,True
Encoder.1.layers.4.main.0.main.0.weight,False,,,True
Encoder.1.layers.4.main.0.main.0.bias,False,,,True
Encoder.1.layers.4.main.2.main.0.weight,False,,,True
Encoder.1.layers.4.main.2.main.0.bias,False,,,True
Encoder.1.layers.5.main.0.main.0.weight,False,,,True
Encoder.1.layers.5.main.0.main.0.bias,False,,,True
Encoder.1.layers.5.main.2.main.0.weight,False,,,True
Encoder.1.layers.5.main.2.main.0.bias,False,,,True
Encoder.1.layers.6.main.0.main.0.weight,False,,,True
Encoder.1.layers.6.main.0.main.0.bias,False,,,True
Encoder.1.layers.6.main.2.main.0.weight,False,,,True
Encoder.1.layers.6.main.2.main.0.bias,False,,,True
Encoder.1.layers.7.main.0.main.0.weight,False,,,True
Encoder.1.layers.7.main.0.main.0.bias,False,,,True
Encoder.1.layers.7.main.1.convs.0.weight,False,,,True
Encoder.1.layers.7.main.1.convs.1.weight,False,,,True
Encoder.1.layers.7.main.1.convs.2.weight,False,,,True
Encoder.1.layers.7.main.1.dynas.0.square_att.lamb_l,False,,,True
Encoder.1.layers.7.main.1.dynas.0.square_att.lamb_h,False,,,True
Encoder.1.layers.7.main.1.dynas.0.square_att.inside_all,False,,,True
Encoder.1.layers.7.main.1.dynas.0.square_att.conv.weight,False,,,True
Encoder.1.layers.7.main.1.dynas.0.square_att.bn.weight,False,,,True
Encoder.1.layers.7.main.1.dynas.0.square_att.bn.bias,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.gamma,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.beta,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.H_spatial_att.inside_all,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.H_spatial_att.lamb_l,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.H_spatial_att.lamb_h,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.H_spatial_att.conv.weight,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.W_spatial_att.inside_all,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.W_spatial_att.lamb_l,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.W_spatial_att.lamb_h,False,,,True
Encoder.1.layers.7.main.1.dynas.0.strip_att.W_spatial_att.conv.weight,False,,,True
Encoder.1.layers.7.main.1.dynas.1.square_att.lamb_l,False,,,True
Encoder.1.layers.7.main.1.dynas.1.square_att.lamb_h,False,,,True
Encoder.1.layers.7.main.1.dynas.1.square_att.inside_all,False,,,True
Encoder.1.layers.7.main.1.dynas.1.square_att.conv.weight,False,,,True
Encoder.1.layers.7.main.1.dynas.1.square_att.bn.weight,False,,,True
Encoder.1.layers.7.main.1.dynas.1.square_att.bn.bias,False,,,True
Encoder.1.layers.7.main.1.dynas.1.strip_att.gamma,False,,,True
