index,name,zone,pixel_count,d7c_output_change_mean,control_output_change_mean,d7c_gain_l1_mean,control_gain_l1_mean
0,1002_0.73_1.47.png,gate_interior,15453,0.00038790837048882534,0.0002605872023709652,-0.00010478987953296134,0.00012244651643603333
0,1002_0.73_1.47.png,gate_boundary_r1,12481,0.00029673794887834,0.00031498903342235473,-2.382046547315029e-05,0.0001930483697402669
0,1002_0.73_1.47.png,exterior_r1,6401,0.0002923840899855583,0.0003153771613653964,-3.150470497794048e-05,0.00019421962588452824
0,1002_0.73_1.47.png,exterior_r2,5738,0.00027942798743475685,0.00031967043004080823,-5.4748154301475505e-05,0.00019699619721352493
0,1002_0.73_1.47.png,exterior_r4,9898,0.00028089538538761876,0.0003310572284475725,-7.036322896035904e-05,0.00020142093189414473
0,1002_0.73_1.47.png,exterior_r8,16115,0.0002866455312475003,0.00033667378273211464,-7.598680477870239e-05,0.0001914207217044576
0,1002_0.73_1.47.png,exterior_far_gt8,100315,0.00031444958542943243,0.0005364788842392558,-8.748927275870558e-05,-0.0002534566393570215
1,1007_0.68_1.25.png,gate_interior,98067,0.0004524357300620008,0.0005046730469780665,-0.00024180505795682894,-0.000321866885723048
1,1007_0.68_1.25.png,gate_boundary_r1,17898,0.00028636343906226537,0.0003489578938481528,-0.0001030562776255866,-0.00015590490342678472
1,1007_0.68_1.25.png,exterior_r1,8618,0.000283235877261247,0.00034406058443591333,-0.00010228835532161193,-0.00015270112423422055
1,1007_0.68_1.25.png,exterior_r2,6666,0.00027966070132251264,0.00034009791550749315,-0.00010335917520050955,-0.00014831685926904915
1,1007_0.68_1.25.png,exterior_r4,8843,0.00027302833996274196,0.00032517142416084704,-0.00011277659155321407,-0.00014588423852641212
1,1007_0.68_1.25.png,exterior_r8,9358,0.00028850714297701236,0.0003357780721101478,-0.0001558730377552728,-0.0001800306385005226
1,1007_0.68_1.25.png,exterior_far_gt8,19168,0.0003413819211950286,0.0003673367587871265,-0.0002208769022920892,-0.00017186414717831875
2,1012_0.85_1.28.png,gate_interior,102008,0.0003393364087262534,0.0003060075818075964,5.760622271350127e-05,-7.118907463558982e-05
2,1012_0.85_1.28.png,gate_boundary_r1,5687,0.0003631044109110382,0.00021845723825115635,0.00010474826154713893,-1.0999092867908106e-05
2,1012_0.85_1.28.png,exterior_r1,2705,0.000367799263564584,0.00022174397590200032,0.00011760375415992385,5.83921695152184e-07
2,1012_0.85_1.28.png,exterior_r2,2216,0.00038389253702404697,0.00022258262556812823,0.00014127921380290917,3.5190302542400705e-05
2,1012_0.85_1.28.png,exterior_r4,3478,0.00039707277614951065,0.00022849632515997774,0.0001404754316210404,9.042876352175274e-05
2,1012_0.85_1.28.png,exterior_r8,5082,0.00038516582442474665,0.000312131884904041,4.5125691945137167e-05,0.00018986400446991243
2,1012_0.85_1.28.png,exterior_far_gt8,41529,0.00025531980343719714,0.000610186313146997,-0.00019682279549728003,0.000568537321823022
3,1016_0.8_1.72.png,gate_interior,86183,0.0004140027208437687,0.0004333800267422411,1.707744342771245e-05,-3.604321080159988e-05
3,1016_0.8_1.72.png,gate_boundary_r1,16613,0.000375524689760428,0.0004827484693890597,3.607455865943453e-05,-0.00016338070489594904
3,1016_0.8_1.72.png,exterior_r1,8272,0.00037278381952695277,0.000483251574883378,3.5771015649607377e-05,-0.0001661887597761025
3,1016_0.8_1.72.png,exterior_r2,7187,0.0003708179859221355,0.0004886522965851191,2.6955545421301516e-05,-0.00017304639085138294
3,1016_0.8_1.72.png,exterior_r4,11216,0.0003907242192011247,0.0005221810303469017,-8.536715288985302e-06,-0.00021116711868879288
3,1016_0.8_1.72.png,exterior_r8,14663,0.00046124965946353863,0.0005528517588256595,-6.1030030323718766e-05,-0.0002697646630084312
3,1016_0.8_1.72.png,exterior_far_gt8,24138,0.0005597565284531142,0.0005906621269386007,-6.445205955401066e-05,-0.0003141830806872831
4,1022_0.66_1.05.png,gate_interior,6272,8.364410462732217e-05,0.00034545559664161837,2.4726044158546293e-05,0.0002523671303476606
4,1022_0.66_1.05.png,gate_boundary_r1,8046,9.739351545196844e-05,0.0003597411888913376,3.978178894048658e-05,0.00022648129331629993
4,1022_0.66_1.05.png,exterior_r1,4424,9.739091771420691e-05,0.00035962559430982924,4.119107375093222e-05,0.00022029111441393225
4,1022_0.66_1.05.png,exterior_r2,4668,0.00010195678385691247,0.0003644060965981765,4.2721661064700376e-05,0.00020939848467950241
4,1022_0.66_1.05.png,exterior_r4,9454,0.00010435166231844979,0.00037545743744141815,4.155009272538861e-05,0.00019902045110932915
4,1022_0.66_1.05.png,exterior_r8,18105,0.00010982340654922565,0.0004084992955251808,4.705379299615767e-05,0.0002153527371233519
4,1022_0.66_1.05.png,exterior_far_gt8,113455,0.00011132124169979976,0.0005929901256193948,-1.0352604165702808e-05,-8.203445023697274e-05
5,1023_0.5_1.87.png,gate_interior,35024,0.0008115597978036879,0.0008968418185816556,0.0001156086271459406,8.58611442989386e-05
5,1023_0.5_1.87.png,gate_boundary_r1,20961,0.0008378839408627369,0.0009240741510438098,0.00017613922387758207,0.00012569813991990868
5,1023_0.5_1.87.png,exterior_r1,10407,0.0008385418081553901,0.0009312266355932211,0.00018006112443343518,0.0001200423685563015
5,1023_0.5_1.87.png,exterior_r2,8801,0.0008407354273588573,0.000950614236563583,0.00016607835663677467,8.111237910725476e-05
5,1023_0.5_1.87.png,exterior_r4,13889,0.0008598095277737778,0.0010029637399009206,0.00011638479585034414,-2.3595815481141554e-05
5,1023_0.5_1.87.png,exterior_r8,20364,0.0009038615521783328,0.0010961189974363556,5.7924041999063095e-06,-0.00020812370762612398
5,1023_0.5_1.87.png,exterior_far_gt8,60961,0.0009149140986719481,0.0012008910538089926,-0.0003204620411889556,-0.0007410474173269142
6,1029_0.71_0.56.png,gate_interior,3620,5.575930133708933e-05,0.00027988194102081807,2.797413514463941e-05,-0.00011156767771388944
6,1029_0.71_0.56.png,gate_boundary_r1,7402,4.424030347245347e-05,0.00027506237447471173,1.945458724994139e-05,-4.5418352798589724e-05
6,1029_0.71_0.56.png,exterior_r1,4105,4.228589450543458e-05,0.00027458287330841175,1.7494235491781666e-05,-4.1128852916257535e-05
6,1029_0.71_0.56.png,exterior_r2,4227,3.849820575168123e-05,0.00027656831554072613,1.5333915309531484e-05,-3.496272106500052e-05
6,1029_0.71_0.56.png,exterior_r4,8304,3.473040053839858e-05,0.00028111221473341044,1.1149354221618704e-05,-1.956007276484043e-05
6,1029_0.71_0.56.png,exterior_r8,15413,3.0674991157218404e-05,0.00029223209490745436,2.76297721440189e-06,-2.62718038881327e-05
6,1029_0.71_0.56.png,exterior_far_gt8,121034,3.566562608400261e-05,0.00045134694727114383,-1.916605539374061e-05,-0.00021492048330020355
7,103_0.75_1.59.png,gate_interior,75573,0.0007884679869042702,0.00048787496073940406,-0.00013939113691901684,-4.253332809834492e-06
7,103_0.75_1.59.png,gate_boundary_r1,8713,0.0006320317549778292,0.0004884178488232383,-2.0100556516652813e-05,0.0002147070263989905
7,103_0.75_1.59.png,exterior_r1,4397,0.0006121502482188895,0.0004857007769093829,-1.071951309062688e-05,0.00021951380767197616
7,103_0.75_1.59.png,exterior_r2,3967,0.0005729802465571064,0.00047820378287420905,-1.7604585675950432e-05,0.00022606498683643846
7,103_0.75_1.59.png,exterior_r4,6801,0.000530147075723189,0.00046587978946936514,9.86448764240123e-06,0.00027471068255639466
7,103_0.75_1.59.png,exterior_r8,12248,0.00046391124276847016,0.00046006905962484945,4.9534413761597376e-05,0.0003121192357183515
7,103_0.75_1.59.png,exterior_far_gt8,52698,0.00033187203861702606,0.00047369190418605783,0.0002637791531358056,0.00046541047569488304
8,1042_0.91_0.56.png,gate_interior,25671,0.00044709244597655187,0.0005928454291931511,7.279235179616259e-05,0.00012438367206359056
8,1042_0.91_0.56.png,gate_boundary_r1,15547,0.0003139941556021095,0.00047115863400839174,2.333357179710058e-05,5.402596516571467e-05
8,1042_0.91_0.56.png,exterior_r1,8108,0.0003065124602522471,0.00046792295570731104,2.3844269148869415e-05,5.426271081147196e-05
8,1042_0.91_0.56.png,exterior_r2,7464,0.00029890330274772033,0.00047348412542353363,2.4136469279199295e-05,6.18342689507005e-05
8,1042_0.91_0.56.png,exterior_r4,12112,0.0002802706654509591,0.00045841235465701063,1.30256756037828e-05,5.394922596460289e-05
8,1042_0.91_0.56.png,exterior_r8,14645,0.00022383351584838576,0.00036411200745108184,-1.1174767934734727e-05,1.9146694832590505e-05
8,1042_0.91_0.56.png,exterior_far_gt8,84561,0.00011656586327450561,0.00017394049176852776,-7.788812796551131e-05,-8.200697167433615e-06
9,1045_0.58_1.58.png,gate_interior,89156,0.0006030243709252207,0.0005572487738995807,-0.00039680424820789017,-0.0002826619605003164
9,1045_0.58_1.58.png,gate_boundary_r1,19019,0.0004929165915614505,0.00042034129413484595,-0.00033912581470813826,-0.0002368177059628283
9,1045_0.58_1.58.png,exterior_r1,9445,0.0004930184719233111,0.00041139647088522883,-0.00034058352763719694,-0.00022876829366446678
9,1045_0.58_1.58.png,exterior_r2,7842,0.0005119305975246843,0.00040145578265220525,-0.00036431556756141934,-0.00022876635098816088
9,1045_0.58_1.58.png,exterior_r4,10741,0.0005611615100615896,0.00039438281952918614,-0.00041551197521869234,-0.00024089741313960253
9,1045_0.58_1.58.png,exterior_r8,12222,0.0006835149716012237,0.00040148721157168233,-0.0005223601641972548,-0.000258889726561701
9,1045_0.58_1.58.png,exterior_far_gt8,21020,0.0013638010941495451,0.0004803146213491569,-0.0013145569275947666,-0.0004285545603192272
10,1060_0.94_1.09.png,gate_interior,36399,0.00029028676074233507,0.00026587574798794426,1.5768972988092504e-06,0.00013725809803500033
10,1060_0.94_1.09.png,gate_boundary_r1,12788,0.00023883187774572292,0.0002064854046460946,-5.54274722192673e-07,0.00010431251900249024
10,1060_0.94_1.09.png,exterior_r1,6388,0.00023827775986252835,0.00020635827825303814,9.234062744142417e-06,0.00010416539632012565
10,1060_0.94_1.09.png,exterior_r2,5672,0.00023647009990111057,0.00020330894228769795,2.8420184516940365e-05,9.428082383401976e-05
10,1060_0.94_1.09.png,exterior_r4,9663,0.00023237165920632997,0.00020492707277866646,3.492677358567906e-05,9.034929173858493e-05
10,1060_0.94_1.09.png,exterior_r8,15507,0.0002046919979086357,0.0002056546665417231,4.190753874160984e-05,8.755474523533364e-05
10,1060_0.94_1.09.png,exterior_far_gt8,79971,0.00019136272779161987,0.00019572234944093626,9.787182993300403e-05,5.474711404783648e-05
11,1064_0.54_0.97.png,gate_interior,19608,0.0002693875329147208,0.0002911323822065063,-0.0002004238159400694,-0.00015337444820583037
11,1064_0.54_0.97.png,gate_boundary_r1,16027,0.000223927305367581,0.0003207050467962602,-0.00012503945463764518,-5.0786415205301135e-05
11,1064_0.54_0.97.png,exterior_r1,8421,0.0002163606844581429,0.00032741181740864424,-0.00011088702022116252,-3.071553123038337e-05
11,1064_0.54_0.97.png,exterior_r2,7570,0.00019870246889726646,0.00035357377645676486,-8.361160046515723e-05,3.903892624488438e-06
11,1064_0.54_0.97.png,exterior_r4,12718,0.00017019770283765773,0.0003834153181502871,-4.471841051923833e-05,4.519317149741036e-05
11,1064_0.54_0.97.png,exterior_r8,20824,0.00012945835745156018,0.0004172170340808776,1.2623181239577654e-05,9.987359316221714e-05
11,1064_0.54_0.97.png,exterior_far_gt8,83253,9.444834037541487e-05,0.000539209449398478,3.9968820164806845e-05,2.9032405612117992e-05
12,1072_0.58_0.58.png,gate_interior,3367,9.016674493235086e-05,0.00032613154933330103,2.3606386813488637e-05,0.000137492611601546
12,1072_0.58_0.58.png,gate_boundary_r1,5539,9.321391657815339e-05,0.0003509675150077725,2.8937404676343716e-06,-1.3795670705014648e-05
12,1072_0.58_0.58.png,exterior_r1,2996,9.272185879173839e-05,0.0003631619490354816,1.2577592192568352e-06,-4.580692551005507e-05
12,1072_0.58_0.58.png,exterior_r2,2927,9.230969503628829e-05,0.0003783158731411698,-8.089683611400305e-07,-8.259574667276031e-05
12,1072_0.58_0.58.png,exterior_r4,5744,9.222124238864293e-05,0.0004113116470220029,-8.371100867359087e-06,-0.00013039543353083406
12,1072_0.58_0.58.png,exterior_r8,10826,8.88863267022934e-05,0.0004880907089371525,-2.2867096785188228e-05,-0.0002069094695072396
12,1072_0.58_0.58.png,exterior_far_gt8,131597,5.819273617144103e-05,0.0005753381046276701,9.951599137210923e-06,-0.00021622946341405514
13,1073_0.51_0.98.png,gate_interior,1195,0.00014053477153618465,0.0010257188246339934,0.00010453890931157388,0.0007129674177289508
13,1073_0.51_0.98.png,gate_boundary_r1,2968,0.00012997407315554966,0.001022115550593867,8.04484523129913e-05,0.0006278432765096988
13,1073_0.51_0.98.png,exterior_r1,1647,0.00012704042427164899,0.0010191744287302079,7.843486308761996e-05,0.0006466887542965489
13,1073_0.51_0.98.png,exterior_r2,1721,0.00012307810201539612,0.001010102494243686,8.424623874229861e-05,0.0007022867224924375
13,1073_0.51_0.98.png,exterior_r4,3450,0.0001210782666137253,0.0009905417069144872,9.255100851473601e-05,0.0007726964397706847
13,1073_0.51_0.98.png,exterior_r8,6712,0.00012405279744083465,0.0010375902678315774,0.00010767561318053108,0.0008717927375766177
13,1073_0.51_0.98.png,exterior_far_gt8,143954,0.00011372026628738879,0.00089007709039487,0.00010024796201071881,0.0007696509608042923
14,1075_0.76_1.99.png,gate_interior,82795,0.0005070786148145929,0.0004329577960342563,-1.2780324338218053e-05,8.521846861314915e-05
14,1075_0.76_1.99.png,gate_boundary_r1,16880,0.0004699012961997805,0.0003603654732636366,7.695355121558312e-07,2.4024137600338288e-05
14,1075_0.76_1.99.png,exterior_r1,8255,0.00047410431231678364,0.0003635537328321525,2.0809537493626613e-05,3.063816290635329e-05
14,1075_0.76_1.99.png,exterior_r2,6566,0.000490468484470113,0.0003821970738908557,7.057205827505603e-05,4.891932301139309e-05
14,1075_0.76_1.99.png,exterior_r4,9731,0.0005158559720595343,0.00040619472060293227,0.00014953315104895292,9.603577421645247e-05
14,1075_0.76_1.99.png,exterior_r8,11997,0.0005822318031697052,0.00044500679734091645,0.0002851760853446801,0.00019696274131220996
14,1075_0.76_1.99.png,exterior_far_gt8,32031,0.0008665933204387205,0.0006031285164146403,0.0007267484789667871,0.0004910981486528523
15,1080_0.59_1.22.png,gate_interior,47249,0.0004157903355950035,0.0008190550393696328,0.00027814886628459975,0.0005921990322071136
15,1080_0.59_1.22.png,gate_boundary_r1,23160,0.00030107572288710834,0.000550415437662128,0.00017839038104385086,0.00035913258224777193
15,1080_0.59_1.22.png,exterior_r1,11861,0.0002975269691024097,0.0005447242002886791,0.00017630775524988794,0.000354347417149754
15,1080_0.59_1.22.png,exterior_r2,10584,0.00029578370211796607,0.0005381249696669575,0.00018616222290044829,0.0003573612020669881
15,1080_0.59_1.22.png,exterior_r4,17422,0.00029228212857763686,0.0005208619110839619,0.00018864208405798715,0.0003480126835588007
15,1080_0.59_1.22.png,exterior_r8,24352,0.0002950357074963122,0.0005143169269611895,0.00020044746364463175,0.00035751523858770903
15,1080_0.59_1.22.png,exterior_far_gt8,37233,0.0002634311104635316,0.0004433550522296879,0.00018737812588832356,0.0003114698319515419
16,1083_0.67_0.81.png,gate_interior,16330,0.0002053683328248939,0.00031037257627264094,-7.118783111011624e-05,7.691484102061097e-05
16,1083_0.67_0.81.png,gate_boundary_r1,21227,0.00017248864797706368,0.00032719113741726567,3.243123625217394e-06,0.0001322048711289271
16,1083_0.67_0.81.png,exterior_r1,11417,0.00017263708259132788,0.0003334536823487547,1.4312434156794906e-05,0.0001433325949865433
16,1083_0.67_0.81.png,exterior_r2,10763,0.00017104906009318582,0.00034240472165002905,3.952841261201196e-05,0.00016573907982779182
16,1083_0.67_0.81.png,exterior_r4,17710,0.0001776230530439966,0.0003724788017423728,8.204817973847177e-05,0.00021925454487038628
16,1083_0.67_0.81.png,exterior_r8,24872,0.00020075728173193038,0.0004309471415031681,0.00012796037869654349,0.0002794077673231378
16,1083_0.67_0.81.png,exterior_far_gt8,69098,0.00026183523225413035,0.0005655130528069056,0.00022296357035460929,0.0004733006493007158
17,1090_0.54_0.58.png,gate_interior,1031,5.957823532166467e-05,0.0007234385126892741,-5.857792080431512e-05,-0.0007193485124959863
17,1090_0.54_0.58.png,gate_boundary_r1,2200,4.69313155521046e-05,0.0006574434583837336,-4.136025905609131e-05,-0.0006259853189641779
17,1090_0.54_0.58.png,exterior_r1,1249,4.5611583489814314e-05,0.0006476117669342994,-3.928565282264264e-05,-0.000610892919657992
17,1090_0.54_0.58.png,exterior_r2,1300,4.368129831094008e-05,0.0006108314257401686,-3.591537475585937e-05,-0.0005638746573374822
17,1090_0.54_0.58.png,exterior_r4,2950,4.186297624798144e-05,0.0005998915332858845,-3.4152322401434686e-05,-0.0005467431424027782
17,1090_0.54_0.58.png,exterior_r8,7069,4.092007264134435e-05,0.0005760339922303947,-3.419043927065199e-05,-0.000521571384256708
17,1090_0.54_0.58.png,exterior_far_gt8,145450,1.1450414110107002e-05,0.00041957767364617354,-6.829227275068139e-06,-0.0002944660416252632
18,1096_0.72_0.86.png,gate_interior,27775,0.0006683913401716148,0.0005509384938127602,0.0004171670523985992,0.0003235266382473208
18,1096_0.72_0.86.png,gate_boundary_r1,11638,0.0005309214643605244,0.00045244454886827665,0.0003421458617828416,0.000273559773207981
18,1096_0.72_0.86.png,exterior_r1,5907,0.0005321784008976084,0.00045096597757076317,0.0003399953072055334,0.0002725932003581142
18,1096_0.72_0.86.png,exterior_r2,5307,0.0005464875947425028,0.00045574104491658457,0.00035654916721974386,0.00028815951436303173
18,1096_0.72_0.86.png,exterior_r4,8882,0.0005741670200938015,0.00047821870824018864,0.0004018678559936991,0.0003165939696547524
18,1096_0.72_0.86.png,exterior_r8,11875,0.000652447509765625,0.0005391516434518915,0.0004885163959703947,0.0003733915228592722
18,1096_0.72_0.86.png,exterior_far_gt8,94523,0.0011119841520363266,0.001077797768445742,0.0009849039595160123,0.0009394109008862674
19,1098_0.8_0.51.png,gate_interior,0,nan,nan,nan,nan
19,1098_0.8_0.51.png,gate_boundary_r1,18,4.532160851845725e-06,0.00012424312687168518,3.210993276702033e-06,3.1366944313049316e-06
19,1098_0.8_0.51.png,exterior_r1,14,4.94434789288789e-06,0.0001270423360568072,3.7099899990218025e-06,1.7731982682432446e-05
