policy,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,worst_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count,mean_mask
A0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
W_U_G_1,0.033065325419108074,-0.001331329345703125,-0.2845676422119141,-0.8744926452636719,0.49833333333333335,91,19,1.0
W_U_G_D,0.0123663330078125,-3.814697265625e-06,-0.0907329559326172,-0.5366325378417969,0.49333333333333335,18,2,0.3020659195746187
D7C_GAIN_ORACLE_POS,0.07825429280598958,0.036251068115234375,0.0020927429199218747,-0.0015811920166015625,0.99,0,0,0.1451147006134238
GLOBAL_GAIN_ORACLE_POS,0.23307270367940267,0.16187286376953125,0.02085113525390625,-0.0058441162109375,0.9966666666666667,0,0,0.4930459022646149
D7C_TOP_CHANGE_0.25,0.004633455276489258,-7.43865966796875e-05,-0.05699882507324219,-0.45589447021484375,0.48833333333333334,6,0,0.07551806046875072
D7C_TOP_SCOREXCHANGE_0.25,0.004439293543497721,0.0,-0.057636260986328125,-0.4488182067871094,0.49833333333333335,6,0,0.07551653800624611
D7C_TOP_CHANGE_0.5,0.009944060643513997,-0.0001087188720703125,-0.07925186157226562,-0.5166702270507812,0.49,12,2,0.15103498227710438
D7C_TOP_SCOREXCHANGE_0.5,0.009622421264648438,-5.7220458984375e-06,-0.07864761352539062,-0.5200157165527344,0.49333333333333335,13,2,0.15103296707006394
D7C_TOP_CHANGE_0.75,0.01194729487101237,-3.814697265625e-06,-0.08909130096435547,-0.53387451171875,0.49333333333333335,18,2,0.22657005124398286
D7C_TOP_SCOREXCHANGE_0.75,0.01185662587483724,-1.9073486328125e-06,-0.08934268951416016,-0.5340003967285156,0.495,18,2,0.22656845657138244
D7C_TOP_CHANGE_1,0.0123663330078125,-3.814697265625e-06,-0.0907329559326172,-0.5366325378417969,0.49333333333333335,18,2,0.3020659195746187
D7C_TOP_SCOREXCHANGE_1,0.0123663330078125,-3.814697265625e-06,-0.0907329559326172,-0.5366325378417969,0.49333333333333335,18,2,0.3020659195746187
W_D_G_D,0.02947239875793457,0.0002765655517578125,-0.18007774353027345,-0.7528419494628906,0.5016666666666667,50,7,nan
