split,policy,n,mean_psnr_delta,median_psnr_delta,p10_psnr_delta,worst_psnr_delta,positive_ratio,regression_le_0p2_count,regression_le_0p5_count
calib_even,A0,300,0.0,0.0,0.0,0.0,0.0,0,0
calib_even,ACTION_CLOSE_FILTER_GRAD_ORACLE,300,0.4050125652769316,0.34574264950617106,0.060606457844181706,-5.504153286040037e-06,0.9933333333333333,0,0
calib_even,FEATURE_00_d7c_logit_mean_low_0.25,300,-1.9755600199940678e-05,-1.0481200689582693e-06,-0.00041750434813181414,-0.0012491766510649427,0.49666666666666665,0,0
calib_even,FEATURE_01_input_luma_low_0.25,300,4.459784085497631e-06,-9.942607398727432e-06,-0.000406324646665368,-0.0009607639332358531,0.48333333333333334,0,0
calib_even,FEATURE_02_input_dark_low_0.25,300,3.3231013689534925e-07,2.435257865585072e-06,-0.00041100137122107583,-0.001801054250819334,0.5033333333333333,0,0
calib_even,FEATURE_03_d7c_logit_max_low_0.25,300,-4.141422176502374e-06,2.154914550800413e-06,-0.00038872555450737424,-0.0012056705073746343,0.5033333333333333,0,0
calib_even,FEATURE_04_residual_abs_high_0.25,300,0.008636399736395989,0.00013059386439095988,-0.03347686112246819,-0.09442086033984509,0.5066666666666667,0,0
calib_even,FEATURE_05_a0_luma_low_0.25,300,-1.5482151826423282e-05,-8.449371669883021e-06,-0.0004173591906251772,-0.0013694883086117215,0.48,0,0
calib_even,FEATURE_06_action_delta_signed_low_0.25,300,-1.5114033423084077e-05,-1.6520981489520636e-05,-0.0003917625151444781,-0.0016259834083953706,0.47333333333333333,0,0
calib_even,FEATURE_07_d7c_score_low_0.25,300,-8.60806601454082e-06,2.2224900391165647e-06,-0.0004171707929238266,-0.0012491766510649427,0.5,0,0
calib_even,W_U_G_1_ACTION_ALL,300,0.04295531794416816,0.004490256490118583,-0.28466100212174933,-0.8744957773724522,0.5066666666666667,48,9
calib_even,W_U_G_D_ACTION_HARD,300,0.016215377556724857,-0.00013897350735447844,-0.13313846414290467,-0.40053883645291677,0.49333333333333335,14,0
holdout_odd,A0,300,0.0,0.0,0.0,0.0,0.0,0,0
holdout_odd,ACTION_CLOSE_FILTER_GRAD_ORACLE,300,0.42032490058466226,0.33281438626210047,0.05976667796480869,-0.00024148151366887305,0.9933333333333333,0,0
holdout_odd,FEATURE_00_d7c_logit_mean_low_0.25,300,-1.0580299625525905e-05,3.4027994502139336e-06,-0.00035595218004900173,-0.0013249446154190991,0.51,0,0
holdout_odd,FEATURE_01_input_luma_low_0.25,300,-3.384632512716479e-05,-2.4387326607921977e-05,-0.0004142075932968225,-0.0015102605746051267,0.4633333333333333,0,0
holdout_odd,FEATURE_02_input_dark_low_0.25,300,-3.517866674215497e-05,-2.701424635986882e-05,-0.0004034413215450172,-0.0015329381411675058,0.45666666666666667,0,0
holdout_odd,FEATURE_03_d7c_logit_max_low_0.25,300,3.772258521893927e-06,1.573780464703134e-05,-0.0003317478945859875,-0.00118557121020757,0.5233333333333333,0,0
holdout_odd,FEATURE_04_residual_abs_high_0.25,300,0.008995369062156998,0.002482615587808823,-0.032779453305512615,-0.0880808256023613,0.5666666666666667,0,0
holdout_odd,FEATURE_05_a0_luma_low_0.25,300,7.785681481955464e-06,2.814802137152128e-06,-0.0003782046405611083,-0.0012395034076035927,0.5033333333333333,0,0
holdout_odd,FEATURE_06_action_delta_signed_low_0.25,300,-3.344898400403196e-05,-1.31870323691885e-05,-0.00045179969369257833,-0.0026765317936394695,0.48,0,0
holdout_odd,FEATURE_07_d7c_score_low_0.25,300,-1.5890182612317004e-05,-1.417615362342417e-05,-0.0003970064062507106,-0.0009581117527872607,0.4666666666666667,0,0
holdout_odd,W_U_G_1_ACTION_ALL,300,0.023175163096562118,-0.006073675282209479,-0.2658817403744201,-0.8197359853032609,0.49,43,10
holdout_odd,W_U_G_D_ACTION_HARD,300,0.009352250366733858,-0.0034588325255668906,-0.11129276396574567,-0.3620775678552022,0.4766666666666667,9,0
all,A0,600,0.0,0.0,0.0,0.0,0.0,0,0
all,ACTION_CLOSE_FILTER_GRAD_ORACLE,600,0.4126687329307969,0.33855572211311724,0.060074718471258136,-0.00024148151366887305,0.9933333333333333,0,0
all,FEATURE_00_d7c_logit_mean_low_0.25,600,-1.5167949912733292e-05,3.153793169730079e-06,-0.0003721813640176208,-0.0013249446154190991,0.5033333333333333,0,0
all,FEATURE_01_input_luma_low_0.25,600,-1.469327052083358e-05,-1.7877566158119862e-05,-0.00041072005257696275,-0.0015102605746051267,0.47333333333333333,0,0
all,FEATURE_02_input_dark_low_0.25,600,-1.742317830262981e-05,-1.4875559623206414e-05,-0.0004045009658703691,-0.001801054250819334,0.48,0,0
all,FEATURE_03_d7c_logit_max_low_0.25,600,-1.845818273042236e-07,1.0304846856712402e-05,-0.00034359146743696557,-0.0012056705073746343,0.5133333333333333,0,0
all,FEATURE_04_residual_abs_high_0.25,600,0.008815884399276493,0.0010774753445659258,-0.033060962571209274,-0.09442086033984509,0.5366666666666666,0,0
all,FEATURE_05_a0_luma_low_0.25,600,-3.848235172233908e-06,-2.454342947544319e-06,-0.00040868410251704285,-0.0013694883086117215,0.49166666666666664,0,0
all,FEATURE_06_action_delta_signed_low_0.25,600,-2.4281508713558017e-05,-1.4085653678108656e-05,-0.00043881725462213694,-0.0026765317936394695,0.4766666666666667,0,0
all,FEATURE_07_d7c_score_low_0.25,600,-1.2249124313428913e-05,-8.017211378330558e-06,-0.0004033475853489676,-0.0012491766510649427,0.48333333333333334,0,0
all,W_U_G_1_ACTION_ALL,600,0.03306524052036514,-0.0013316832596181882,-0.2845728431144316,-0.8744957773724522,0.49833333333333335,91,19
all,W_U_G_D_ACTION_HARD,600,0.012783813961729357,-0.0010759805321356453,-0.12151199691896009,-0.40053883645291677,0.485,23,0
