fold,probe,step,loss
0,coord,100,0.7378039956092834
0,coord,180,0.7143750786781311
0,linear,100,0.7003520727157593
0,linear,200,0.7029446959495544
0,linear,300,0.7017316818237305
0,linear,320,0.7016857862472534
0,dw3x3,100,0.6969417333602905
0,dw3x3,200,0.6981164813041687
0,dw3x3,300,0.700027585029602
0,dw3x3,400,0.696334183216095
0,dw3x3,420,0.700290858745575
1,coord,100,0.7388226389884949
1,coord,180,0.7249008417129517
1,linear,100,0.7041592001914978
1,linear,200,0.7000541687011719
1,linear,300,0.7022168636322021
1,linear,320,0.701633095741272
1,dw3x3,100,0.7041499614715576
1,dw3x3,200,0.7025928497314453
1,dw3x3,300,0.6975908279418945
1,dw3x3,400,0.7004119157791138
1,dw3x3,420,0.7003157138824463
2,coord,100,0.7055398225784302
2,coord,180,0.7022264003753662
2,linear,100,0.7009106278419495
2,linear,200,0.7035322785377502
2,linear,300,0.7022584080696106
2,linear,320,0.6996127963066101
2,dw3x3,100,0.7016155123710632
2,dw3x3,200,0.7040607333183289
2,dw3x3,300,0.69314044713974
2,dw3x3,400,0.699743390083313
2,dw3x3,420,0.6994661092758179
3,coord,100,0.7335605621337891
3,coord,180,0.7197213768959045
3,linear,100,0.7064341902732849
3,linear,200,0.703080415725708
3,linear,300,0.7001730799674988
3,linear,320,0.7022724151611328
3,dw3x3,100,0.7046421766281128
3,dw3x3,200,0.6986978650093079
3,dw3x3,300,0.6955394148826599
3,dw3x3,400,0.6966497302055359
3,dw3x3,420,0.6978595852851868
4,coord,100,0.7113611102104187
4,coord,180,0.7089253067970276
4,linear,100,0.6992930173873901
4,linear,200,0.7057557106018066
4,linear,300,0.7001688480377197
4,linear,320,0.6976794004440308
4,dw3x3,100,0.6975463032722473
4,dw3x3,200,0.6995347738265991
4,dw3x3,300,0.6988997459411621
4,dw3x3,400,0.7001919746398926
4,dw3x3,420,0.7000844478607178
