fold,probe,step,loss
0,linear,100,0.7042736411094666
0,linear,200,0.7041428089141846
0,linear,300,0.7041810154914856
0,linear,320,0.7030227184295654
0,dw3x3,100,0.7038131356239319
0,dw3x3,200,0.7037099599838257
0,dw3x3,300,0.7036289572715759
0,dw3x3,400,0.7037721872329712
0,dw3x3,420,0.7039319276809692
1,linear,100,0.7042941451072693
1,linear,200,0.7037782669067383
1,linear,300,0.7034870386123657
1,linear,320,0.7037940621376038
1,dw3x3,100,0.7029109001159668
1,dw3x3,200,0.7033793926239014
1,dw3x3,300,0.7028786540031433
1,dw3x3,400,0.7030682563781738
1,dw3x3,420,0.7037194967269897
2,linear,100,0.7048436403274536
2,linear,200,0.7043261528015137
2,linear,300,0.7034012675285339
2,linear,320,0.7042293548583984
2,dw3x3,100,0.703577995300293
2,dw3x3,200,0.7035050988197327
2,dw3x3,300,0.7028530240058899
2,dw3x3,400,0.7032439112663269
2,dw3x3,420,0.7028868794441223
3,linear,100,0.7047659754753113
3,linear,200,0.7041760087013245
3,linear,300,0.7035994529724121
3,linear,320,0.703540563583374
3,dw3x3,100,0.702934741973877
3,dw3x3,200,0.7033337354660034
3,dw3x3,300,0.7033734321594238
3,dw3x3,400,0.7038341164588928
3,dw3x3,420,0.7040922045707703
4,linear,100,0.7048726677894592
4,linear,200,0.7044036388397217
4,linear,300,0.7031028270721436
4,linear,320,0.7041924595832825
4,dw3x3,100,0.7038661241531372
4,dw3x3,200,0.703579306602478
4,dw3x3,300,0.7037169933319092
4,dw3x3,400,0.703143298625946
4,dw3x3,420,0.7024584412574768
